区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,665,-,-,88,-,93,-,97,-,94,-,99,-,94,-,100,-
0,0,世帯人員,2.88,-,-,2.66,-,2.63,-,2.76,-,2.81,-,2.97,-,3.04,-,3.31,-
0,0,有業人員,1.32,-,-,1.2,-,1.14,-,1.1,-,1.25,-,1.38,-,1.57,-,1.62,-
0,0,世帯主平均年齢,60.4,-,-,62.4,-,62.4,-,62.5,-,61.2,-,59.5,-,58.1,-,56.5,-
0,0,消費支出,346399,100,1.9,121649,100,183007,100,236196,100,277701,100,351237,100,429180,100,822550,100
1,0,商品,192004,55.4,-4.9,87681,72.1,130731,71.4,156695,66.3,181010,65.2,206124,58.7,241021,56.2,339667,41.3
1,1,耐久財,14677,4.2,-38.8,1535,1.3,2152,1.2,4667,2,9398,3.4,13919,4,21171,4.9,49672,6
1,2,半耐久財,31642,9.1,-4.9,6976,5.7,12982,7.1,19086,8.1,27355,9.9,33717,9.6,46297,10.8,74789,9.1
1,3,非耐久財,145686,42.1,0.7,79169,65.1,115597,63.2,132943,56.3,144257,51.9,158488,45.1,173552,40.4,215206,26.2
1,0,サービス,154394,44.6,11.9,33968,27.9,52276,28.6,79501,33.7,96692,34.8,145113,41.3,188159,43.8,482883,58.7
2,0,食料,118653,34.3,3.6,62767,51.6,90411,49.4,108237,45.8,111045,40,131198,37.4,140749,32.8,185599,22.6
2,3,非耐久財,98207,28.4,1.6,54181,44.5,81051,44.3,90388,38.3,97330,35,108145,30.8,113806,26.5,142143,17.3
2,4,サービス,20446,5.9,14.5,8586,7.1,9360,5.1,17849,7.6,13716,4.9,23053,6.6,26943,6.3,43455,5.3
2,0,住居,42159,12.2,61.6,4219,3.5,6916,3.8,8347,3.5,14383,5.2,30922,8.8,31229,7.3,198061,24.1
2,1,耐久財,2820,0.8,5.7,-,-,106,0.1,6,0,376,0.1,2094,0.6,660,0.2,16400,2
2,2,半耐久財,611,0.2,42.4,59,0,112,0.1,110,0,40,0,377,0.1,1117,0.3,2450,0.3
2,4,サービス,38728,11.2,68.5,4160,3.4,6698,3.7,8230,3.5,13967,5,28451,8.1,29453,6.9,179211,21.8
2,0,光熱・水道（非耐久財）,20295,5.9,3.5,13015,10.7,16852,9.2,19716,8.3,20181,7.3,21030,6,24359,5.7,26859,3.3
2,0,家具・家事用品,15781,4.6,-7.7,5123,4.2,7454,4.1,10574,4.5,10437,3.8,18586,5.3,21201,4.9,36931,4.5
2,1,耐久財,5842,1.7,-0.6,1311,1.1,1255,0.7,2808,1.2,1624,0.6,7613,2.2,8195,1.9,17993,2.2
2,2,半耐久財,4847,1.4,-17.3,1697,1.4,2751,1.5,3807,1.6,3658,1.3,5569,1.6,6311,1.5,10095,1.2
2,3,非耐久財,3766,1.1,-4.6,2001,1.6,3249,1.8,3319,1.4,3941,1.4,3569,1,4962,1.2,5313,0.6
2,4,サービス,1326,0.4,-6.3,115,0.1,198,0.1,640,0.3,1214,0.4,1835,0.5,1733,0.4,3530,0.4
2,0,被服及び履物,14608,4.2,-1,3610,3,6814,3.7,8585,3.6,12621,4.5,14598,4.2,22646,5.3,33264,4
2,2,半耐久財,14119,4.1,1.5,3505,2.9,6713,3.7,8225,3.5,12296,4.4,14510,4.1,21687,5.1,31779,3.9
2,4,サービス,489,0.1,-42.6,105,0.1,100,0.1,360,0.2,325,0.1,87,0,959,0.2,1485,0.2
2,0,保健医療,16893,4.9,-1.4,5074,4.2,9375,5.1,11544,4.9,12396,4.5,21939,6.2,19532,4.6,38205,4.6
2,1,耐久財,1032,0.3,4.3,133,0.1,-,-,836,0.4,391,0.1,2290,0.7,590,0.1,2965,0.4
2,2,半耐久財,266,0.1,-65.1,56,0,123,0.1,198,0.1,64,0,331,0.1,356,0.1,731,0.1
2,3,非耐久財,5936,1.7,-11.3,2794,2.3,4367,2.4,4227,1.8,5866,2.1,6676,1.9,6506,1.5,11075,1.3
2,4,サービス,9658,2.8,11.2,2091,1.7,4885,2.7,6282,2.7,6075,2.2,12641,3.6,12079,2.8,23434,2.8
2,0,交通・通信,33040,9.5,-18,9099,7.5,14289,7.8,20264,8.6,35262,12.7,34823,9.9,48915,11.4,68408,8.3
2,1,耐久財,1813,0.5,-82.7,16,0,289,0.2,611,0.3,4084,1.5,707,0.2,4437,1,2559,0.3
2,2,半耐久財,1978,0.6,-35.4,147,0.1,113,0.1,1054,0.4,3371,1.2,2520,0.7,2244,0.5,4386,0.5
2,3,非耐久財,2393,0.7,28.4,335,0.3,969,0.5,2052,0.9,2368,0.9,2648,0.8,3347,0.8,5017,0.6
2,4,サービス,26855,7.8,7.9,8602,7.1,12919,7.1,16546,7,25440,9.2,28947,8.2,38887,9.1,56446,6.9
2,0,教育,14215,4.1,-22.3,1112,0.9,901,0.5,3105,1.3,2838,1,10075,2.9,17695,4.1,63468,7.7
2,3,非耐久財,245,0.1,62.3,337,0.3,30,0,94,0,54,0,258,0.1,690,0.2,254,0
2,4,サービス,13970,4,-23,775,0.6,871,0.5,3011,1.3,2784,1,9818,2.8,17005,4,63214,7.7
2,0,教養娯楽,40851,11.8,0.8,11188,9.2,16634,9.1,26670,11.3,33063,11.9,40881,11.6,60897,14.2,96276,11.7
2,1,耐久財,2448,0.7,-29,28,0,382,0.2,110,0,2131,0.8,1048,0.3,5947,1.4,7473,0.9
2,2,半耐久財,6424,1.9,-8.5,1103,0.9,2625,1.4,3992,1.7,5531,2,7898,2.2,9838,2.3,13928,1.7
2,3,非耐久財,8032,2.3,-0.5,4012,3.3,5634,3.1,8286,3.5,7081,2.5,8398,2.4,10065,2.3,12717,1.5
2,4,サービス,23945,6.9,8.9,6045,5,7993,4.4,14282,6,18320,6.6,23537,6.7,35047,8.2,62158,7.6
2,0,諸雑費,29905,8.6,-5.6,6441,5.3,13361,7.3,19154,8.1,25475,9.2,27185,7.7,41957,9.8,75480,9.2
2,1,耐久財,721,0.2,34,48,0,119,0.1,294,0.1,793,0.3,166,0,1342,0.3,2282,0.3
2,2,半耐久財,3396,1,52.6,409,0.3,546,0.3,1700,0.7,2396,0.9,2512,0.7,4745,1.1,11420,1.4
2,3,非耐久財,6811,2,-11.9,2495,2.1,3446,1.9,4860,2.1,7436,2.7,7764,2.2,9817,2.3,11828,1.4
2,4,サービス,18976,5.5,-10.4,3489,2.9,9251,5.1,12301,5.2,14850,5.3,16743,4.8,26053,6.1,49950,6.1
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 3年12月,,,,,,,,,,,,,,,,,,,
第１６表　生計支出７分位階層別１世帯当たり１か月間の財・サービス別支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,,
注1)財・サービス別結果は、品目別分類を再分類して集計した。,,,,,,,,,,,,,,,,,,,
注2)消費支出には、「こづかい」、「贈与金」、「他の交際費」及び「仕送り金」は含まれていない。,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等、消費支出等　1：耐久財　2：半耐久財　3：非耐久財　4：サービス）,,,,,,,,,,,,,,,,,,,
