項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,ローン返済世帯／実数（円）,ローン返済世帯／構成比（％）,ローン返済世帯／40歳未満／実数（円）,ローン返済世帯／40歳未満／構成比（％）,ローン返済世帯／40～49歳／実数（円）,ローン返済世帯／40～49歳／構成比（％）,ローン返済世帯／50歳以上／実数（円）,ローン返済世帯／50歳以上／構成比（％）,ローン返済のない世帯／実数（円）,ローン返済のない世帯／構成比（％）,ローン返済のない世帯／40歳未満／実数（円）,ローン返済のない世帯／40歳未満／構成比（％）,ローン返済のない世帯／40～49歳／実数（円）,ローン返済のない世帯／40～49歳／構成比（％）,ローン返済のない世帯／50歳以上／実数（円）,ローン返済のない世帯／50歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,3743,-,798,-,1431,-,1515,-,6257,-,1233,-,1508,-,3516,-
0,0,0,0,0,調査世帯数,365,-,140,-,31,-,54,-,55,-,224,-,42,-,55,-,128,-
0,0,0,0,0,世帯人員,3.27,-,3.57,-,3.78,-,3.83,-,3.21,-,3.09,-,3.05,-,3.47,-,2.93,-
0,0,0,0,0,有業人員,1.76,-,1.76,-,1.63,-,1.64,-,1.93,-,1.76,-,1.64,-,1.63,-,1.86,-
0,0,0,0,0,世帯主平均年齢,49.5,-,47.2,-,35.2,-,44.6,-,56,-,50.9,-,33.7,-,44.8,-,59.6,-
1,0,0,0,0,受取,1609662,-,1866756,-,1606859,-,2055934,-,1836465,-,1457951,-,1583648,-,1814583,-,1260834,-
1,1,0,0,0,実収入,730386,100,865420,100,799758,100,851472,100,917044,100,649895,100,639332,100,764515,100,604391,100
1,2,0,0,0,経常収入,711310,97.4,849726,98.2,781460,97.7,831799,97.7,905591,98.8,628322,96.7,607600,95,723767,94.7,594628,98.4
1,3,0,0,0,勤め先収入,673304,92.2,819433,94.7,743694,93,809097,95,873037,95.2,585666,90.1,582489,91.1,706875,92.5,535269,88.6
1,4,0,0,0,世帯主収入,549604,75.2,664107,76.7,581918,72.8,668883,78.6,705732,77,480701,74,445843,69.7,592412,77.5,445934,73.8
1,6,0,0,0,うち男,524416,71.8,642380,74.2,552550,69.1,648110,76.1,686813,74.9,453588,69.8,410215,64.2,567614,74.2,421016,69.7
1,5,0,0,0,定期収入,442767,60.6,523958,60.5,457258,57.2,534157,62.7,550533,60,393854,60.6,366287,57.3,469401,61.4,371730,61.5
1,5,0,0,0,臨時収入,4565,0.6,6508,0.8,5198,0.6,9550,1.1,4118,0.4,3465,0.5,2643,0.4,5331,0.7,2969,0.5
1,5,0,0,0,賞与,102272,14,133640,15.4,119462,14.9,125176,14.7,151081,16.5,83383,12.8,76913,12,117680,15.4,71235,11.8
1,4,0,0,0,世帯主の配偶者の収入,111873,15.3,146694,17,161776,20.2,138948,16.3,147418,16.1,91157,14,133610,20.9,114052,14.9,66090,10.9
1,6,0,0,0,うち女,107887,14.8,141952,16.4,150238,18.8,135645,15.9,145173,15.8,87677,13.5,118421,18.5,112791,14.8,65899,10.9
1,4,0,0,0,他の世帯員収入,11827,1.6,8633,1,-,-,1266,0.1,19887,2.2,13807,2.1,3036,0.5,411,0.1,23245,3.8
1,3,0,0,0,事業・内職収入,6894,0.9,7692,0.9,4357,0.5,3779,0.4,12798,1.4,6381,1,881,0.1,3146,0.4,9692,1.6
1,4,0,0,0,家賃収入,3680,0.5,4655,0.5,2411,0.3,503,0.1,9597,1,3083,0.5,146,0,1954,0.3,4554,0.8
1,4,0,0,0,他の事業収入,1622,0.2,1467,0.2,1862,0.2,1398,0.2,1195,0.1,1712,0.3,322,0.1,982,0.1,2532,0.4
1,4,0,0,0,内職収入,1592,0.2,1569,0.2,84,0,1878,0.2,2007,0.2,1586,0.2,413,0.1,210,0,2605,0.4
1,3,0,0,0,他の経常収入,31112,4.3,22602,2.6,33410,4.2,18924,2.2,19756,2.2,36276,5.6,24230,3.8,13746,1.8,49668,8.2
1,4,0,0,0,財産収入,2101,0.3,1336,0.2,641,0.1,2337,0.3,1101,0.1,2646,0.4,591,0.1,528,0.1,4307,0.7
1,4,0,0,0,社会保障給付,28649,3.9,21053,2.4,32643,4.1,16183,1.9,18549,2,33181,5.1,23477,3.7,12638,1.7,44910,7.4
1,5,0,0,0,公的年金給付,18101,2.5,7572,0.9,-,-,2858,0.3,15849,1.7,24235,3.7,3705,0.6,3478,0.5,39949,6.6
1,5,0,0,0,他の社会保障給付,10549,1.4,13481,1.6,32643,4.1,13325,1.6,2700,0.3,8946,1.4,19772,3.1,9161,1.2,4961,0.8
1,4,0,0,0,仕送り金,362,0,214,0,126,0,404,0,107,0,448,0.1,162,0,580,0.1,451,0.1
1,2,0,0,0,特別収入,19076,2.6,15694,1.8,18298,2.3,19673,2.3,11453,1.2,21573,3.3,31732,5,40749,5.3,9763,1.6
1,3,0,0,0,受贈金,8128,1.1,2677,0.3,927,0.1,4981,0.6,1233,0.1,11584,1.8,21384,3.3,27886,3.6,1101,0.2
1,3,0,0,0,他の特別収入,10947,1.5,13016,1.5,17371,2.2,14692,1.7,10220,1.1,9989,1.5,10348,1.6,12864,1.7,8662,1.4
1,1,0,0,0,実収入以外の受取(繰入金を除く),550614,-,647264,-,579188,-,639608,-,690492,-,492101,-,398899,-,635128,-,465865,-
1,2,0,0,0,預貯金引出,407250,-,490392,-,420375,-,479651,-,536303,-,357150,-,278550,-,479592,-,334684,-
1,2,0,0,0,保険金,7532,-,5117,-,1452,-,3353,-,9170,-,8913,-,-,-,941,-,15383,-
1,3,0,0,0,個人・企業年金保険金,6051,-,2904,-,1115,-,717,-,6076,-,7915,-,-,-,-,-,14001,-
1,3,0,0,0,他の保険金,1482,-,2214,-,336,-,2636,-,3093,-,999,-,-,-,941,-,1381,-
1,2,0,0,0,有価証券売却,1609,-,465,-,2468,-,-,-,-,-,2258,-,4725,-,5223,-,-,-
1,2,0,0,0,土地家屋借入金,3242,-,-,-,-,-,-,-,-,-,4792,-,-,-,19610,-,-,-
1,2,0,0,0,他の借入金,698,-,1333,-,-,-,-,-,3258,-,276,-,-,-,78,-,456,-
1,2,0,0,0,クレジット購入借入金,129755,-,149607,-,153864,-,156399,-,141671,-,118087,-,114996,-,129590,-,114471,-
1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,528,-,350,-,1030,-,205,-,89,-,626,-,627,-,95,-,872,-
