年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成26年平均,26.8,31.2,31.3,30.4,29.6,27,26.4,23.4
nen,平成27年平均,28.1,29.7,31.7,30.6,30.4,28.3,26.3,26.6
nen,平成28年平均,27.6,28.5,29.4,29.1,28.8,27.5,26.6,26.7
nen,平成29年平均,26.9,27.6,28.5,28.6,27.8,27.3,25.8,26.2
nen,平成30年平均,27.6,28.9,30.7,28.1,27.9,27.4,26.1,27.4
nen,平成31年・令和元年平均,26.7,28.2,28.5,28.9,27.1,25.9,26.4,25.9
nen,令和 2年平均,27.2,27.8,28.8,29.3,28.4,26.6,26.3,26.4
tuki,令和 2年 4月,38.1,28,32.6,34.3,34.4,30.3,31.2,47.5
tuki,令和 2年 5月,28.1,24,31.3,29.2,26.5,29.4,27.2,28.1
tuki,令和 2年 6月,25.8,25.1,29.4,29.5,26.6,27.2,28.7,21.3
tuki,令和 2年 7月,25.5,26.7,27.2,25.8,27.9,24.5,26.1,24.1
tuki,令和 2年 8月,25.6,27.7,27.6,28.7,26,27,23.9,23.9
tuki,令和 2年 9月,27,27.1,27.3,29.3,25.8,27.5,26.8,26.5
tuki,令和 2年10月,28,26.5,27.8,30.3,24.4,26.9,29.2,28.7
tuki,令和 2年11月,24.7,30.5,25.6,31.2,27.1,23.3,24.1,22
tuki,令和 2年12月,21.8,25.5,24.1,27.6,24.3,22.1,19.5,19.4
tuki,令和 3年 1月,26.6,26.7,31.7,27.5,27.9,27.9,24.6,25.2
tuki,令和 3年 2月,28.2,29.6,30.4,26.1,31.2,29.1,29.5,26.1
tuki,令和 3年 3月,25.5,27.6,30.3,28.2,30.1,25.5,23,23.5
tuki,令和 3年 4月,33,25.6,30.7,28.1,30.6,27.5,28,39.6
,,,,,,,,,
東京都生計分析調査　令和 3年 4月,,,,,,,,,
主　　要　　指　　標　　　４　　―　全世帯，生計支出７分位階層別　―,,,,,,,,,
公共的料金負担率　　　〔＝（公共的料金÷消費支出） ×１００〕,,,,,,,,,
