項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,665,-,-,88,-,93,-,97,-,94,-,99,-,94,-,100,-
0,0,世帯人員,2.88,-,-,2.66,-,2.63,-,2.76,-,2.81,-,2.97,-,3.04,-,3.31,-
0,0,有業人員,1.32,-,-,1.2,-,1.14,-,1.1,-,1.25,-,1.38,-,1.57,-,1.62,-
0,0,世帯主平均年齢,60.4,-,-,62.4,-,62.4,-,62.5,-,61.2,-,59.5,-,58.1,-,56.5,-
0,0,消費支出,373357,-,0.3,125461,-,190978,-,251516,-,305269,-,378036,-,465172,-,893524,-
0,0,公共的料金,81865,21.9,0.9,31434,25.1,46966,24.6,58100,23.1,67100,22,98572,26.1,107065,23,163158,18.3
1,0,公共料金等,54190,14.5,7.1,26852,21.4,34474,18.1,44663,17.8,49498,16.2,64765,17.1,70891,15.2,87912,9.8
1,1,米,1528,0.4,-2.3,766,0.6,1403,0.7,1254,0.5,1462,0.5,2680,0.7,1324,0.3,1792,0.2
1,1,食塩,37,0,-17.8,22,0,44,0,43,0,28,0,47,0,42,0,35,0
1,1,学校給食,891,0.2,18.5,367,0.3,166,0.1,966,0.4,764,0.3,1175,0.3,1038,0.2,1756,0.2
1,1,公営家賃,1343,0.4,8.9,1816,1.4,177,0.1,1684,0.7,323,0.1,4146,1.1,990,0.2,260,0
1,1,電気代,7811,2.1,-4.3,5064,4,6369,3.3,7183,2.9,8190,2.7,8155,2.2,9057,1.9,10640,1.2
1,1,都市ガス,5381,1.4,11.3,3488,2.8,4258,2.2,5283,2.1,5223,1.7,6162,1.6,6159,1.3,7076,0.8
1,1,上下水道料,5966,1.6,7.7,3609,2.9,4931,2.6,6062,2.4,5970,2,5422,1.4,8163,1.8,7600,0.9
1,1,医科診療代,3435,0.9,-13.3,1423,1.1,2264,1.2,2810,1.1,3921,1.3,4467,1.2,3238,0.7,5896,0.7
1,1,歯科診療代,3259,0.9,136.8,412,0.3,426,0.2,1823,0.7,686,0.2,4350,1.2,5463,1.2,9601,1.1
1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,他の入院料,1235,0.3,-16.3,-,-,1406,0.7,439,0.2,383,0.1,2037,0.5,1293,0.3,3065,0.3
1,1,鉄道運賃,3647,1,122,333,0.3,1208,0.6,1780,0.7,2479,0.8,4036,1.1,7092,1.5,8564,1
1,1,鉄道通学定期代,113,0,-53.9,-,-,-,-,63,0,143,0,-,-,508,0.1,80,0
1,1,鉄道通勤定期代,1260,0.3,19.1,380,0.3,98,0.1,417,0.2,1077,0.4,1908,0.5,1863,0.4,3065,0.3
1,1,バス代,201,0.1,-6.5,11,0,151,0.1,186,0.1,150,0,149,0,378,0.1,381,0
1,1,バス通学定期代,38,0,65.2,-,-,-,-,54,0,107,0,-,-,-,-,106,0
1,1,バス通勤定期代,113,0,-3.4,-,-,-,-,7,0,7,0,-,-,781,0.2,-,-
1,1,タクシー代,648,0.2,27.8,137,0.1,541,0.3,525,0.2,498,0.2,548,0.1,627,0.1,1652,0.2
1,1,航空運賃,214,0.1,239.7,-,-,-,-,302,0.1,-,-,293,0.1,402,0.1,501,0.1
1,1,郵便料,2060,0.6,-9.6,753,0.6,1206,0.6,1775,0.7,2099,0.7,2206,0.6,2164,0.5,4199,0.5
1,1,固定電話通信料,1460,0.4,15.6,1225,1,1111,0.6,1517,0.6,1494,0.5,1595,0.4,1544,0.3,1731,0.2
1,1,携帯電話通信料,8627,2.3,-2.8,4194,3.3,5603,2.9,6948,2.8,9157,3,10068,2.7,12378,2.7,12018,1.3
1,1,ＮＨＫ放送受信料,1870,0.5,9.4,881,0.7,1722,0.9,1342,0.5,1629,0.5,2635,0.7,1875,0.4,2991,0.3
1,1,ケーブルテレビ放送受信料,1103,0.3,-11.9,448,0.4,759,0.4,1311,0.5,1453,0.5,904,0.2,1366,0.3,1480,0.2
1,1,他の放送受信料,164,0,-26.5,28,0,76,0,124,0,216,0.1,68,0,394,0.1,245,0
1,1,国公立小学校,159,0,-45.4,142,0.1,-,-,278,0.1,63,0,167,0,141,0,319,0
1,1,国公立中学校,438,0.1,682.1,422,0.3,-,-,-,-,213,0.1,253,0.1,504,0.1,1667,0.2
1,1,国公立高校,102,0,-72.2,211,0.2,-,-,-,-,143,0,317,0.1,-,-,45,0
1,1,国公立大学,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,たばこ,1086,0.3,-10.3,719,0.6,555,0.3,486,0.2,1621,0.5,977,0.3,2104,0.5,1147,0.1
2,0,準公共料金等,27674,7.4,-9.4,4582,3.7,12492,6.5,13437,5.3,17602,5.8,33807,8.9,36174,7.8,75246,8.4
2,1,牛乳,1377,0.4,9.1,766,0.6,1091,0.6,1227,0.5,1343,0.4,1621,0.4,1710,0.4,1877,0.2
2,1,灯油,709,0.2,12.4,668,0.5,523,0.3,808,0.3,577,0.2,952,0.3,450,0.1,985,0.1
2,1,プロパンガス,364,0.1,-13.3,137,0.1,726,0.4,333,0.1,191,0.1,294,0.1,350,0.1,513,0.1
2,1,理髪料,508,0.1,9,254,0.2,316,0.2,375,0.1,452,0.1,756,0.2,638,0.1,764,0.1
2,1,パーマネント代,316,0.1,11.3,-,-,238,0.1,483,0.2,321,0.1,410,0.1,39,0,715,0.1
2,1,洗濯代,390,0.1,-36.3,105,0.1,100,0.1,191,0.1,278,0.1,70,0,852,0.2,1130,0.1
2,1,新聞,2389,0.6,6.2,1269,1,2235,1.2,2493,1,2676,0.9,2524,0.7,2549,0.5,2971,0.3
2,1,私立小学校,88,0,-39.3,-,-,8,0,-,-,-,-,-,-,-,-,607,0.1
2,1,私立中学校,2066,0.6,51.4,-,-,-,-,-,-,-,-,2868,0.8,3815,0.8,7736,0.9
2,1,私立高校,1261,0.3,-66.8,-,-,811,0.4,-,-,-,-,-,-,2304,0.5,5684,0.6
2,1,私立大学,3888,1,-11.5,-,-,-,-,-,-,-,-,-,-,322,0.1,26756,3
2,1,幼児教育費用,987,0.3,81.8,-,-,27,0,1858,0.7,375,0.1,1953,0.5,1643,0.4,1050,0.1
2,1,民営家賃,10860,2.9,-17.1,1123,0.9,6049,3.2,5155,2,9425,3.1,16056,4.2,19560,4.2,18566,2.1
2,1,地代,2471,0.7,92.4,260,0.2,368,0.2,514,0.2,1966,0.6,6303,1.7,1942,0.4,5893,0.7
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 3年12月,,,,,,,,,,,,,,,,,,,
第１１表　生計支出７分位階層別１世帯当たり１か月間の公共的料金支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：公共料金等　2：準公共料金等）,,,,,,,,,,,,,,,,,,,
