項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,886,-,1123,-,1499,-,1556,-,1647,-,1231,-,1012,-,1047,-
0,0,0,0,0,調査世帯数,374,-,33,-,44,-,53,-,60,-,63,-,48,-,37,-,36,-
0,0,0,0,0,世帯人員,3.33,-,3.16,-,3.9,-,3.92,-,3.49,-,3.53,-,2.84,-,2.91,-,2.42,-
0,0,0,0,0,有業人員,1.71,-,1.55,-,1.5,-,1.57,-,1.72,-,1.85,-,1.88,-,2.05,-,1.52,-
0,0,0,0,0,世帯主平均年齢,49.6,-,30.9,-,37.2,-,41.8,-,46.6,-,51.9,-,57.3,-,62.1,-,69.3,-
1,0,0,0,0,受取,1515536,-,1217027,-,1787079,-,1931469,-,1722158,-,1521821,-,1339375,-,1278684,-,1000473,-
1,1,0,0,0,実収入,607627,100,564303,100,539817,100,706722,100,688889,100,654594,100,504738,100,572678,100,535207,100
1,2,0,0,0,経常収入,596361,98.1,559533,99.2,533837,98.9,694771,98.3,651981,94.6,648973,99.1,501553,99.4,562429,98.2,532511,99.5
1,3,0,0,0,勤め先収入,528398,87,507731,90,474268,87.9,635078,89.9,624209,90.6,631165,96.4,466282,92.4,496966,86.8,250507,46.8
1,4,0,0,0,世帯主収入,437695,72,392305,69.5,403009,74.7,502802,71.1,522649,75.9,524942,80.2,407136,80.7,403495,70.5,225525,42.1
1,6,0,0,0,うち男,421859,69.4,376035,66.6,379897,70.4,486808,68.9,505106,73.3,504847,77.1,393503,78,394903,69,217731,40.7
1,5,0,0,0,定期収入,425998,70.1,386701,68.5,388631,72,483425,68.4,498332,72.3,516845,79,402696,79.8,400026,69.9,219156,40.9
1,5,0,0,0,臨時収入,7095,1.2,5605,1,8673,1.6,5426,0.8,14512,2.1,6007,0.9,4440,0.9,3469,0.6,6369,1.2
1,5,0,0,0,賞与,4602,0.8,-,-,5705,1.1,13951,2,9805,1.4,2090,0.3,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,81334,13.4,115425,20.5,71259,13.2,132276,18.7,101560,14.7,90371,13.8,41690,8.3,57770,10.1,15458,2.9
1,6,0,0,0,うち女,77035,12.7,90464,16,60019,11.1,132276,18.7,101560,14.7,90371,13.8,34976,6.9,57770,10.1,15458,2.9
1,4,0,0,0,他の世帯員収入,9369,1.5,-,-,-,-,-,-,-,-,15852,2.4,17456,3.5,35701,6.2,9524,1.8
1,3,0,0,0,事業・内職収入,5033,0.8,4412,0.8,305,0.1,6160,0.9,896,0.1,4000,0.6,14338,2.8,9665,1.7,1368,0.3
1,4,0,0,0,家賃収入,2899,0.5,-,-,152,0,5186,0.7,-,-,-,-,10095,2,8516,1.5,-,-
1,4,0,0,0,他の事業収入,467,0.1,-,-,152,0,974,0.1,835,0.1,1058,0.2,-,-,-,-,-,-
1,4,0,0,0,内職収入,1666,0.3,4412,0.8,-,-,-,-,61,0,2942,0.4,4243,0.8,1149,0.2,1368,0.3
1,3,0,0,0,他の経常収入,62930,10.4,47390,8.4,59264,11,53533,7.6,26876,3.9,13809,2.1,20933,4.1,55798,9.7,280636,52.4
1,4,0,0,0,財産収入,1296,0.2,-,-,3260,0.6,0,0,427,0.1,3,0,3,0,3551,0.6,4806,0.9
1,4,0,0,0,社会保障給付,61388,10.1,47390,8.4,55457,10.3,53533,7.6,26450,3.8,13795,2.1,20930,4.1,50440,8.8,275830,51.5
1,5,0,0,0,公的年金給付,38299,6.3,-,-,-,-,6875,1,10815,1.6,1940,0.3,20930,4.1,44530,7.8,269251,50.3
1,5,0,0,0,他の社会保障給付,23089,3.8,47390,8.4,55457,10.3,46658,6.6,15634,2.3,11855,1.8,-,-,5910,1,6578,1.2
1,4,0,0,0,仕送り金,246,0,-,-,547,0.1,-,-,-,-,11,0,-,-,1808,0.3,-,-
1,2,0,0,0,特別収入,11266,1.9,4771,0.8,5980,1.1,11951,1.7,36908,5.4,5621,0.9,3185,0.6,10249,1.8,2696,0.5
1,3,0,0,0,受贈金,5012,0.8,653,0.1,49,0,3956,0.6,23651,3.4,143,0,1040,0.2,4086,0.7,1049,0.2
1,3,0,0,0,他の特別収入,6254,1,4117,0.7,5931,1.1,7995,1.1,13257,1.9,5478,0.8,2145,0.4,6163,1.1,1647,0.3
1,1,0,0,0,実収入以外の受取(繰入金を除く),492676,-,396566,-,328665,-,521332,-,481442,-,574928,-,700762,-,488773,-,355258,-
1,2,0,0,0,預貯金引出,348299,-,269229,-,212413,-,355313,-,296873,-,428200,-,548176,-,330533,-,283807,-
1,2,0,0,0,保険金,8664,-,-,-,-,-,-,-,-,-,4000,-,22251,-,39326,-,12288,-
1,3,0,0,0,個人・企業年金保険金,8005,-,-,-,-,-,-,-,-,-,-,-,22251,-,39326,-,12288,-
1,3,0,0,0,他の保険金,659,-,-,-,-,-,-,-,-,-,4000,-,-,-,-,-,-,-
1,2,0,0,0,有価証券売却,10418,-,-,-,2008,-,-,-,65491,-,-,-,-,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
