項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,9217,-,2378,-,2098,-,7622,-,7119,-,783,-
0,0,0,0,0,調査世帯数,214,-,-,197,-,47,-,41,-,167,-,156,-,17,-
0,0,0,0,0,世帯人員,2.34,-,-,2.34,-,2.25,-,2.25,-,2.38,-,2.37,-,2.35,-
0,0,0,0,0,有業人員,0.43,-,-,0.43,-,0.29,-,0.31,-,0.47,-,0.47,-,0.35,-
0,0,0,0,0,世帯主平均年齢,75.1,-,-,75.5,-,76.6,-,77.1,-,74.7,-,75.1,-,70.4,-
1,0,0,0,0,受取,699788,-,-4.7,722805,-,453409,-,468436,-,775903,-,796542,-,429052,-
1,1,0,0,0,実収入,235231,100,-9.8,244128,100,149773,100,155710,100,261629,100,269693,100,127196,100
1,2,0,0,0,経常収入,228818,97.3,-2.3,237696,97.4,143954,96.1,149932,96.3,254923,97.4,262971,97.5,121748,95.7
1,3,0,0,0,勤め先収入,32643,13.9,23.8,32747,13.4,6015,4,5550,3.6,40868,15.6,40743,15.1,28818,22.7
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,9198,3.9,33.5,9015,3.7,2768,1.8,1866,1.2,11210,4.3,11147,4.1,11726,9.2
1,6,0,0,0,うち女,8658,3.7,25.7,8440,3.5,2768,1.8,1866,1.2,10478,4,10379,3.8,11726,9.2
1,4,0,0,0,他の世帯員収入,23445,10,20.4,23732,9.7,3246,2.2,3684,2.4,29658,11.3,29596,11,17092,13.4
1,3,0,0,0,事業・内職収入,6694,2.8,-46.6,7101,2.9,3540,2.4,3645,2.3,7756,3,8194,3,2556,2
1,4,0,0,0,家賃収入,3333,1.4,-48.1,3611,1.5,1765,1.2,1996,1.3,3881,1.5,4142,1.5,-,-
1,4,0,0,0,他の事業収入,710,0.3,-53.4,774,0.3,-,-,-,-,939,0.4,1009,0.4,-,-
1,4,0,0,0,内職収入,2651,1.1,-42.4,2716,1.1,1775,1.2,1649,1.1,2936,1.1,3043,1.1,2556,2
1,3,0,0,0,他の経常収入,189480,80.6,-2.9,197848,81,134399,89.7,140738,90.4,206299,78.9,214034,79.4,90374,71.1
1,4,0,0,0,財産収入,4276,1.8,-18.2,4632,1.9,2519,1.7,2818,1.8,4670,1.8,5022,1.9,71,0.1
1,4,0,0,0,社会保障給付,183738,78.1,-3.1,192280,78.8,130802,87.3,137554,88.3,200029,76.5,207929,77.1,81357,64
1,5,0,0,0,公的年金給付,179751,76.4,-3.4,188884,77.4,127649,85.2,135877,87.3,195654,74.8,203927,75.6,71500,56.2
1,5,0,0,0,他の社会保障給付,3987,1.7,12.8,3397,1.4,3153,2.1,1677,1.1,4374,1.7,4002,1.5,9856,7.7
1,4,0,0,0,仕送り金,1466,0.6,423.6,936,0.4,1078,0.7,366,0.2,1600,0.6,1084,0.4,8946,7
1,2,0,0,0,特別収入,6413,2.7,-75.9,6433,2.6,5819,3.9,5777,3.7,6706,2.6,6722,2.5,5448,4.3
1,3,0,0,0,受贈金,758,0.3,-18.1,751,0.3,1037,0.7,1183,0.8,712,0.3,668,0.2,726,0.6
1,3,0,0,0,他の特別収入,5655,2.4,-78,5682,2.3,4783,3.2,4595,3,5993,2.3,6055,2.2,4722,3.7
1,1,0,0,0,実収入以外の受取(繰入金を除く),360116,-,-2.7,370823,-,220563,-,228167,-,403171,-,412200,-,233556,-
1,2,0,0,0,預貯金引出,257762,-,-5.8,264157,-,173647,-,178807,-,284108,-,289355,-,182525,-
1,2,0,0,0,保険金,40146,-,35,42063,-,13473,-,14692,-,48091,-,49675,-,18483,-
1,3,0,0,0,個人・企業年金保険金,29411,-,5.4,30334,-,8245,-,9290,-,35948,-,36456,-,17886,-
1,3,0,0,0,他の保険金,10735,-,483.1,11729,-,5228,-,5402,-,12143,-,13218,-,597,-
1,2,0,0,0,有価証券売却,118,-,-4.1,127,-,-,-,-,-,176,-,184,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,1339,-,202.9,1174,-,796,-,-,-,1496,-,1482,-,2855,-
1,2,0,0,0,クレジット購入借入金,60211,-,-4.3,62794,-,32582,-,34594,-,68553,-,70815,-,28652,-
1,2,0,0,0,土地家屋売却,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,539,-,-18.3,508,-,64,-,74,-,748,-,690,-,1041,-
1,1,0,0,0,繰入金,104441,-,0.8,107854,-,83074,-,84559,-,111104,-,114648,-,68300,-
2,0,0,0,0,支払,699788,-,-4.7,722805,-,453409,-,468436,-,775903,-,796542,-,429052,-
2,1,0,0,0,実支出,292619,-,-2.7,298717,-,203702,-,209342,-,320159,-,324796,-,219329,-
2,2,0,0,0,生計支出,253223,-,-4,257247,-,184465,-,188064,-,274526,-,277413,-,205580,-
2,3,0,0,0,消費支出,253223,100,-4,257247,100,184465,100,188064,100,274526,100,277413,100,205580,100
2,4,1,0,0,食料,79382,31.3,-3.6,80925,31.5,63579,34.5,65959,35.1,84014,30.6,85035,30.7,60771,29.6
2,5,1,1,0,穀類,6572,2.6,-2.1,6684,2.6,5797,3.1,5889,3.1,6782,2.5,6885,2.5,5248,2.6
2,6,1,1,1,米類,1837,0.7,-5.5,1873,0.7,1775,1,1807,1,1852,0.7,1888,0.7,1457,0.7
2,6,1,1,2,パン,2709,1.1,0.3,2766,1.1,2279,1.2,2336,1.2,2830,1,2877,1,2015,1
2,6,1,1,3,麺類,1509,0.6,-3.9,1516,0.6,1287,0.7,1280,0.7,1565,0.6,1573,0.6,1411,0.7
2,6,1,1,4,他の穀類,517,0.2,4,529,0.2,455,0.2,465,0.2,536,0.2,547,0.2,365,0.2
2,5,1,2,0,魚介類,7795,3.1,-1.9,8019,3.1,6790,3.7,7215,3.8,8062,2.9,8208,3,5243,2.6
2,6,1,2,1,生鮮魚介,4548,1.8,1.9,4671,1.8,3882,2.1,4138,2.2,4726,1.7,4798,1.7,3181,1.5
2,6,1,2,2,塩干魚介,1298,0.5,-7.9,1338,0.5,1166,0.6,1212,0.6,1332,0.5,1366,0.5,828,0.4
2,6,1,2,3,魚肉練製品,817,0.3,-6.3,840,0.3,742,0.4,796,0.4,832,0.3,845,0.3,549,0.3
2,6,1,2,4,他の魚介加工品,1132,0.4,-5.8,1171,0.5,1001,0.5,1070,0.6,1172,0.4,1199,0.4,685,0.3
2,5,1,3,0,肉類,7314,2.9,-3,7471,2.9,5514,3,5741,3.1,7847,2.9,7953,2.9,5500,2.7
2,6,1,3,1,生鮮肉,5888,2.3,-3.6,6006,2.3,4343,2.4,4503,2.4,6351,2.3,6429,2.3,4517,2.2
2,6,1,3,2,加工肉,1426,0.6,-0.6,1465,0.6,1171,0.6,1238,0.7,1496,0.5,1524,0.5,984,0.5
2,5,1,4,0,乳卵類,4407,1.7,-11.1,4510,1.8,3690,2,3884,2.1,4609,1.7,4679,1.7,3214,1.6
2,6,1,4,1,牛乳,1403,0.6,-10.8,1418,0.6,1172,0.6,1197,0.6,1466,0.5,1476,0.5,1240,0.6
2,6,1,4,2,乳製品,2157,0.9,-13.9,2231,0.9,1785,1,1935,1,2260,0.8,2307,0.8,1285,0.6
2,6,1,4,3,卵,847,0.3,-3.9,861,0.3,734,0.4,751,0.4,883,0.3,895,0.3,690,0.3
2,5,1,5,0,野菜・海藻,11945,4.7,-5.3,12145,4.7,10216,5.5,10679,5.7,12457,4.5,12548,4.5,9625,4.7
2,6,1,5,1,生鮮野菜,8227,3.2,-4.3,8382,3.3,6958,3.8,7317,3.9,8599,3.1,8673,3.1,6460,3.1
2,6,1,5,2,乾物・海藻,906,0.4,-7.8,929,0.4,790,0.4,817,0.4,944,0.3,962,0.3,624,0.3
2,6,1,5,3,大豆加工品,1310,0.5,-8.8,1328,0.5,1111,0.6,1159,0.6,1372,0.5,1378,0.5,1100,0.5
2,6,1,5,4,他の野菜・海藻加工品,1502,0.6,-6.1,1506,0.6,1357,0.7,1385,0.7,1543,0.6,1536,0.6,1441,0.7
2,5,1,6,0,果物,4838,1.9,-3.6,5031,2,3806,2.1,4119,2.2,5148,1.9,5283,1.9,2658,1.3
2,6,1,6,1,生鮮果物,4369,1.7,-2.2,4546,1.8,3469,1.9,3748,2,4636,1.7,4763,1.7,2398,1.2
2,6,1,6,2,果物加工品,469,0.2,-15.6,484,0.2,337,0.2,371,0.2,513,0.2,520,0.2,259,0.1
2,5,1,7,0,油脂・調味料,4025,1.6,-4.7,4104,1.6,3337,1.8,3484,1.9,4225,1.5,4272,1.5,3058,1.5
2,6,1,7,1,油脂,495,0.2,1.4,503,0.2,415,0.2,442,0.2,516,0.2,517,0.2,410,0.2
2,6,1,7,2,調味料,3530,1.4,-5.5,3601,1.4,2922,1.6,3043,1.6,3709,1.4,3756,1.4,2648,1.3
2,5,1,8,0,菓子類,5798,2.3,-3.2,5899,2.3,4401,2.4,4568,2.4,6201,2.3,6256,2.3,4539,2.2
2,5,1,9,0,調理食品,12151,4.8,-3.5,12266,4.8,9561,5.2,9605,5.1,12911,4.7,12996,4.7,10735,5.2
2,6,1,9,1,主食的調理食品,5113,2,-5.3,5159,2,4078,2.2,4061,2.2,5436,2,5477,2,4525,2.2
2,6,1,9,2,他の調理食品,7038,2.8,-2.2,7107,2.8,5483,3,5545,2.9,7475,2.7,7519,2.7,6210,3
2,5,1,10,0,飲料,4753,1.9,-3.1,4863,1.9,3600,2,3715,2,5091,1.9,5182,1.9,3412,1.7
2,6,1,10,1,茶類,1245,0.5,-8.7,1255,0.5,965,0.5,966,0.5,1327,0.5,1338,0.5,1116,0.5
2,6,1,10,2,コーヒー・ココア,962,0.4,4.2,998,0.4,630,0.3,671,0.4,1057,0.4,1087,0.4,517,0.3
2,6,1,10,3,他の飲料,2546,1,-2.8,2610,1,2005,1.1,2079,1.1,2707,1,2757,1,1779,0.9
2,5,1,11,0,酒類,3451,1.4,-5,3473,1.4,2673,1.4,2794,1.5,3646,1.3,3635,1.3,3107,1.5
2,5,1,12,0,外食,6334,2.5,1.4,6461,2.5,4194,2.3,4266,2.3,7035,2.6,7138,2.6,4432,2.2
2,6,1,12,1,一般外食,6298,2.5,1.2,6422,2.5,4170,2.3,4241,2.3,6995,2.5,7095,2.6,4432,2.2
2,6,1,12,2,学校給食,36,0,63.6,39,0,25,0,26,0,40,0,43,0,-,-
2,4,2,0,0,住居,23196,9.2,1,20973,8.2,12351,6.7,8772,4.7,26676,9.7,24690,8.9,49727,24.2
2,5,2,1,0,家賃地代,5282,2.1,0.7,1776,0.7,5564,3,1749,0.9,5114,1.9,1778,0.6,46902,22.8
2,5,2,2,0,設備修繕・維持,17914,7.1,1,19196,7.5,6787,3.7,7023,3.7,21563,7.9,22912,8.3,2825,1.4
