項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,682,-,-,91,-,100,-,91,-,105,-,99,-,98,-,98,-
0,世帯人員,2.93,-,-,2.55,-,2.65,-,2.9,-,2.92,-,2.92,-,3.22,-,3.36,-
0,有業人員,1.33,-,-,1.14,-,1.16,-,1.17,-,1.21,-,1.31,-,1.61,-,1.71,-
0,世帯主平均年齢,59.6,-,-,64.8,-,63.4,-,59.4,-,60,-,58.2,-,57.3,-,53.9,-
0,消費支出,329403,100,-7.8,108157,100,166713,100,209496,100,253346,100,321879,100,412840,100,829464,100
2,基礎的支出,172921,52.5,-8.5,80976,74.9,115210,69.1,134843,64.4,153635,60.6,189027,58.7,219669,53.2,315663,38.1
3,選択的支出,156483,47.5,-7,27182,25.1,51503,30.9,74653,35.6,99712,39.4,132852,41.3,193171,46.8,513801,61.9
1,食料,93934,28.5,-3.1,54274,50.2,73186,43.9,81027,38.7,89048,35.1,106715,33.2,115932,28.1,136797,16.5
2,基礎的支出,73379,22.3,-2.3,46779,43.3,60895,36.5,65103,31.1,72206,28.5,82929,25.8,88628,21.5,96738,11.7
3,選択的支出,20555,6.2,-5.8,7496,6.9,12290,7.4,15924,7.6,16842,6.6,23786,7.4,27304,6.6,40059,4.8
1,住居,25345,7.7,-22.4,2175,2,7732,4.6,13124,6.3,8495,3.4,24013,7.5,33168,8,88317,10.6
2,基礎的支出,24165,7.3,-22.4,2175,2,7565,4.5,13124,6.3,7525,3,23347,7.3,28798,7,86261,10.4
3,選択的支出,1180,0.4,-22.6,-,-,166,0.1,-,-,971,0.4,666,0.2,4370,1.1,2056,0.2
1,光熱・水道,19518,5.9,-4.3,11137,10.3,16428,9.9,19819,9.5,23610,9.3,20067,6.2,23355,5.7,22107,2.7
2,基礎的支出,19518,5.9,-4.3,11137,10.3,16428,9.9,19819,9.5,23610,9.3,20067,6.2,23355,5.7,22107,2.7
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,13131,4,14.5,3961,3.7,6129,3.7,7360,3.5,8348,3.3,14009,4.4,23682,5.7,28263,3.4
2,基礎的支出,9488,2.9,20.9,3265,3,4280,2.6,5284,2.5,5916,2.3,10202,3.2,16532,4,20826,2.5
3,選択的支出,3643,1.1,0.6,696,0.6,1849,1.1,2076,1,2432,1,3807,1.2,7150,1.7,7437,0.9
1,被服及び履物,11844,3.6,-18.5,3049,2.8,3817,2.3,6624,3.2,9896,3.9,14249,4.4,19163,4.6,25972,3.1
2,基礎的支出,728,0.2,-19,282,0.3,449,0.3,325,0.2,916,0.4,1012,0.3,1052,0.3,1049,0.1
3,選択的支出,11116,3.4,-18.4,2767,2.6,3368,2,6299,3,8980,3.5,13237,4.1,18111,4.4,24923,3
1,保健医療,16582,5,-14.8,6103,5.6,8288,5,11322,5.4,12220,4.8,21428,6.7,21726,5.3,34851,4.2
2,基礎的支出,13993,4.2,-12.4,5563,5.1,7379,4.4,9768,4.7,10595,4.2,17822,5.5,17271,4.2,29441,3.5
3,選択的支出,2589,0.8,-25.9,540,0.5,908,0.5,1554,0.7,1625,0.6,3605,1.1,4455,1.1,5409,0.7
1,交通・通信,42411,12.9,2.5,6723,6.2,15286,9.2,17500,8.4,26673,10.5,32868,10.2,45947,11.1,151122,18.2
2,基礎的支出,7818,2.4,-18.2,2208,2,3785,2.3,4622,2.2,8793,3.5,7969,2.5,10041,2.4,17205,2.1
3,選択的支出,34593,10.5,8.8,4515,4.2,11501,6.9,12878,6.1,17880,7.1,24899,7.7,35906,8.7,133917,16.1
1,教育,28087,8.5,-17.3,235,0.2,2601,1.6,2960,1.4,8719,3.4,5969,1.9,13543,3.3,161849,19.5
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,28087,8.5,-17.3,235,0.2,2601,1.6,2960,1.4,8719,3.4,5969,1.9,13543,3.3,161849,19.5
1,教養娯楽,34283,10.4,-8.6,9439,8.7,13757,8.3,21062,10.1,30137,11.9,37471,11.6,52905,12.8,74807,9
2,基礎的支出,6721,2,-17.6,4106,3.8,5355,3.2,5327,2.5,7377,2.9,7362,2.3,7627,1.8,9843,1.2
3,選択的支出,27562,8.4,-6.1,5332,4.9,8402,5,15735,7.5,22760,9,30110,9.4,45278,11,64964,7.8
1,その他の消費支出,44269,13.4,-9.6,11061,10.2,19490,11.7,28700,13.7,36201,14.3,45088,14,63418,15.4,105380,12.7
2,基礎的支出,17110,5.2,-14.2,5460,5,9074,5.4,11472,5.5,16697,6.6,18316,5.7,26365,6.4,32193,3.9
3,選択的支出,27159,8.2,-6.3,5602,5.2,10417,6.2,17227,8.2,19504,7.7,26772,8.3,37053,9,73187,8.8
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 3年10月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
