項目名,全世帯／実数（円）,全世帯／対前年増加率／名目（％）,全世帯／対前年増加率／実質（％）,勤労者世帯／実数（円）,勤労者世帯／対前年増加率／名目（％）,勤労者世帯／対前年増加率／実質（％）
集計世帯数,7424,,,4024,,
世帯人員(人),2.93,,,3.28,,
有業人員(人),1.34,,,1.78,,
世帯主の配偶者のうち女の有業率（％）,39.7,,,54.2,,
世帯主の年齢 (歳),60.1,,,50.1,,
実収入,-,-,-,605316,-0.7,-0.4
経常収入,-,-,-,591462,2.1,2.4
勤め先収入,-,-,-,550973,2.6,2.9
世帯主収入,-,-,-,444517,2.9,3.2
世帯主収入うち男,-,-,-,421323,2.7,3
定期収入,-,-,-,360299,2.3,2.6
臨時収入,-,-,-,4234,-9.4,-9.1
賞与,-,-,-,79984,6.4,6.7
世帯主の配偶者の収入,-,-,-,90827,1.1,1.4
世帯主の配偶者の収入うち女,-,-,-,88164,0.6,0.9
他の世帯員収入,-,-,-,15629,3,3.3
事業・内職収入,-,-,-,3630,2.3,2.6
他の経常収入,-,-,-,36859,-4.8,-4.5
特別収入,-,-,-,13854,-54.4,-54.3
実収入以外の受取(繰入金を除く),-,-,-,439626,-0.9,-
預貯金引出,-,-,-,339389,-1.2,-
実支出,-,-,-,422103,1.3,-
消費支出,279024,0.4,0.7,309469,1.2,1.5
食料,75761,-0.9,-0.9,78576,-1.2,-1.2
穀類,6389,-4.2,-3,6599,-4.8,-3.6
米,1763,-8.6,-5.6,1708,-9.4,-6.4
パン,2576,-0.6,-0.1,2728,-1.1,-0.6
麺類,1585,-4.2,-3.9,1683,-5.4,-5.1
他の穀類,465,-6.3,-6.3,481,-5.9,-5.9
魚介類,6031,-3.1,-4.2,5058,-4.7,-5.7
生鮮魚介,3461,-2.6,-4.1,2910,-4.9,-6.4
塩干魚介,1035,-5.8,-7.3,856,-7.3,-8.8
魚肉練製品,685,-0.7,-0.9,560,-1.1,-1.3
他の魚介加工品,850,-3.8,-3.1,733,-3.3,-2.6
肉類,7901,-2.5,-3.4,8484,-2.4,-3.3
生鮮肉,6422,-2.4,-3.7,6889,-2.1,-3.4
加工肉,1478,-2.7,-2,1595,-3.9,-3.2
乳卵類,4022,-2.1,-2,3964,-3.4,-3.3
牛乳,1245,-5.9,-5.7,1179,-6.9,-6.7
