項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,665,-,-,88,-,93,-,97,-,94,-,99,-,94,-,100,-
0,世帯人員,2.88,-,-,2.66,-,2.63,-,2.76,-,2.81,-,2.97,-,3.04,-,3.31,-
0,有業人員,1.32,-,-,1.2,-,1.14,-,1.1,-,1.25,-,1.38,-,1.57,-,1.62,-
0,世帯主平均年齢,60.4,-,-,62.4,-,62.4,-,62.5,-,61.2,-,59.5,-,58.1,-,56.5,-
0,消費支出,373357,100,0.3,125461,100,190978,100,251516,100,305269,100,378036,100,465172,100,893524,100
2,基礎的支出,225786,60.5,6.3,87655,69.9,138989,72.8,163116,64.9,190236,62.3,225746,59.7,250548,53.9,522097,58.4
3,選択的支出,147572,39.5,-7.7,37807,30.1,51989,27.2,88400,35.1,115033,37.7,152290,40.3,214624,46.1,371427,41.6
1,食料,118653,31.8,3.6,62767,50,90411,47.3,108237,43,111045,36.4,131198,34.7,140749,30.3,185599,20.8
2,基礎的支出,93731,25.1,2.3,51157,40.8,77615,40.6,87093,34.6,94528,31,104063,27.5,107252,23.1,134028,15
3,選択的支出,24922,6.7,8.7,11610,9.3,12796,6.7,21144,8.4,16518,5.4,27135,7.2,33497,7.2,51570,5.8
1,住居,42159,11.3,61.6,4219,3.4,6916,3.6,8347,3.3,14383,4.7,30922,8.2,31229,6.7,198061,22.2
2,基礎的支出,40138,10.8,65.5,3616,2.9,6916,3.6,7740,3.1,13993,4.6,30922,8.2,26746,5.7,190024,21.3
3,選択的支出,2020,0.5,10.4,603,0.5,-,-,607,0.2,390,0.1,-,-,4484,1,8036,0.9
1,光熱・水道,20295,5.4,3.5,13015,10.4,16852,8.8,19716,7.8,20181,6.6,21030,5.6,24359,5.2,26859,3
2,基礎的支出,20295,5.4,3.5,13015,10.4,16852,8.8,19716,7.8,20181,6.6,21030,5.6,24359,5.2,26859,3
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,15781,4.2,-7.7,5123,4.1,7454,3.9,10574,4.2,10437,3.4,18586,4.9,21201,4.6,36931,4.1
2,基礎的支出,10691,2.9,-2,3824,3,6294,3.3,7180,2.9,8772,2.9,9330,2.5,15341,3.3,24018,2.7
3,選択的支出,5090,1.4,-17.8,1300,1,1159,0.6,3394,1.3,1665,0.5,9256,2.4,5860,1.3,12914,1.4
1,被服及び履物,14608,3.9,-1,3610,2.9,6814,3.6,8585,3.4,12621,4.1,14598,3.9,22646,4.9,33264,3.7
2,基礎的支出,1170,0.3,-3.7,639,0.5,578,0.3,1288,0.5,1053,0.3,987,0.3,1869,0.4,1774,0.2
3,選択的支出,13438,3.6,-0.8,2972,2.4,6235,3.3,7297,2.9,11568,3.8,13611,3.6,20777,4.5,31490,3.5
1,保健医療,16893,4.5,-1.4,5074,4,9375,4.9,11544,4.6,12396,4.1,21939,5.8,19532,4.2,38205,4.3
2,基礎的支出,14695,3.9,0.4,4863,3.9,8707,4.6,10042,4,11009,3.6,18154,4.8,17859,3.8,32082,3.6
3,選択的支出,2198,0.6,-11.8,211,0.2,668,0.3,1502,0.6,1386,0.5,3785,1,1673,0.4,6124,0.7
1,交通・通信,33040,8.8,-18,9099,7.3,14289,7.5,20264,8.1,35262,11.6,34823,9.2,48915,10.5,68408,7.7
2,基礎的支出,9978,2.7,2.8,2118,1.7,4741,2.5,6472,2.6,9878,3.2,9930,2.6,11925,2.6,24683,2.8
3,選択的支出,23062,6.2,-24.6,6981,5.6,9548,5,13791,5.5,25384,8.3,24893,6.6,36990,8,43725,4.9
1,教育,14215,3.8,-22.3,1112,0.9,901,0.5,3105,1.2,2838,0.9,10075,2.7,17695,3.8,63468,7.1
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,14215,3.8,-22.3,1112,0.9,901,0.5,3105,1.2,2838,0.9,10075,2.7,17695,3.8,63468,7.1
1,教養娯楽,40851,10.9,0.8,11188,8.9,16634,8.7,26670,10.6,33063,10.8,40881,10.8,60897,13.1,96276,10.8
2,基礎的支出,8252,2.2,9.7,3289,2.6,5591,2.9,7239,2.9,7442,2.4,8003,2.1,13315,2.9,12855,1.4
3,選択的支出,32599,8.7,-1.3,7899,6.3,11043,5.8,19431,7.7,25621,8.4,32877,8.7,47582,10.2,83421,9.3
1,その他の消費支出,56864,15.2,-11.1,10254,8.2,21333,11.2,34474,13.7,53042,17.4,53984,14.3,77948,16.8,146454,16.4
2,基礎的支出,26836,7.2,-18.6,5134,4.1,11695,6.1,16346,6.5,23380,7.7,23327,6.2,31882,6.9,75774,8.5
3,選択的支出,30028,8,-3.2,5119,4.1,9639,5,18128,7.2,29662,9.7,30657,8.1,46066,9.9,70680,7.9
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 3年12月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
