項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,674,-,-,92,-,96,-,97,-,99,-,98,-,97,-,94,-
0,0,0,0,0,世帯人員,2.91,-,-,2.62,-,2.72,-,2.79,-,2.9,-,2.99,-,3.12,-,3.25,-
0,0,0,0,0,有業人員,1.36,-,-,1.13,-,1.19,-,1.26,-,1.32,-,1.39,-,1.52,-,1.68,-
0,0,0,0,0,世帯主平均年齢,59.6,-,-,63,-,62.8,-,61.5,-,59.3,-,58.7,-,56.5,-,55,-
2,2,0,0,0,生計支出,340536,-,2.8,105223,-,164978,-,210321,-,256907,-,315049,-,405946,-,924080,-
2,3,0,0,0,消費支出,322669,100,1,105223,100,164978,100,210321,100,256907,100,315049,100,405946,100,799759,100
2,4,1,0,0,食料,90453,28,0.2,51699,49.1,69918,42.4,78185,37.2,88279,34.4,98527,31.3,112000,27.6,134107,16.8
2,5,1,1,0,穀類,6846,2.1,-3.8,4687,4.5,5734,3.5,6330,3,6948,2.7,7735,2.5,7903,1.9,8575,1.1
2,6,1,1,1,米類,1728,0.5,-11,1313,1.2,1599,1,1654,0.8,1717,0.7,1940,0.6,1824,0.4,2055,0.3
2,6,1,1,2,パン,2922,0.9,0.1,1843,1.8,2344,1.4,2626,1.2,3036,1.2,3320,1.1,3461,0.9,3816,0.5
2,6,1,1,3,麺類,1644,0.5,-2.8,1169,1.1,1363,0.8,1523,0.7,1666,0.6,1903,0.6,1903,0.5,1976,0.2
2,6,1,1,4,他の穀類,552,0.2,-2.3,362,0.3,427,0.3,527,0.3,528,0.2,572,0.2,715,0.2,728,0.1
2,5,1,2,0,魚介類,6841,2.1,0.6,4331,4.1,5721,3.5,6426,3.1,7016,2.7,7407,2.4,7982,2,8923,1.1
2,6,1,2,1,生鮮魚介,4094,1.3,2.6,2460,2.3,3395,2.1,3816,1.8,4189,1.6,4534,1.4,4743,1.2,5475,0.7
2,6,1,2,2,塩干魚介,1099,0.3,-5,756,0.7,934,0.6,1080,0.5,1127,0.4,1167,0.4,1233,0.3,1383,0.2
2,6,1,2,3,魚肉練製品,662,0.2,2,487,0.5,597,0.4,632,0.3,670,0.3,687,0.2,765,0.2,785,0.1
2,6,1,2,4,他の魚介加工品,987,0.3,-1.1,629,0.6,795,0.5,898,0.4,1030,0.4,1019,0.3,1240,0.3,1280,0.2
2,5,1,3,0,肉類,8897,2.8,-1.7,5240,5,6960,4.2,7988,3.8,8777,3.4,9299,3,10702,2.6,13265,1.7
2,6,1,3,1,生鮮肉,7288,2.3,-2.1,4185,4,5632,3.4,6479,3.1,7141,2.8,7670,2.4,8860,2.2,11010,1.4
2,6,1,3,2,加工肉,1610,0.5,0.2,1055,1,1328,0.8,1509,0.7,1636,0.6,1629,0.5,1842,0.5,2255,0.3
2,5,1,4,0,乳卵類,4600,1.4,-4.3,3056,2.9,3860,2.3,4408,2.1,4596,1.8,4854,1.5,5375,1.3,6030,0.8
2,6,1,4,1,牛乳,1381,0.4,-5.9,974,0.9,1217,0.7,1345,0.6,1328,0.5,1411,0.4,1631,0.4,1747,0.2
2,6,1,4,2,乳製品,2353,0.7,-4.4,1442,1.4,1894,1.1,2235,1.1,2412,0.9,2533,0.8,2778,0.7,3172,0.4
2,6,1,4,3,卵,867,0.3,-1,641,0.6,749,0.5,829,0.4,856,0.3,910,0.3,966,0.2,1112,0.1
2,5,1,5,0,野菜・海藻,10682,3.3,-5.9,7400,7,9542,5.8,10582,5,10891,4.2,11269,3.6,11775,2.9,13262,1.7
2,6,1,5,1,生鮮野菜,7457,2.3,-6.3,5161,4.9,6611,4,7391,3.5,7562,2.9,7862,2.5,8202,2,9363,1.2
2,6,1,5,2,乾物・海藻,803,0.2,-7.6,516,0.5,695,0.4,806,0.4,826,0.3,849,0.3,916,0.2,1014,0.1
2,6,1,5,3,大豆加工品,1178,0.4,-4.8,879,0.8,1078,0.7,1166,0.6,1193,0.5,1216,0.4,1285,0.3,1428,0.2
2,6,1,5,4,他の野菜・海藻加工品,1244,0.4,-3.6,844,0.8,1158,0.7,1219,0.6,1309,0.5,1341,0.4,1373,0.3,1457,0.2
2,5,1,6,0,果物,3772,1.2,-1.1,2487,2.4,3345,2,3693,1.8,3709,1.4,3982,1.3,4307,1.1,4857,0.6
2,6,1,6,1,生鮮果物,3353,1,-0.6,2247,2.1,3009,1.8,3308,1.6,3328,1.3,3550,1.1,3809,0.9,4194,0.5
2,6,1,6,2,果物加工品,419,0.1,-5.4,240,0.2,336,0.2,385,0.2,380,0.1,433,0.1,498,0.1,663,0.1
2,5,1,7,0,油脂・調味料,4200,1.3,-4.1,2624,2.5,3435,2.1,3828,1.8,4245,1.7,4614,1.5,5046,1.2,5614,0.7
2,6,1,7,1,油脂,466,0.1,-1.5,274,0.3,379,0.2,450,0.2,475,0.2,501,0.2,492,0.1,690,0.1
2,6,1,7,2,調味料,3734,1.2,-4.4,2350,2.2,3055,1.9,3378,1.6,3770,1.5,4113,1.3,4554,1.1,4924,0.6
2,5,1,8,0,菓子類,7237,2.2,4.3,3983,3.8,5306,3.2,6238,3,7155,2.8,8256,2.6,9324,2.3,10391,1.3
2,5,1,9,0,調理食品,13896,4.3,8.3,8459,8,11395,6.9,11952,5.7,13265,5.2,15179,4.8,17391,4.3,19531,2.4
2,6,1,9,1,主食的調理食品,5930,1.8,6.3,3556,3.4,4706,2.9,5020,2.4,5721,2.2,7082,2.2,7264,1.8,8167,1
2,6,1,9,2,他の調理食品,7966,2.5,9.9,4903,4.7,6689,4.1,6932,3.3,7544,2.9,8097,2.6,10127,2.5,11363,1.4
2,5,1,10,0,飲料,5643,1.7,4.5,3037,2.9,3883,2.4,4738,2.3,5524,2.2,6426,2,7338,1.8,8506,1.1
2,6,1,10,1,茶類,1295,0.4,4,671,0.6,989,0.6,1173,0.6,1287,0.5,1402,0.4,1709,0.4,1826,0.2
2,6,1,10,2,コーヒー・ココア,1164,0.4,5.1,631,0.6,726,0.4,962,0.5,1186,0.5,1330,0.4,1486,0.4,1833,0.2
2,6,1,10,3,他の飲料,3184,1,4.4,1735,1.6,2168,1.3,2603,1.2,3052,1.2,3694,1.2,4143,1,4847,0.6
2,5,1,11,0,酒類,4628,1.4,9.4,2203,2.1,3333,2,3858,1.8,4631,1.8,5293,1.7,5699,1.4,7377,0.9
2,5,1,12,0,外食,13211,4.1,-2.3,4190,4,7404,4.5,8145,3.9,11522,4.5,14213,4.5,19158,4.7,27776,3.5
2,6,1,12,1,一般外食,12422,3.8,-3.5,4008,3.8,6872,4.2,7704,3.7,10658,4.1,13257,4.2,17776,4.4,26631,3.3
2,6,1,12,2,学校給食,788,0.2,20.3,182,0.2,532,0.3,440,0.2,865,0.3,956,0.3,1383,0.3,1145,0.1
2,4,2,0,0,住居,26599,8.2,-3.6,2211,2.1,6731,4.1,9963,4.7,15051,5.9,21482,6.8,32089,7.9,98562,12.3
2,5,2,1,0,家賃地代,14505,4.5,-10.9,1668,1.6,5985,3.6,8608,4.1,12619,4.9,16639,5.3,25465,6.3,30552,3.8
2,5,2,2,0,設備修繕・維持,12094,3.7,6.9,543,0.5,746,0.5,1354,0.6,2431,0.9,4843,1.5,6624,1.6,68011,8.5
2,6,2,2,1,設備材料,3662,1.1,-15,102,0.1,253,0.2,229,0.1,489,0.2,1909,0.6,2444,0.6,20170,2.5
2,6,2,2,2,工事その他のサービス,8432,2.6,20.3,441,0.4,493,0.3,1126,0.5,1942,0.8,2934,0.9,4179,1,47840,6
2,4,3,0,0,光熱・水道,20196,6.3,-6.1,11480,10.9,17135,10.4,19808,9.4,21296,8.3,23181,7.4,24471,6,24411,3.1
2,5,3,1,0,電気代,9174,2.8,-9.3,5048,4.8,7767,4.7,8878,4.2,9674,3.8,10833,3.4,10968,2.7,11217,1.4
2,5,3,2,0,ガス代,5444,1.7,-6.9,3310,3.1,4803,2.9,5334,2.5,5619,2.2,6070,1.9,6475,1.6,6680,0.8
2,5,3,3,0,他の光熱,265,0.1,-0.4,337,0.3,255,0.2,222,0.1,291,0.1,255,0.1,279,0.1,240,0
2,5,3,4,0,上下水道料,5313,1.6,0.6,2785,2.6,4310,2.6,5373,2.6,5711,2.2,6024,1.9,6749,1.7,6274,0.8
2,4,4,0,0,家具・家事用品,13735,4.3,1.2,3848,3.7,5909,3.6,8559,4.1,9659,3.8,12811,4.1,20185,5,35055,4.4
2,5,4,1,0,家庭用耐久財,4625,1.4,1,338,0.3,911,0.6,1530,0.7,1820,0.7,3352,1.1,8156,2,16231,2
2,6,4,1,1,家事用耐久財,2318,0.7,-10.1,168,0.2,517,0.3,921,0.4,942,0.4,1962,0.6,4321,1.1,7395,0.9
2,6,4,1,2,冷暖房用器具,1707,0.5,32.2,98,0.1,284,0.2,410,0.2,655,0.3,1059,0.3,2718,0.7,6662,0.8
2,6,4,1,3,一般家具,599,0.2,-15.8,72,0.1,109,0.1,199,0.1,223,0.1,330,0.1,1117,0.3,2173,0.3
2,5,4,2,0,室内装備・装飾品,984,0.3,37.2,119,0.1,253,0.2,402,0.2,424,0.2,769,0.2,1101,0.3,3821,0.5
2,5,4,3,0,寝具類,1063,0.3,12.1,146,0.1,293,0.2,648,0.3,732,0.3,582,0.2,1634,0.4,3398,0.4
2,5,4,4,0,家事雑貨,2774,0.9,-1.2,1103,1,1392,0.8,2186,1,2379,0.9,3417,1.1,3955,1,4981,0.6
2,5,4,5,0,家事用消耗品,3439,1.1,-6.2,1970,1.9,2611,1.6,3241,1.5,3510,1.4,3868,1.2,4191,1,4649,0.6
2,5,4,6,0,家事サービス,851,0.3,-0.6,172,0.2,449,0.3,552,0.3,793,0.3,824,0.3,1148,0.3,1975,0.2
2,4,5,0,0,被服及び履物,11007,3.4,-3.2,2424,2.3,3763,2.3,6153,2.9,8246,3.2,11572,3.7,16829,4.1,28062,3.5
2,5,5,1,0,和服,156,0,-44.9,1,0,10,0,12,0,116,0,75,0,325,0.1,573,0.1
2,5,5,2,0,洋服,4488,1.4,-3.3,889,0.8,1188,0.7,2085,1,3066,1.2,4748,1.5,7026,1.7,12451,1.6
2,6,5,2,1,男子用洋服,1468,0.5,10.1,274,0.3,340,0.2,637,0.3,826,0.3,1463,0.5,2069,0.5,4681,0.6
2,6,5,2,2,婦人用洋服,2564,0.8,-7.3,520,0.5,746,0.5,1137,0.5,1904,0.7,2859,0.9,4140,1,6664,0.8
2,6,5,2,3,子供用洋服,456,0.1,-15.2,95,0.1,103,0.1,312,0.1,336,0.1,426,0.1,817,0.2,1106,0.1
2,5,5,3,0,シャツ・セーター類,2136,0.7,4.6,504,0.5,689,0.4,1265,0.6,1644,0.6,2397,0.8,3214,0.8,5222,0.7
2,6,5,3,1,男子用シャツ・セーター類,716,0.2,19.3,163,0.2,237,0.1,341,0.2,472,0.2,787,0.2,991,0.2,2000,0.3
2,6,5,3,2,婦人用シャツ・セーター類,1273,0.4,-1,311,0.3,410,0.2,811,0.4,1034,0.4,1430,0.5,1929,0.5,2985,0.4
2,6,5,3,3,子供用シャツ・セーター類,148,0,-5.7,30,0,42,0,114,0.1,138,0.1,179,0.1,294,0.1,238,0
2,5,5,4,0,下着類,1060,0.3,3.4,347,0.3,553,0.3,784,0.4,988,0.4,1222,0.4,1469,0.4,2047,0.3
2,6,5,4,1,男子用下着類,309,0.1,-1.6,121,0.1,172,0.1,226,0.1,346,0.1,367,0.1,347,0.1,579,0.1
2,6,5,4,2,婦人用下着類,631,0.2,5,190,0.2,344,0.2,464,0.2,537,0.2,703,0.2,906,0.2,1270,0.2
