項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,8233,-,1087,-,376,-,305,-
0,0,0,0,0,調査世帯数,665,-,555,-,68,-,23,-,19,-
0,0,0,0,0,世帯人員,2.88,-,2.86,-,3.04,-,2.79,-,3.1,-
0,0,0,0,0,有業人員,1.32,-,1.29,-,1.6,-,1.11,-,1.5,-
0,0,0,0,0,世帯主平均年齢,60.4,-,62.5,-,49,-,60.4,-,42.4,-
2,2,0,0,0,生計支出,393503,-,371690,-,394710,-,274009,-,1125870,-
2,3,0,0,0,消費支出,373357,100,371690,100,394710,100,274009,100,464717,100
2,4,1,0,0,食料,110310,29.5,113755,30.6,95229,24.1,88748,32.4,97610,21
2,5,1,1,0,穀類,7661,2.1,7934,2.1,6093,1.5,6533,2.4,7256,1.6
2,6,1,1,1,米類,1412,0.4,1473,0.4,948,0.2,1625,0.6,1159,0.2
2,6,1,1,2,パン,3028,0.8,3115,0.8,2659,0.7,1929,0.7,3337,0.7
2,6,1,1,3,麺類,1890,0.5,1922,0.5,1678,0.4,1800,0.7,1890,0.4
2,6,1,1,4,他の穀類,1330,0.4,1423,0.4,808,0.2,1179,0.4,870,0.2
2,5,1,2,0,魚介類,11144,3,12021,3.2,6887,1.7,8221,3,6233,1.3
2,6,1,2,1,生鮮魚介,6042,1.6,6590,1.8,3463,0.9,3998,1.5,2957,0.6
2,6,1,2,2,塩干魚介,1516,0.4,1580,0.4,1142,0.3,1691,0.6,892,0.2
2,6,1,2,3,魚肉練製品,1750,0.5,1919,0.5,969,0.2,955,0.3,967,0.2
2,6,1,2,4,他の魚介加工品,1836,0.5,1932,0.5,1313,0.3,1577,0.6,1417,0.3
2,5,1,3,0,肉類,10430,2.8,10765,2.9,8875,2.2,8183,3,9683,2.1
2,6,1,3,1,生鮮肉,8681,2.3,9003,2.4,7070,1.8,6956,2.5,7835,1.7
2,6,1,3,2,加工肉,1749,0.5,1762,0.5,1805,0.5,1226,0.4,1848,0.4
2,5,1,4,0,乳卵類,4802,1.3,4990,1.3,4170,1.1,2880,1.1,4334,0.9
2,6,1,4,1,牛乳,1376,0.4,1437,0.4,1119,0.3,896,0.3,1246,0.3
2,6,1,4,2,乳製品,2519,0.7,2629,0.7,2264,0.6,1244,0.5,2026,0.4
2,6,1,4,3,卵,906,0.2,924,0.2,787,0.2,740,0.3,1061,0.2
2,5,1,5,0,野菜・海藻,11565,3.1,12036,3.2,9134,2.3,10858,4,8398,1.8
2,6,1,5,1,生鮮野菜,7678,2.1,8006,2.2,5974,1.5,7165,2.6,5518,1.2
2,6,1,5,2,乾物・海藻,1101,0.3,1151,0.3,958,0.2,754,0.3,693,0.1
2,6,1,5,3,大豆加工品,1223,0.3,1259,0.3,931,0.2,1352,0.5,1135,0.2
2,6,1,5,4,他の野菜・海藻加工品,1563,0.4,1620,0.4,1271,0.3,1587,0.6,1052,0.2
2,5,1,6,0,果物,4294,1.2,4556,1.2,2608,0.7,4201,1.5,3365,0.7
2,6,1,6,1,生鮮果物,3727,1,3968,1.1,2180,0.6,3783,1.4,2667,0.6
2,6,1,6,2,果物加工品,568,0.2,588,0.2,428,0.1,418,0.2,697,0.1
2,5,1,7,0,油脂・調味料,4908,1.3,5098,1.4,3978,1,4152,1.5,4023,0.9
2,6,1,7,1,油脂,585,0.2,615,0.2,375,0.1,460,0.2,663,0.1
2,6,1,7,2,調味料,4323,1.2,4483,1.2,3602,0.9,3692,1.3,3360,0.7
2,5,1,8,0,菓子類,8796,2.4,9009,2.4,7176,1.8,8850,3.2,8735,1.9
2,5,1,9,0,調理食品,17511,4.7,18156,4.9,15807,4,13866,5.1,10672,2.3
2,6,1,9,1,主食的調理食品,6222,1.7,6418,1.7,5907,1.5,5073,1.9,3477,0.7
2,6,1,9,2,他の調理食品,11289,3,11738,3.2,9900,2.5,8793,3.2,7195,1.5
2,5,1,10,0,飲料,5525,1.5,5601,1.5,5015,1.3,4952,1.8,5995,1.3
2,6,1,10,1,茶類,1428,0.4,1487,0.4,896,0.2,1384,0.5,1770,0.4
2,6,1,10,2,コーヒー・ココア,1179,0.3,1199,0.3,889,0.2,1351,0.5,1452,0.3
2,6,1,10,3,他の飲料,2919,0.8,2915,0.8,3230,0.8,2217,0.8,2773,0.6
2,5,1,11,0,酒類,5255,1.4,5565,1.5,3415,0.9,4301,1.6,4631,1
2,5,1,12,0,外食,18419,4.9,18024,4.8,22072,5.6,11751,4.3,24286,5.2
2,6,1,12,1,一般外食,17528,4.7,17197,4.6,20988,5.3,11408,4.2,21680,4.7
2,6,1,12,2,学校給食,891,0.2,827,0.2,1085,0.3,343,0.1,2606,0.6
2,4,2,0,0,住居,42159,11.3,33931,9.1,103611,26.2,35890,13.1,52995,11.4
2,5,2,1,0,家賃地代,15820,4.2,3067,0.8,99789,25.3,35750,13,36308,7.8
2,5,2,2,0,設備修繕・維持,26339,7.1,30864,8.3,3822,1,140,0.1,16686,3.6
2,6,2,2,1,設備材料,3430,0.9,4095,1.1,504,0.1,74,0,34,0
2,6,2,2,2,工事その他のサービス,22909,6.1,26769,7.2,3318,0.8,66,0,16652,3.6
2,4,3,0,0,光熱・水道,20295,5.4,21159,5.7,16583,4.2,14115,5.2,17798,3.8
2,5,3,1,0,電気代,7811,2.1,8119,2.2,6139,1.6,5358,2,8491,1.8
