項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,365,-,-,52,-,53,-,53,-,53,-,53,-,51,-,50,-
0,世帯人員,3.27,-,-,2.95,-,2.97,-,3.3,-,3.35,-,3.41,-,3.41,-,3.45,-
0,有業人員,1.76,-,-,1.63,-,1.6,-,1.65,-,1.71,-,1.83,-,1.98,-,1.91,-
0,世帯主平均年齢,49.5,-,-,57.3,-,48.9,-,48.1,-,47.8,-,48.4,-,48.3,-,48,-
0,消費支出,357123,100,4,237660,100,268243,100,297018,100,343016,100,398137,100,447967,100,508398,100
2,基礎的支出,177083,49.6,-0.2,143841,60.5,150653,56.2,162719,54.8,173436,50.6,172759,43.4,200367,44.7,234603,46.1
3,選択的支出,180040,50.4,8.5,93818,39.5,117590,43.8,134299,45.2,169579,49.4,225378,56.6,247600,55.3,273795,53.9
1,食料,97254,27.2,0.8,82084,34.5,77836,29,85755,28.9,96626,28.2,96959,24.4,114504,25.6,126226,24.8
2,基礎的支出,74506,20.9,0.9,68510,28.8,62840,23.4,66807,22.5,73316,21.4,73438,18.4,84322,18.8,91536,18
3,選択的支出,22748,6.4,0.5,13573,5.7,14996,5.6,18948,6.4,23310,6.8,23521,5.9,30181,6.7,34689,6.8
1,住居,29050,8.1,-0.9,17191,7.2,30314,11.3,25220,8.5,28110,8.2,24125,6.1,34130,7.6,43991,8.7
2,基礎的支出,26906,7.5,0.5,16436,6.9,29596,11,23769,8,24706,7.2,21643,5.4,30286,6.8,41659,8.2
3,選択的支出,2143,0.6,-15.7,755,0.3,718,0.3,1451,0.5,3404,1,2482,0.6,3844,0.9,2332,0.5
1,光熱・水道,19528,5.5,-5.7,15555,6.5,17432,6.5,20311,6.8,19258,5.6,21320,5.4,21983,4.9,21561,4.2
2,基礎的支出,19528,5.5,-5.7,15555,6.5,17432,6.5,20311,6.8,19258,5.6,21320,5.4,21983,4.9,21561,4.2
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,15023,4.2,1.8,9564,4,10927,4.1,12573,4.2,15335,4.5,16347,4.1,17553,3.9,22898,4.5
2,基礎的支出,10396,2.9,2.8,7210,3,7637,2.8,9522,3.2,10853,3.2,10973,2.8,11905,2.7,14605,2.9
3,選択的支出,4627,1.3,-0.3,2354,1,3290,1.2,3051,1,4482,1.3,5374,1.3,5648,1.3,8292,1.6
1,被服及び履物,13348,3.7,-1.8,8812,3.7,7997,3,10659,3.6,13283,3.9,13397,3.4,16143,3.6,23230,4.6
2,基礎的支出,798,0.2,4.5,633,0.3,637,0.2,730,0.2,853,0.2,786,0.2,787,0.2,1144,0.2
3,選択的支出,12549,3.5,-2.2,8179,3.4,7360,2.7,9929,3.3,12431,3.6,12611,3.2,15356,3.4,22086,4.3
1,保健医療,16865,4.7,2.3,12969,5.5,13067,4.9,14241,4.8,19122,5.6,14579,3.7,20410,4.6,23369,4.6
2,基礎的支出,13978,3.9,0.9,11297,4.8,11060,4.1,12142,4.1,16352,4.8,11522,2.9,16037,3.6,19141,3.8
3,選択的支出,2887,0.8,9.7,1672,0.7,2007,0.7,2099,0.7,2770,0.8,3057,0.8,4373,1,4228,0.8
1,交通・通信,43197,12.1,9.9,29357,12.4,41962,15.6,30663,10.3,39076,11.4,54867,13.8,56323,12.6,49053,9.6
2,基礎的支出,8491,2.4,10.4,6244,2.6,4991,1.9,7216,2.4,7750,2.3,10115,2.5,9200,2.1,13633,2.7
3,選択的支出,34706,9.7,9.8,23113,9.7,36972,13.8,23447,7.9,31326,9.1,44752,11.2,47123,10.5,35419,7
1,教育,29385,8.2,2.7,10379,4.4,13744,5.1,25475,8.6,30393,8.9,46575,11.7,37925,8.5,43213,8.5
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,29385,8.2,2.7,10379,4.4,13744,5.1,25475,8.6,30393,8.9,46575,11.7,37925,8.5,43213,8.5
1,教養娯楽,37404,10.5,6.6,22392,9.4,23623,8.8,30146,10.1,38358,11.2,36187,9.1,45194,10.1,65374,12.9
2,基礎的支出,5276,1.5,-13.7,5032,2.1,4408,1.6,5020,1.7,4961,1.4,4744,1.2,6197,1.4,6607,1.3
3,選択的支出,32128,9,10.8,17360,7.3,19215,7.2,25125,8.5,33397,9.7,31442,7.9,38997,8.7,58767,11.6
1,その他の消費支出,56069,15.7,14.2,29357,12.4,31339,11.7,41976,14.1,43454,12.7,73783,18.5,83802,18.7,89484,17.6
2,基礎的支出,17203,4.8,-2.6,12924,5.4,12051,4.5,17202,5.8,15387,4.5,18217,4.6,19649,4.4,24716,4.9
3,選択的支出,38866,10.9,23.6,16434,6.9,19288,7.2,24774,8.3,28067,8.2,55565,14,64152,14.3,64768,12.7
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 3年,,,,,,,,,,,,,,,,,,
第２６表　勤め先収入７分位階層別１世帯当たり年平均１か月間の基礎的・選択的支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
