項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,経営職／実数（円）,経営職／構成比（％）,管理職／実数（円）,管理職／構成比（％）,専門職／実数（円）,専門職／構成比（％）,事務職／実数（円）,事務職／構成比（％）,技術職／実数（円）,技術職／構成比（％）,商工職／実数（円）,商工職／構成比（％）,技能・労務職／実数（円）,技能・労務職／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）勤労者世帯のうち正規の職員・従業員／実数（円）,（再掲）勤労者世帯のうち正規の職員・従業員／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,536,-,140,-,900,-,2773,-,912,-,724,-,900,-,3115,-,4886,-
0,0,0,0,0,調査世帯数,674,-,34,-,10,-,58,-,185,-,63,-,46,-,64,-,215,-,330,-
0,0,0,0,0,世帯人員,2.91,-,3.05,-,3.16,-,3.23,-,3.3,-,3.23,-,2.77,-,3.12,-,2.34,-,3.34,-
0,0,0,0,0,有業人員,1.36,-,1.82,-,1.75,-,1.68,-,1.77,-,1.69,-,1.9,-,1.84,-,0.43,-,1.75,-
0,0,0,0,0,世帯主平均年齢,59.6,-,61.6,-,51.2,-,52.8,-,49.3,-,46.2,-,65.7,-,52.7,-,75,-,48.1,-
2,2,0,0,0,生計支出,340536,-,394445,-,407786,-,526753,-,377499,-,379503,-,296307,-,278427,-,253493,-,403037,-
2,3,0,0,0,消費支出,322669,100,394445,100,407786,100,422725,100,353232,100,373261,100,296307,100,278427,100,253493,100,365802,100
2,4,1,0,0,食料,90453,28,108778,27.6,104547,25.6,110153,26.1,94453,26.7,92886,24.9,92410,31.2,78773,28.3,79333,31.3,95108,26
2,5,1,1,0,穀類,6846,2.1,7558,1.9,9054,2.2,7857,1.9,6726,1.9,6725,1.8,6805,2.3,6461,2.3,6565,2.6,7007,1.9
2,6,1,1,1,米類,1728,0.5,1742,0.4,2044,0.5,1881,0.4,1548,0.4,1352,0.4,2109,0.7,1777,0.6,1834,0.7,1611,0.4
2,6,1,1,2,パン,2922,0.9,3246,0.8,4211,1,3530,0.8,2969,0.8,3106,0.8,2601,0.9,2520,0.9,2708,1.1,3097,0.8
2,6,1,1,3,麺類,1644,0.5,1894,0.5,2135,0.5,1730,0.4,1644,0.5,1761,0.5,1590,0.5,1716,0.6,1507,0.6,1734,0.5
2,6,1,1,4,他の穀類,552,0.2,675,0.2,665,0.2,716,0.2,564,0.2,505,0.1,506,0.2,449,0.2,516,0.2,565,0.2
2,5,1,2,0,魚介類,6841,2.1,7892,2,5249,1.3,7647,1.8,6109,1.7,4970,1.3,8176,2.8,5368,1.9,7785,3.1,5821,1.6
2,6,1,2,1,生鮮魚介,4094,1.3,4886,1.2,2925,0.7,4803,1.1,3743,1.1,2924,0.8,4891,1.7,3094,1.1,4542,1.8,3514,1
2,6,1,2,2,塩干魚介,1099,0.3,1226,0.3,1013,0.2,1113,0.3,930,0.3,804,0.2,1367,0.5,941,0.3,1298,0.5,913,0.2
2,6,1,2,3,魚肉練製品,662,0.2,739,0.2,526,0.1,676,0.2,541,0.2,444,0.1,811,0.3,546,0.2,816,0.3,531,0.1
2,6,1,2,4,他の魚介加工品,987,0.3,1042,0.3,786,0.2,1055,0.2,894,0.3,799,0.2,1106,0.4,787,0.3,1130,0.4,864,0.2
