項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,400万円未満／実数（円）,400万円未満／構成比（％）,400万円以上600万円未満／実数（円）,400万円以上600万円未満／構成比（％）,600万円以上800万円未満／実数（円）,600万円以上800万円未満／構成比（％）,800万円以上1000万円未満／実数（円）,800万円以上1000万円未満／構成比（％）,1000万円以上／実数（円）,1000万円以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,2322,-,2167,-,1799,-,1254,-,2458,-
0,0,0,0,0,調査世帯数,674,-,-,158,-,145,-,125,-,85,-,162,-
0,0,0,0,0,世帯人員,2.91,-,-,2.36,-,2.71,-,3.11,-,3.31,-,3.28,-
0,0,0,0,0,有業人員,1.36,-,-,0.6,-,1.09,-,1.62,-,1.78,-,1.9,-
0,0,0,0,0,世帯主平均年齢,59.6,-,-,70.7,-,63.9,-,54.3,-,52.3,-,52.7,-
0,0,0,0,0,平均年間収入(万円),768,-,-,295,-,493,-,690,-,894,-,1449,-
2,2,0,0,0,生計支出,340536,-,2.8,216417,-,259003,-,318560,-,365505,-,531720,-
2,3,0,0,0,消費支出,322669,100,1,216417,100,259003,100,310499,100,362099,100,467883,100
2,4,1,0,0,食料,90453,28,0.2,70026,32.4,82647,31.9,87539,28.2,94715,26.2,116586,24.9
2,5,1,1,0,穀類,6846,2.1,-3.8,5951,2.7,6644,2.6,6827,2.2,7040,1.9,7803,1.7
2,6,1,1,1,米類,1728,0.5,-11,1681,0.8,1806,0.7,1770,0.6,1563,0.4,1764,0.4
2,6,1,1,2,パン,2922,0.9,0.1,2391,1.1,2743,1.1,2819,0.9,3178,0.9,3526,0.8
2,6,1,1,3,麺類,1644,0.5,-2.8,1433,0.7,1572,0.6,1690,0.5,1697,0.5,1858,0.4
2,6,1,1,4,他の穀類,552,0.2,-2.3,446,0.2,522,0.2,548,0.2,603,0.2,657,0.1
2,5,1,2,0,魚介類,6841,2.1,0.6,6765,3.1,7253,2.8,6274,2,5673,1.6,7520,1.6
2,6,1,2,1,生鮮魚介,4094,1.3,2.6,3887,1.8,4272,1.6,3810,1.2,3376,0.9,4672,1
2,6,1,2,2,塩干魚介,1099,0.3,-5,1188,0.5,1195,0.5,978,0.3,874,0.2,1128,0.2
2,6,1,2,3,魚肉練製品,662,0.2,2,701,0.3,739,0.3,582,0.2,592,0.2,643,0.1
2,6,1,2,4,他の魚介加工品,987,0.3,-1.1,990,0.5,1045,0.4,904,0.3,831,0.2,1077,0.2
2,5,1,3,0,肉類,8897,2.8,-1.7,6459,3,8254,3.2,8797,2.8,9432,2.6,11532,2.5
2,6,1,3,1,生鮮肉,7288,2.3,-2.1,5158,2.4,6682,2.6,7230,2.3,7747,2.1,9603,2.1
2,6,1,3,2,加工肉,1610,0.5,0.2,1302,0.6,1572,0.6,1567,0.5,1685,0.5,1929,0.4
2,5,1,4,0,乳卵類,4600,1.4,-4.3,3996,1.8,4250,1.6,4444,1.4,4731,1.3,5517,1.2
2,6,1,4,1,牛乳,1381,0.4,-5.9,1273,0.6,1246,0.5,1268,0.4,1443,0.4,1650,0.4
2,6,1,4,2,乳製品,2353,0.7,-4.4,1938,0.9,2156,0.8,2319,0.7,2405,0.7,2907,0.6
2,6,1,4,3,卵,867,0.3,-1,785,0.4,849,0.3,857,0.3,883,0.2,959,0.2
2,5,1,5,0,野菜・海藻,10682,3.3,-5.9,10590,4.9,11086,4.3,9848,3.2,9644,2.7,11492,2.5
2,6,1,5,1,生鮮野菜,7457,2.3,-6.3,7302,3.4,7662,3,6861,2.2,6750,1.9,8172,1.7
2,6,1,5,2,乾物・海藻,803,0.2,-7.6,763,0.4,894,0.3,726,0.2,750,0.2,841,0.2
2,6,1,5,3,大豆加工品,1178,0.4,-4.8,1165,0.5,1220,0.5,1109,0.4,1069,0.3,1256,0.3
2,6,1,5,4,他の野菜・海藻加工品,1244,0.4,-3.6,1359,0.6,1311,0.5,1151,0.4,1076,0.3,1222,0.3
2,5,1,6,0,果物,3772,1.2,-1.1,4128,1.9,4051,1.6,3209,1,3310,0.9,3824,0.8
2,6,1,6,1,生鮮果物,3353,1,-0.6,3748,1.7,3625,1.4,2885,0.9,2943,0.8,3283,0.7
2,6,1,6,2,果物加工品,419,0.1,-5.4,380,0.2,427,0.2,324,0.1,367,0.1,542,0.1
2,5,1,7,0,油脂・調味料,4200,1.3,-4.1,3584,1.7,4099,1.6,4114,1.3,4303,1.2,4869,1
2,6,1,7,1,油脂,466,0.1,-1.5,424,0.2,469,0.2,451,0.1,464,0.1,514,0.1
2,6,1,7,2,調味料,3734,1.2,-4.4,3160,1.5,3630,1.4,3663,1.2,3839,1.1,4355,0.9
2,5,1,8,0,菓子類,7237,2.2,4.3,5148,2.4,6579,2.5,7137,2.3,8041,2.2,9493,2
2,5,1,9,0,調理食品,13896,4.3,8.3,10982,5.1,12784,4.9,13258,4.3,15200,4.2,17431,3.7
2,6,1,9,1,主食的調理食品,5930,1.8,6.3,4563,2.1,5604,2.2,5675,1.8,6643,1.8,7320,1.6
2,6,1,9,2,他の調理食品,7966,2.5,9.9,6420,3,7180,2.8,7583,2.4,8558,2.4,10111,2.2
2,5,1,10,0,飲料,5643,1.7,4.5,4052,1.9,5204,2,5541,1.8,5945,1.6,7443,1.6
