項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,674,-,-,92,-,96,-,97,-,99,-,98,-,97,-,94,-
0,0,世帯人員,2.91,-,-,2.62,-,2.72,-,2.79,-,2.9,-,2.99,-,3.12,-,3.25,-
0,0,有業人員,1.36,-,-,1.13,-,1.19,-,1.26,-,1.32,-,1.39,-,1.52,-,1.68,-
0,0,世帯主平均年齢,59.6,-,-,63,-,62.8,-,61.5,-,59.3,-,58.7,-,56.5,-,55,-
0,0,消費支出,322669,-,1,105223,-,164978,-,210321,-,256907,-,315049,-,405946,-,799759,-
0,0,公共的料金,84411,26.2,-2.7,27383,26,47253,28.6,57151,27.2,68985,26.9,80622,25.6,104295,25.7,206115,25.8
1,0,公共料金等,54320,16.8,-3.5,22682,21.6,37928,23,42811,20.4,50494,19.7,59701,18.9,69935,17.2,96813,12.1
1,1,米,1771,0.5,-9.5,1315,1.2,1599,1,1702,0.8,1743,0.7,1969,0.6,1903,0.5,2170,0.3
1,1,食塩,42,0,5,29,0,37,0,34,0,41,0,44,0,48,0,64,0
1,1,学校給食,788,0.2,20.3,182,0.2,532,0.3,440,0.2,865,0.3,956,0.3,1383,0.3,1145,0.1
1,1,公営家賃,1323,0.4,-40.9,318,0.3,1964,1.2,624,0.3,796,0.3,1986,0.6,2165,0.5,1381,0.2
1,1,電気代,9174,2.8,-9.3,5048,4.8,7767,4.7,8878,4.2,9674,3.8,10833,3.4,10968,2.7,11217,1.4
1,1,都市ガス,5031,1.6,-7.7,3033,2.9,4393,2.7,4597,2.2,5214,2,5726,1.8,6032,1.5,6400,0.8
1,1,上下水道料,5313,1.6,0.6,2785,2.6,4310,2.6,5373,2.6,5711,2.2,6024,1.9,6749,1.7,6274,0.8
1,1,医科診療代,4020,1.2,8,1708,1.6,2782,1.7,3334,1.6,3916,1.5,4691,1.5,4930,1.2,6727,0.8
1,1,歯科診療代,3218,1,17.2,428,0.4,736,0.4,877,0.4,1633,0.6,2111,0.7,4349,1.1,12319,1.5
1,1,出産入院料,235,0.1,-6,-,-,-,-,-,-,-,-,152,0,514,0.1,977,0.1
1,1,他の入院料,1606,0.5,-8.3,161,0.2,207,0.1,573,0.3,444,0.2,1529,0.5,1322,0.3,6997,0.9
1,1,鉄道運賃,2043,0.6,22,324,0.3,662,0.4,955,0.5,1450,0.6,2018,0.6,3429,0.8,5381,0.7
1,1,鉄道通学定期代,365,0.1,55.3,13,0,70,0,156,0.1,226,0.1,235,0.1,433,0.1,1443,0.2
1,1,鉄道通勤定期代,1715,0.5,-18.7,260,0.2,506,0.3,661,0.3,1084,0.4,1454,0.5,3241,0.8,4851,0.6
1,1,バス代,212,0.1,-5.4,67,0.1,78,0,146,0.1,259,0.1,220,0.1,300,0.1,409,0.1
