項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,674,-,-,92,-,96,-,97,-,99,-,98,-,97,-,94,-
0,世帯人員,2.91,-,-,2.62,-,2.72,-,2.79,-,2.9,-,2.99,-,3.12,-,3.25,-
0,有業人員,1.36,-,-,1.13,-,1.19,-,1.26,-,1.32,-,1.39,-,1.52,-,1.68,-
0,世帯主平均年齢,59.6,-,-,63,-,62.8,-,61.5,-,59.3,-,58.7,-,56.5,-,55,-
0,消費支出,322669,100,1,105223,100,164978,100,210321,100,256907,100,315049,100,405946,100,799759,100
2,基礎的支出,181859,56.4,-0.8,78758,74.8,116512,70.6,140065,66.6,162924,63.4,190387,60.4,226593,55.8,356968,44.6
3,選択的支出,140810,43.6,3.5,26464,25.2,48466,29.4,70256,33.4,93983,36.6,124662,39.6,179354,44.2,442791,55.4
1,食料,94169,29.2,0.1,52603,50,71636,43.4,80643,38.3,91210,35.5,102694,32.6,117013,28.8,142801,17.9
2,基礎的支出,75976,23.5,0.5,46222,43.9,60763,36.8,68633,32.6,75476,29.4,83376,26.5,91250,22.5,105556,13.2
3,選択的支出,18194,5.6,-1.5,6381,6.1,10874,6.6,12010,5.7,15734,6.1,19318,6.1,25764,6.3,37245,4.7
1,住居,26626,8.3,-3.7,2211,2.1,6731,4.1,9963,4.7,15051,5.9,21482,6.8,32125,7.9,98711,12.3
2,基礎的支出,25135,7.8,-1.8,1790,1.7,6482,3.9,9303,4.4,13734,5.3,20085,6.4,29614,7.3,94821,11.9
3,選択的支出,1491,0.5,-27.5,421,0.4,249,0.2,660,0.3,1316,0.5,1397,0.4,2511,0.6,3889,0.5
1,光熱・水道,20196,6.3,-6.1,11480,10.9,17135,10.4,19808,9.4,21296,8.3,23181,7.4,24471,6,24411,3.1
2,基礎的支出,20196,6.3,-6.1,11480,10.9,17135,10.4,19808,9.4,21296,8.3,23181,7.4,24471,6,24411,3.1
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,13926,4.3,0.8,3862,3.7,5955,3.6,8682,4.1,9769,3.8,13039,4.1,20565,5.1,35492,4.4
2,基礎的支出,9777,3,2.5,3331,3.2,4909,3,6549,3.1,7429,2.9,9475,3,13822,3.4,22808,2.9
3,選択的支出,4149,1.3,-3,532,0.5,1046,0.6,2133,1,2340,0.9,3564,1.1,6743,1.7,12684,1.6
1,被服及び履物,11344,3.5,-3.5,2467,2.3,3897,2.4,6391,3,8613,3.4,11973,3.8,17286,4.3,28783,3.6
2,基礎的支出,799,0.2,1.1,259,0.2,410,0.2,652,0.3,762,0.3,929,0.3,1107,0.3,1469,0.2
3,選択的支出,10545,3.3,-3.8,2208,2.1,3487,2.1,5739,2.7,7852,3.1,11044,3.5,16179,4,27314,3.4
1,保健医療,18485,5.7,3.7,5827,5.5,8816,5.3,11983,5.7,14717,5.7,18791,6,24196,6,44916,5.6
2,基礎的支出,16033,5,3.1,5324,5.1,8173,5,10646,5.1,12742,5,16094,5.1,20341,5,38759,4.8
3,選択的支出,2453,0.8,7.9,503,0.5,643,0.4,1337,0.6,1975,0.8,2696,0.9,3855,0.9,6157,0.8
1,交通・通信,34724,10.8,1.4,7481,7.1,14745,8.9,20680,9.8,25767,10,33202,10.5,43071,10.6,97666,12.2
2,基礎的支出,7809,2.4,6.8,1929,1.8,3730,2.3,5424,2.6,7460,2.9,9378,3,11177,2.8,15439,1.9
3,選択的支出,26916,8.3,-0.1,5553,5.3,11015,6.7,15256,7.3,18307,7.1,23824,7.6,31893,7.9,82227,10.3
1,教育,19095,5.9,-0.4,348,0.3,1631,1,2810,1.3,4766,1.9,6933,2.2,14866,3.7,103044,12.9
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,19095,5.9,-0.4,348,0.3,1631,1,2810,1.3,4766,1.9,6933,2.2,14866,3.7,103044,12.9
1,教養娯楽,33055,10.2,2.4,8158,7.8,14414,8.7,19668,9.4,26686,10.4,33360,10.6,47489,11.7,81339,10.2
2,基礎的支出,6565,2,-6.9,3289,3.1,5336,3.2,5513,2.6,6645,2.6,7254,2.3,7908,1.9,9997,1.3
3,選択的支出,26490,8.2,5,4869,4.6,9079,5.5,14155,6.7,20040,7.8,26107,8.3,39580,9.8,71342,8.9
1,その他の消費支出,51048,15.8,8.4,10784,10.2,20016,12.1,29693,14.1,39033,15.2,50393,16,64865,16,142597,17.8
2,基礎的支出,19569,6.1,-4.3,5135,4.9,9573,5.8,13538,6.4,17380,6.8,20614,6.5,26902,6.6,43709,5.5
3,選択的支出,31479,9.8,18,5649,5.4,10443,6.3,16155,7.7,21654,8.4,29779,9.5,37962,9.4,98888,12.4
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 3年,,,,,,,,,,,,,,,,,,
第１１表　生計支出７分位階層別１世帯当たり年平均１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
