項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,2133,-,6892,-,451,-,72,-,524,-,5030,-
0,0,0,0,0,調査世帯数,374,-,79,-,261,-,15,-,2,-,19,-,193,-
0,0,0,0,0,世帯人員,3.33,-,2,-,3.82,-,2.36,-,x,-,3.04,-,3.49,-
0,0,0,0,0,有業人員,1.71,-,1.51,-,1.79,-,1.68,-,x,-,1.49,-,2.19,-
0,0,0,0,0,世帯主平均年齢,49.6,-,55.4,-,47.2,-,52.3,-,x,-,54.5,-,48,-
1,0,0,0,0,受取,1515536,-,1448366,-,1607856,-,752845,-,x,-,1230954,-,1765184,-
1,1,0,0,0,実収入,607627,100,548590,100,647727,100,340557,100,x,x,550347,100,701618,100
1,2,0,0,0,経常収入,596361,98.1,544339,99.2,635277,98.1,306317,89.9,x,x,545852,99.2,687004,97.9
1,3,0,0,0,勤め先収入,528398,87,436616,79.6,586067,90.5,264669,77.7,x,x,370483,67.3,640004,91.2
1,4,0,0,0,世帯主収入,437695,72,366955,66.9,482816,74.5,217318,63.8,x,x,321844,58.5,470659,67.1
1,6,0,0,0,うち男,421859,69.4,352521,64.3,478434,73.9,25299,7.4,-,-,301230,54.7,458535,65.4
1,5,0,0,0,定期収入,425998,70.1,360908,65.8,468289,72.3,217000,63.7,x,x,314580,57.2,454692,64.8
1,5,0,0,0,臨時収入,7095,1.2,6047,1.1,7850,1.2,318,0.1,-,-,7265,1.3,7503,1.1
1,5,0,0,0,賞与,4602,0.8,-,-,6677,1,-,-,-,-,-,-,8463,1.2
1,4,0,0,0,世帯主の配偶者の収入,81334,13.4,69661,12.7,94184,14.5,-,-,-,-,29837,5.4,161685,23
1,6,0,0,0,うち女,77035,12.7,55420,10.1,92353,14.3,-,-,-,-,29837,5.4,153138,21.8
1,4,0,0,0,他の世帯員収入,9369,1.5,-,-,9067,1.4,47351,13.9,-,-,18802,3.4,7659,1.1
1,3,0,0,0,事業・内職収入,5033,0.8,3617,0.7,6104,0.9,-,-,-,-,1038,0.2,8006,1.1
1,4,0,0,0,家賃収入,2899,0.5,80,0,4181,0.6,-,-,-,-,-,-,5763,0.8
1,4,0,0,0,他の事業収入,467,0.1,80,0,653,0.1,-,-,-,-,-,-,783,0.1
1,4,0,0,0,内職収入,1666,0.3,3457,0.6,1269,0.2,-,-,-,-,1038,0.2,1460,0.2
1,3,0,0,0,他の経常収入,62930,10.4,104107,19,43106,6.7,41648,12.2,x,x,174331,31.7,38995,5.6
1,4,0,0,0,財産収入,1296,0.2,4045,0.7,97,0,-,-,-,-,6983,1.3,133,0
1,4,0,0,0,社会保障給付,61388,10.1,100062,18.2,42652,6.6,41648,12.2,x,x,167348,30.4,38372,5.5
1,5,0,0,0,公的年金給付,38299,6.3,95684,17.4,13225,2,7373,2.2,-,-,161063,29.3,21475,3.1
1,5,0,0,0,他の社会保障給付,23089,3.8,4378,0.8,29427,4.5,34274,10.1,x,x,6285,1.1,16897,2.4
1,4,0,0,0,仕送り金,246,0,-,-,357,0.1,-,-,-,-,-,-,490,0.1
1,2,0,0,0,特別収入,11266,1.9,4251,0.8,12450,1.9,34240,10.1,-,-,4496,0.8,14614,2.1
1,3,0,0,0,受贈金,5012,0.8,254,0,7194,1.1,-,-,-,-,-,-,8796,1.3
1,3,0,0,0,他の特別収入,6254,1,3996,0.7,5256,0.8,34240,10.1,-,-,4496,0.8,5817,0.8
1,1,0,0,0,実収入以外の受取(繰入金を除く),492676,-,460063,-,508117,-,374851,-,x,-,523742,-,537929,-
1,2,0,0,0,預貯金引出,348299,-,324488,-,350558,-,302891,-,x,-,454595,-,358381,-
1,2,0,0,0,保険金,8664,-,20946,-,6088,-,-,-,-,-,-,-,6673,-
1,3,0,0,0,個人・企業年金保険金,8005,-,20946,-,5132,-,-,-,-,-,-,-,5364,-
1,3,0,0,0,他の保険金,659,-,-,-,956,-,-,-,-,-,-,-,1309,-
1,2,0,0,0,有価証券売却,10418,-,-,-,15117,-,-,-,-,-,-,-,20710,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,871,-,3369,-,-,-,3388,-,-,-,-,-,1429,-
1,2,0,0,0,クレジット購入借入金,123880,-,111139,-,135603,-,68573,-,x,-,69147,-,149900,-
1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,544,-,122,-,751,-,-,-,-,-,-,-,836,-
1,1,0,0,0,繰入金,415232,-,439712,-,452012,-,37437,-,x,-,156865,-,525637,-
2,0,0,0,0,支払,1515536,-,1448366,-,1607856,-,752845,-,x,-,1230954,-,1765184,-
2,1,0,0,0,実支出,470736,-,431805,-,483172,-,355756,-,x,-,564589,-,495201,-
2,2,0,0,0,生計支出,363644,-,325587,-,369709,-,308736,-,x,-,486045,-,371513,-
2,3,0,0,0,消費支出,363644,100,325587,100,369709,100,308736,100,x,x,486045,100,371513,100
2,4,1,0,0,食料,95792,26.3,82145,25.2,101778,27.5,64319,20.8,x,x,99701,20.5,99983,26.9
2,5,1,1,0,穀類,6814,1.9,5028,1.5,7530,2,4125,1.3,x,x,6969,1.4,6781,1.8
2,6,1,1,1,米類,1767,0.5,1229,0.4,2019,0.5,580,0.2,-,-,1669,0.3,1677,0.5
2,6,1,1,2,パン,2946,0.8,2383,0.7,3233,0.9,1843,0.6,x,x,2407,0.5,2975,0.8
2,6,1,1,3,麺類,1614,0.4,1074,0.3,1737,0.5,1308,0.4,x,x,2452,0.5,1668,0.4
2,6,1,1,4,他の穀類,487,0.1,343,0.1,541,0.1,395,0.1,x,x,441,0.1,460,0.1
2,5,1,2,0,魚介類,5267,1.4,5252,1.6,5306,1.4,2353,0.8,x,x,7321,1.5,4925,1.3
2,6,1,2,1,生鮮魚介,3184,0.9,3437,1.1,3163,0.9,1522,0.5,x,x,3859,0.8,2961,0.8
2,6,1,2,2,塩干魚介,845,0.2,703,0.2,897,0.2,295,0.1,-,-,1215,0.2,876,0.2
2,6,1,2,3,魚肉練製品,535,0.1,505,0.2,520,0.1,278,0.1,x,x,1063,0.2,469,0.1
2,6,1,2,4,他の魚介加工品,703,0.2,607,0.2,725,0.2,258,0.1,x,x,1184,0.2,620,0.2
2,5,1,3,0,肉類,8896,2.4,6472,2,9675,2.6,7786,2.5,x,x,9461,1.9,9215,2.5
2,6,1,3,1,生鮮肉,7296,2,5380,1.7,7907,2.1,6573,2.1,x,x,7681,1.6,7515,2
2,6,1,3,2,加工肉,1599,0.4,1092,0.3,1768,0.5,1213,0.4,x,x,1780,0.4,1699,0.5
2,5,1,4,0,乳卵類,4438,1.2,3773,1.2,4687,1.3,3197,1,x,x,4934,1,4408,1.2
2,6,1,4,1,牛乳,1398,0.4,1031,0.3,1568,0.4,769,0.2,x,x,1193,0.2,1539,0.4
2,6,1,4,2,乳製品,2182,0.6,2070,0.6,2205,0.6,1946,0.6,x,x,2547,0.5,2052,0.6
2,6,1,4,3,卵,858,0.2,672,0.2,914,0.2,482,0.2,x,x,1193,0.2,817,0.2
2,5,1,5,0,野菜・海藻,9176,2.5,9131,2.8,9116,2.5,6417,2.1,x,x,12522,2.6,8926,2.4
2,6,1,5,1,生鮮野菜,6367,1.8,6224,1.9,6379,1.7,4906,1.6,x,x,8048,1.7,6362,1.7
2,6,1,5,2,乾物・海藻,707,0.2,655,0.2,717,0.2,337,0.1,x,x,1095,0.2,652,0.2
2,6,1,5,3,大豆加工品,1051,0.3,1070,0.3,1053,0.3,576,0.2,x,x,1346,0.3,938,0.3
2,6,1,5,4,他の野菜・海藻加工品,1051,0.3,1181,0.4,966,0.3,597,0.2,x,x,2033,0.4,974,0.3
2,5,1,6,0,果物,3147,0.9,3411,1,3098,0.8,1984,0.6,x,x,3728,0.8,3433,0.9
