項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,8207,-,1121,-,387,-,285,-
0,0,0,0,0,調査世帯数,662,-,550,-,71,-,24,-,17,-
0,0,0,0,0,世帯人員,2.9,-,2.9,-,2.95,-,2.77,-,3.14,-
0,0,0,0,0,有業人員,1.33,-,1.3,-,1.58,-,1.08,-,1.57,-
0,0,0,0,0,世帯主平均年齢,59.9,-,62.1,-,47.5,-,60.9,-,43.4,-
2,2,0,0,0,生計支出,331094,-,324877,-,403607,-,229706,-,362559,-
2,3,0,0,0,消費支出,325749,100,324877,100,355937,100,229706,100,362559,100
2,4,1,0,0,食料,87121,26.7,89068,27.4,77328,21.7,76675,33.4,83756,23.1
2,5,1,1,0,穀類,6176,1.9,6283,1.9,5855,1.6,4917,2.1,6086,1.7
2,6,1,1,1,米類,1462,0.4,1499,0.5,1318,0.4,1120,0.5,1440,0.4
2,6,1,1,2,パン,2811,0.9,2870,0.9,2698,0.8,1875,0.8,2819,0.8
2,6,1,1,3,麺類,1432,0.4,1443,0.4,1345,0.4,1569,0.7,1277,0.4
2,6,1,1,4,他の穀類,471,0.1,471,0.1,494,0.1,354,0.2,550,0.2
2,5,1,2,0,魚介類,6193,1.9,6543,2,4383,1.2,6272,2.7,3120,0.9
2,6,1,2,1,生鮮魚介,3608,1.1,3873,1.2,2393,0.7,3001,1.3,1583,0.4
2,6,1,2,2,塩干魚介,1087,0.3,1105,0.3,838,0.2,1774,0.8,599,0.2
2,6,1,2,3,魚肉練製品,592,0.2,607,0.2,547,0.2,609,0.3,312,0.1
2,6,1,2,4,他の魚介加工品,906,0.3,958,0.3,605,0.2,888,0.4,626,0.2
2,5,1,3,0,肉類,7812,2.4,7980,2.5,6665,1.9,7214,3.1,8287,2.3
2,6,1,3,1,生鮮肉,6311,1.9,6423,2,5276,1.5,6416,2.8,7008,1.9
2,6,1,3,2,加工肉,1501,0.5,1557,0.5,1389,0.4,798,0.3,1278,0.4
2,5,1,4,0,乳卵類,4175,1.3,4269,1.3,4093,1.1,2543,1.1,4014,1.1
2,6,1,4,1,牛乳,1274,0.4,1324,0.4,1022,0.3,911,0.4,1313,0.4
2,6,1,4,2,乳製品,2106,0.6,2145,0.7,2308,0.6,905,0.4,1831,0.5
2,6,1,4,3,卵,795,0.2,800,0.2,762,0.2,727,0.3,870,0.2
2,5,1,5,0,野菜・海藻,9303,2.9,9627,3,7330,2.1,8686,3.8,8589,2.4
2,6,1,5,1,生鮮野菜,6254,1.9,6481,2,4992,1.4,5642,2.5,5521,1.5
2,6,1,5,2,乾物・海藻,727,0.2,752,0.2,591,0.2,757,0.3,526,0.1
2,6,1,5,3,大豆加工品,1102,0.3,1141,0.4,798,0.2,1202,0.5,1042,0.3
2,6,1,5,4,他の野菜・海藻加工品,1219,0.4,1253,0.4,949,0.3,1085,0.5,1501,0.4
2,5,1,6,0,果物,3470,1.1,3666,1.1,2098,0.6,3960,1.7,2533,0.7
2,6,1,6,1,生鮮果物,3103,1,3281,1,1865,0.5,3801,1.7,1912,0.5
2,6,1,6,2,果物加工品,367,0.1,386,0.1,233,0.1,159,0.1,621,0.2
2,5,1,7,0,油脂・調味料,3955,1.2,4084,1.3,3258,0.9,3222,1.4,3998,1.1
2,6,1,7,1,油脂,401,0.1,415,0.1,309,0.1,312,0.1,462,0.1
2,6,1,7,2,調味料,3555,1.1,3668,1.1,2949,0.8,2910,1.3,3536,1
2,5,1,8,0,菓子類,6810,2.1,7069,2.2,5017,1.4,6591,2.9,6727,1.9
2,5,1,9,0,調理食品,13443,4.1,13600,4.2,13447,3.8,13157,5.7,9305,2.6
2,6,1,9,1,主食的調理食品,5576,1.7,5699,1.8,4995,1.4,5523,2.4,4400,1.2
2,6,1,9,2,他の調理食品,7867,2.4,7901,2.4,8452,2.4,7634,3.3,4905,1.4
2,5,1,10,0,飲料,5230,1.6,5291,1.6,5006,1.4,5131,2.2,4484,1.2
2,6,1,10,1,茶類,1372,0.4,1410,0.4,1249,0.4,1176,0.5,1015,0.3
2,6,1,10,2,コーヒー・ココア,1160,0.4,1160,0.4,1130,0.3,1172,0.5,1272,0.4
2,6,1,10,3,他の飲料,2698,0.8,2721,0.8,2626,0.7,2784,1.2,2197,0.6
2,5,1,11,0,酒類,3979,1.2,4060,1.2,3082,0.9,3897,1.7,5303,1.5
2,5,1,12,0,外食,16574,5.1,16597,5.1,17095,4.8,11083,4.8,21311,5.9
2,6,1,12,1,一般外食,15462,4.7,15542,4.8,15531,4.4,10537,4.6,19601,5.4
2,6,1,12,2,学校給食,1112,0.3,1056,0.3,1564,0.4,546,0.2,1710,0.5
2,4,2,0,0,住居,30896,9.5,20792,6.4,100920,28.4,43120,18.8,29751,8.2
2,5,2,1,0,家賃地代,14812,4.5,1224,0.4,100783,28.3,42973,18.7,29613,8.2
2,5,2,2,0,設備修繕・維持,16084,4.9,19568,6,137,0,147,0.1,138,0
2,6,2,2,1,設備材料,4164,1.3,5057,1.6,105,0,6,0,55,0
2,6,2,2,2,工事その他のサービス,11920,3.7,14510,4.5,32,0,141,0.1,84,0
2,4,3,0,0,光熱・水道,16884,5.2,17341,5.3,14614,4.1,14433,6.3,16002,4.4
2,5,3,1,0,電気代,7835,2.4,8190,2.5,6477,1.8,5934,2.6,5536,1.5
2,5,3,2,0,ガス代,4389,1.3,4463,1.4,3794,1.1,4015,1.7,5092,1.4
2,5,3,3,0,他の光熱,391,0.1,427,0.1,204,0.1,293,0.1,225,0.1
2,5,3,4,0,上下水道料,4270,1.3,4261,1.3,4139,1.2,4191,1.8,5149,1.4
2,4,4,0,0,家具・家事用品,13158,4,12611,3.9,12862,3.6,3762,1.6,42857,11.8
2,5,4,1,0,家庭用耐久財,3109,1,2547,0.8,4784,1.3,-,-,16946,4.7
2,6,4,1,1,家事用耐久財,1206,0.4,902,0.3,3075,0.9,-,-,4250,1.2
2,6,4,1,2,冷暖房用器具,1183,0.4,1208,0.4,1708,0.5,-,-,-,-
2,6,4,1,3,一般家具,720,0.2,437,0.1,-,-,-,-,12696,3.5
2,5,4,2,0,室内装備・装飾品,1868,0.6,1842,0.6,333,0.1,103,0,11054,3
2,5,4,3,0,寝具類,1349,0.4,1251,0.4,1018,0.3,170,0.1,7079,2
2,5,4,4,0,家事雑貨,2466,0.8,2351,0.7,3412,1,1054,0.5,3997,1.1
2,5,4,5,0,家事用消耗品,3099,1,3177,1,2762,0.8,2282,1,3272,0.9
2,5,4,6,0,家事サービス,1266,0.4,1442,0.4,554,0.2,154,0.1,509,0.1
2,4,5,0,0,被服及び履物,13006,4,12606,3.9,15371,4.3,12873,5.6,15401,4.2
2,5,5,1,0,和服,109,0,124,0,70,0,-,-,-,-
2,5,5,2,0,洋服,6372,2,6025,1.9,9642,2.7,5604,2.4,4536,1.3
2,6,5,2,1,男子用洋服,1965,0.6,1939,0.6,2487,0.7,300,0.1,2946,0.8
2,6,5,2,2,婦人用洋服,3792,1.2,3508,1.1,6083,1.7,5252,2.3,969,0.3
2,6,5,2,3,子供用洋服,615,0.2,579,0.2,1072,0.3,52,0,621,0.2
2,5,5,3,0,シャツ・セーター類,2218,0.7,2300,0.7,2129,0.6,1461,0.6,1248,0.3
2,6,5,3,1,男子用シャツ・セーター類,736,0.2,779,0.2,775,0.2,-,-,365,0.1
2,6,5,3,2,婦人用シャツ・セーター類,1300,0.4,1375,0.4,1060,0.3,1208,0.5,223,0.1
2,6,5,3,3,子供用シャツ・セーター類,182,0.1,146,0,294,0.1,253,0.1,660,0.2
2,5,5,4,0,下着類,1065,0.3,1024,0.3,1003,0.3,1811,0.8,1446,0.4
2,6,5,4,1,男子用下着類,308,0.1,324,0.1,292,0.1,31,0,288,0.1
2,6,5,4,2,婦人用下着類,609,0.2,563,0.2,489,0.1,1780,0.8,822,0.2
2,6,5,4,3,子供用下着類,148,0,138,0,222,0.1,-,-,336,0.1
2,5,5,5,0,生地・糸類,55,0,56,0,71,0,-,-,30,0
2,5,5,6,0,他の被服,1007,0.3,1066,0.3,776,0.2,707,0.3,627,0.2
2,5,5,7,0,履物類,1554,0.5,1439,0.4,1147,0.3,1312,0.6,6798,1.9
2,5,5,8,0,被服関連サービス,627,0.2,573,0.2,533,0.1,1979,0.9,715,0.2
2,4,6,0,0,保健医療,18348,5.6,18644,5.7,14575,4.1,17673,7.7,25577,7.1
2,5,6,1,0,医薬品,2747,0.8,2846,0.9,2295,0.6,2309,1,2276,0.6
2,5,6,2,0,健康保持用摂取品,1303,0.4,1282,0.4,1309,0.4,2631,1.1,59,0
2,5,6,3,0,保健医療用品・器具,3392,1,2829,0.9,3378,0.9,8382,3.6,12857,3.5
2,5,6,4,0,保健医療サービス,10906,3.3,11686,3.6,7593,2.1,4351,1.9,10386,2.9
2,4,7,0,0,交通・通信,36065,11.1,37675,11.6,31519,8.9,21290,9.3,27655,7.6
2,5,7,1,0,交通,6832,2.1,6569,2,9304,2.6,2003,0.9,11236,3.1
2,5,7,2,0,自動車等関係費,15999,4.9,17690,5.4,9609,2.7,5363,2.3,6880,1.9
2,6,7,2,1,自動車等購入,2686,0.8,3273,1,-,-,-,-,-,-
2,6,7,2,2,自転車購入,615,0.2,511,0.2,1741,0.5,-,-,-,-
2,6,7,2,3,自動車等維持,12698,3.9,13906,4.3,7868,2.2,5363,2.3,6880,1.9
2,5,7,3,0,通信,13234,4.1,13415,4.1,12605,3.5,13924,6.1,9539,2.6
2,4,8,0,0,教育,14187,4.4,15482,4.8,9066,2.5,1393,0.6,14424,4
2,5,8,1,0,授業料等,9078,2.8,9870,3,7149,2,1390,0.6,4335,1.2
2,5,8,2,0,教科書・学習参考教材,126,0,78,0,266,0.1,3,0,1135,0.3
2,5,8,3,0,補習教育,4982,1.5,5535,1.7,1652,0.5,-,-,8955,2.5
2,4,9,0,0,教養娯楽,35230,10.8,37073,11.4,30228,8.5,17960,7.8,25291,7
2,5,9,1,0,教養娯楽用耐久財,3199,1,3334,1,3218,0.9,350,0.2,3111,0.9
2,5,9,2,0,教養娯楽用品,7368,2.3,7559,2.3,8274,2.3,2291,1,5179,1.4
2,5,9,3,0,書籍・他の印刷物,3597,1.1,3809,1.2,2940,0.8,1843,0.8,2461,0.7
2,5,9,4,0,教養娯楽サービス,21066,6.5,22370,6.9,15797,4.4,13475,5.9,14541,4
2,6,9,4,1,宿泊料,3451,1.1,4136,1.3,263,0.1,613,0.3,128,0
2,6,9,4,2,パック旅行費,1343,0.4,1471,0.5,54,0,3341,1.5,-,-
2,6,9,4,3,月謝類,4027,1.2,3997,1.2,3771,1.1,3088,1.3,7150,2
2,6,9,4,4,他の教養娯楽サービス,12246,3.8,12766,3.9,11708,3.3,6433,2.8,7263,2
2,4,10,0,0,その他の消費支出,60855,18.7,63586,19.6,49454,13.9,20528,8.9,81844,22.6
2,5,10,1,0,諸雑費,27478,8.4,26138,8,36070,10.1,10745,4.7,54990,15.2
2,6,10,1,1,理美容サービス,4186,1.3,3923,1.2,5777,1.6,783,0.3,10117,2.8
2,6,10,1,2,理美容用品,5345,1.6,5381,1.7,5272,1.5,3209,1.4,7473,2.1
2,6,10,1,3,身の回り用品,1366,0.4,1517,0.5,834,0.2,431,0.2,372,0.1
2,6,10,1,4,たばこ,988,0.3,703,0.2,2333,0.7,2230,1,2233,0.6
2,6,10,1,5,他の諸雑費,15593,4.8,14613,4.5,21853,6.1,4092,1.8,34795,9.6
2,5,10,2,0,こづかい,5558,1.7,5787,1.8,4083,1.1,6132,2.7,3974,1.1
2,5,10,3,0,交際費,21277,6.5,24187,7.4,9029,2.5,3650,1.6,9609,2.7
2,6,10,3,0,食料,5072,1.6,5681,1.7,2543,0.7,1674,0.7,2096,0.6
2,6,10,3,0,家具・家事用品,171,0.1,120,0,420,0.1,-,-,899,0.2
2,6,10,3,0,被服及び履物,494,0.2,559,0.2,317,0.1,-,-,-,-
2,6,10,3,0,教養娯楽,911,0.3,980,0.3,702,0.2,36,0,931,0.3
2,6,10,3,0,他の物品サービス,729,0.2,845,0.3,299,0.1,-,-,57,0
2,6,10,3,6,贈与金,10298,3.2,11941,3.7,3557,1,1369,0.6,1634,0.5
2,6,10,3,7,他の交際費,3602,1.1,4061,1.3,1193,0.3,570,0.2,3992,1.1
2,5,10,4,0,仕送り金,6542,2,7474,2.3,271,0.1,-,-,13271,3.7
2,3,0,0,0,土地家屋購入,5345,-,-,-,47670,-,-,-,-,-
2,3,0,0,0,（再掲）教育関係費,21661,6.6,23651,7.3,12271,3.4,2180,0.9,27781,7.7
2,3,0,0,0,（再掲）教養娯楽関係費,41024,12.6,43201,13.3,33489,9.4,18836,8.2,38138,10.5
2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,16840,5.2,19415,6,3828,1.1,1369,0.6,14905,4.1
2,3,0,0,0,（再掲）経常消費支出,226225,69.4,218873,67.4,286493,80.5,198128,86.3,238978,65.9
2,3,0,0,0,（再掲）情報通信関係費,16551,5.1,17061,5.3,14549,4.1,14781,6.4,12156,3.4
2,3,0,0,0,（再掲）消費支出（除く住居等）　1）,275327,84.5,281397,86.6,251189,70.6,185216,80.6,317903,87.7
,,,,,,,,,,,,,,,
東京都生計分析調査　令和 3年11月,,,,,,,,,,,,,,,
第１３表　住居所有形態別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,,,,,,,
注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,
項目（0：世帯数等　2：生計支出）,,,,,,,,,,,,,,,
