区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,669,-,-,91,-,96,-,95,-,101,-,99,-,96,-,91,-
0,0,世帯人員,2.86,-,-,2.52,-,2.8,-,2.83,-,2.9,-,2.86,-,2.99,-,3.14,-
0,0,有業人員,1.35,-,-,1.1,-,1.25,-,1.37,-,1.35,-,1.27,-,1.56,-,1.54,-
0,0,世帯主平均年齢,59.4,-,-,63.3,-,60.5,-,60.8,-,58.5,-,59.6,-,58.1,-,55.1,-
0,0,消費支出,331403,100,11.8,103732,100,169252,100,217628,100,261140,100,318505,100,408813,100,838086,100
1,0,商品,192482,58.1,15,80550,77.7,113618,67.1,140383,64.5,153114,58.6,187202,58.8,239498,58.6,431695,51.5
1,1,耐久財,31498,9.5,109.1,871,0.8,3388,2,3702,1.7,7023,2.7,11609,3.6,28016,6.9,165290,19.7
1,2,半耐久財,29727,9,37.9,4751,4.6,8184,4.8,16191,7.4,16136,6.2,26541,8.3,46529,11.4,89433,10.7
1,3,非耐久財,131256,39.6,0.4,74928,72.2,102046,60.3,120490,55.4,129956,49.8,149051,46.8,164953,40.3,176972,21.1
1,0,サービス,138921,41.9,7.7,23182,22.3,55634,32.9,77245,35.5,108026,41.4,131303,41.2,169316,41.4,406391,48.5
2,0,食料,95289,28.8,1.6,54428,52.5,68467,40.5,83110,38.2,91170,34.9,101467,31.9,122054,29.9,146002,17.4
2,3,非耐久財,79219,23.9,0.7,50946,49.1,61116,36.1,73377,33.7,76570,29.3,86007,27,98903,24.2,107388,12.8
2,4,サービス,16071,4.8,6.4,3482,3.4,7351,4.3,9733,4.5,14599,5.6,15461,4.9,23151,5.7,38614,4.6
2,0,住居,28411,8.6,-4.3,4075,3.9,8304,4.9,10846,5,17279,6.6,16386,5.1,26662,6.5,114954,13.7
2,1,耐久財,3232,1,-9.8,22,0,90,0.1,27,0,2,0,-,-,3564,0.9,18858,2.3
