項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,7726,-,1543,-,276,-,455,-
0,0,0,0,0,調査世帯数,365,-,286,-,54,-,10,-,15,-
0,0,0,0,0,世帯人員,3.27,-,3.35,-,2.93,-,3.11,-,3.11,-
0,0,0,0,0,有業人員,1.76,-,1.79,-,1.7,-,1.79,-,1.51,-
0,0,0,0,0,世帯主平均年齢,49.5,-,51.2,-,43.7,-,51.5,-,40.6,-
1,0,0,0,0,受取,1609662,-,1608715,-,1746523,-,1092925,-,1513312,-
1,1,0,0,0,実収入,730386,100,741577,100,682973,100,487273,100,844820,100
1,2,0,0,0,経常収入,711310,97.4,727870,98.2,640394,93.8,478052,98.1,802111,94.9
1,3,0,0,0,勤め先収入,673304,92.2,687670,92.7,615357,90.1,439982,90.3,760580,90
1,4,0,0,0,世帯主収入,549604,75.2,564038,76.1,479753,70.2,363198,74.5,650200,77
1,6,0,0,0,うち男,524416,71.8,545008,73.5,430064,63,273969,56.2,639264,75.7
1,5,0,0,0,定期収入,442767,60.6,450935,60.8,400420,58.6,315185,64.7,523013,61.9
1,5,0,0,0,臨時収入,4565,0.6,4829,0.7,3755,0.5,4912,1,2413,0.3
1,5,0,0,0,賞与,102272,14,108273,14.6,75578,11.1,43101,8.8,124774,14.8
1,4,0,0,0,世帯主の配偶者の収入,111873,15.3,111554,15,125984,18.4,39814,8.2,110380,13.1
1,6,0,0,0,うち女,107887,14.8,108493,14.6,115484,16.9,39814,8.2,110380,13.1
1,4,0,0,0,他の世帯員収入,11827,1.6,12078,1.6,9620,1.4,36971,7.6,-,-
1,3,0,0,0,事業・内職収入,6894,0.9,7234,1,4766,0.7,16194,3.3,1142,0.1
1,4,0,0,0,家賃収入,3680,0.5,4168,0.6,2672,0.4,-,-,894,0.1
1,4,0,0,0,他の事業収入,1622,0.2,1352,0.2,1302,0.2,11966,2.5,-,-
1,4,0,0,0,内職収入,1592,0.2,1714,0.2,792,0.1,4228,0.9,248,0
1,3,0,0,0,他の経常収入,31112,4.3,32967,4.4,20272,3,21876,4.5,40389,4.8
1,4,0,0,0,財産収入,2101,0.3,2182,0.3,2481,0.4,714,0.1,341,0
1,4,0,0,0,社会保障給付,28649,3.9,30346,4.1,17654,2.6,21162,4.3,40049,4.7
1,5,0,0,0,公的年金給付,18101,2.5,20970,2.8,7005,1,18885,3.9,6329,0.7
1,5,0,0,0,他の社会保障給付,10549,1.4,9375,1.3,10649,1.6,2277,0.5,33719,4
1,4,0,0,0,仕送り金,362,0,440,0.1,137,0,-,-,-,-
1,2,0,0,0,特別収入,19076,2.6,13707,1.8,42579,6.2,9221,1.9,42709,5.1
1,3,0,0,0,受贈金,8128,1.1,2632,0.4,31836,4.7,208,0,30719,3.6
1,3,0,0,0,他の特別収入,10947,1.5,11075,1.5,10743,1.6,9013,1.8,11991,1.4
1,1,0,0,0,実収入以外の受取(繰入金を除く),550614,-,562012,-,527694,-,392953,-,539538,-
1,2,0,0,0,預貯金引出,407250,-,418295,-,382640,-,307736,-,367619,-
1,2,0,0,0,保険金,7532,-,9402,-,1200,-,2526,-,-,-
1,3,0,0,0,個人・企業年金保険金,6051,-,7640,-,555,-,2526,-,-,-
1,3,0,0,0,他の保険金,1482,-,1762,-,645,-,-,-,-,-
1,2,0,0,0,有価証券売却,1609,-,225,-,3941,-,-,-,20440,-
1,2,0,0,0,土地家屋借入金,3242,-,-,-,19643,-,-,-,-,-
1,2,0,0,0,他の借入金,698,-,861,-,200,-,-,-,-,-
1,2,0,0,0,クレジット購入借入金,129755,-,132684,-,119799,-,81521,-,150708,-
1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,528,-,545,-,272,-,1171,-,770,-
