項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,4631,-,2437,-,2287,-,645,-
0,0,0,0,0,調査世帯数,662,-,302,-,156,-,155,-,49,-
0,0,0,0,0,世帯人員,2.9,-,2,-,3,-,4,-,5.16,-
0,0,0,0,0,有業人員,1.33,-,0.8,-,1.68,-,1.91,-,1.81,-
0,0,0,0,0,世帯主平均年齢,59.9,-,68.2,-,58.6,-,48.2,-,46.8,-
2,2,0,0,0,生計支出,331094,-,285566,-,366157,-,357914,-,430375,-
2,3,0,0,0,消費支出,325749,100,285566,100,366157,100,357914,100,347542,100
2,4,1,0,0,食料,87121,26.7,74372,26,91487,25,103471,28.9,104178,30
2,5,1,1,0,穀類,6176,1.9,4973,1.7,6838,1.9,7147,2,8879,2.6
2,6,1,1,1,米類,1462,0.4,1271,0.4,1533,0.4,1580,0.4,2150,0.6
2,6,1,1,2,パン,2811,0.9,2209,0.8,3231,0.9,3284,0.9,3862,1.1
2,6,1,1,3,麺類,1432,0.4,1106,0.4,1568,0.4,1720,0.5,2239,0.6
2,6,1,1,4,他の穀類,471,0.1,387,0.1,506,0.1,562,0.2,628,0.2
2,5,1,2,0,魚介類,6193,1.9,6196,2.2,6637,1.8,5939,1.7,5388,1.6
2,6,1,2,1,生鮮魚介,3608,1.1,3604,1.3,3823,1,3578,1,2926,0.8
2,6,1,2,2,塩干魚介,1087,0.3,1076,0.4,1178,0.3,1039,0.3,989,0.3
2,6,1,2,3,魚肉練製品,592,0.2,626,0.2,570,0.2,547,0.2,583,0.2
2,6,1,2,4,他の魚介加工品,906,0.3,889,0.3,1066,0.3,775,0.2,890,0.3
2,5,1,3,0,肉類,7812,2.4,5654,2,8563,2.3,10074,2.8,12442,3.6
2,6,1,3,1,生鮮肉,6311,1.9,4587,1.6,7005,1.9,8121,2.3,9649,2.8
