項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,65歳未満／実数（円）,65歳未満／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,928,-,9072,-,5309,-
0,0,0,0,0,調査世帯数,214,-,-,19,-,195,-,112,-
0,0,0,0,0,世帯人員,2.34,-,-,2.76,-,2.3,-,2.25,-
0,0,0,0,0,有業人員,0.43,-,-,0.58,-,0.41,-,0.35,-
0,0,0,0,0,世帯主平均年齢,75.1,-,-,55.9,-,77,-,81.8,-
1,0,0,0,0,受取,699788,-,-4.7,651172,-,702759,-,655284,-
1,1,0,0,0,実収入,235231,100,-9.8,152500,100,242794,100,238089,100
1,2,0,0,0,経常収入,228818,97.3,-2.3,141386,92.7,236868,97.6,231770,97.3
1,3,0,0,0,勤め先収入,32643,13.9,23.8,58391,38.3,29672,12.2,28328,11.9
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,9198,3.9,33.5,31906,20.9,6643,2.7,4112,1.7
1,6,0,0,0,うち女,8658,3.7,25.7,26667,17.5,6643,2.7,4112,1.7
1,4,0,0,0,他の世帯員収入,23445,10,20.4,26485,17.4,23030,9.5,24216,10.2
1,3,0,0,0,事業・内職収入,6694,2.8,-46.6,5909,3.9,6754,2.8,7113,3
1,4,0,0,0,家賃収入,3333,1.4,-48.1,4030,2.6,3230,1.3,4346,1.8
1,4,0,0,0,他の事業収入,710,0.3,-53.4,1,0,778,0.3,1052,0.4
1,4,0,0,0,内職収入,2651,1.1,-42.4,1878,1.2,2745,1.1,1714,0.7
1,3,0,0,0,他の経常収入,189480,80.6,-2.9,77086,50.5,200442,82.6,196330,82.5
1,4,0,0,0,財産収入,4276,1.8,-18.2,1056,0.7,4578,1.9,5039,2.1
1,4,0,0,0,社会保障給付,183738,78.1,-3.1,75059,49.2,194394,80.1,189907,79.8
