年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業（千人）,卸売・小売業（千人）,金融・保険業（千人）,不動産業（千人）,飲食店，宿泊業（千人）,医療，福祉（千人）,教育，学習支援業（千人）,サービス業（他に分類されないもの）（千人）
実数／男女計／平成14年平均,2002,,414,842,379,302,1032,209,130,345,362,254,927
実数／男女計／平成15年平均,2003,,400,775,451,297,1028,207,129,353,407,250,925
実数／男女計／平成14年１～３月平均,2002,01～03,438,889,368,295,991,207,124,325,377,270,967
実数／男女計／平成14年４～６月平均,2002,04～06,421,895,368,285,1045,208,121,353,379,198,891
実数／男女計／平成14年７～９月平均,2002,07～09,378,792,402,300,1047,220,137,352,356,263,910
実数／男女計／平成14年10～12月平均,2002,10～12,418,792,380,328,1047,201,135,350,335,287,941
実数／男女計／平成15年１～３月平均,2003,01～03,419,809,414,301,930,179,145,346,383,276,909
実数／男女計／平成15年４～６月平均,2003,04～06,423,807,528,266,1049,214,117,335,397,219,920
実数／男女計／平成15年７～９月平均,2003,07～09,380,722,481,297,1135,210,126,341,434,257,937
実数／男女計／平成15年10～12月平均,2003,10～12,379,760,380,324,997,226,129,393,415,249,933
実数／男／平成14年平均,2002,,346,598,268,254,560,95,76,167,86,132,519
実数／男／平成15年平均,2003,,334,553,337,243,553,112,73,167,94,123,515
実数／男／平成14年１～３月平均,2002,01～03,364,630,261,245,518,104,72,166,101,142,559
実数／男／平成14年４～６月平均,2002,04～06,347,634,241,238,577,99,75,170,89,100,493
実数／男／平成14年７～９月平均,2002,07～09,323,578,298,262,583,91,80,164,78,139,512
実数／男／平成14年10～12月平均,2002,10～12,352,551,271,271,560,87,79,167,75,149,513
実数／男／平成15年１～３月平均,2003,01～03,359,578,314,250,485,98,67,178,101,147,478
実数／男／平成15年４～６月平均,2003,04～06,347,589,390,217,582,131,77,164,85,92,520
実数／男／平成15年７～９月平均,2003,07～09,315,526,370,243,603,98,75,143,94,125,523
実数／男／平成15年10～12月平均,2003,10～12,315,520,274,261,544,123,75,184,98,128,541
実数／女／平成14年平均,2002,,67,244,112,48,473,114,53,178,276,122,408
実数／女／平成15年平均,2003,,66,221,114,54,475,95,56,186,313,127,409
実数／女／平成14年１～３月平均,2002,01～03,74,259,106,51,473,104,53,159,276,128,408
実数／女／平成14年４～６月平均,2002,04～06,75,261,127,47,468,109,46,183,290,97,398
実数／女／平成14年７～９月平均,2002,07～09,55,214,104,39,464,129,57,188,278,124,398
実数／女／平成14年10～12月平均,2002,10～12,65,241,109,57,487,113,56,182,260,139,428
実数／女／平成15年１～３月平均,2003,01～03,59,231,99,51,445,81,79,168,282,128,431
実数／女／平成15年４～６月平均,2003,04～06,75,219,138,49,467,83,40,170,313,127,400
実数／女／平成15年７～９月平均,2003,07～09,65,196,111,54,532,113,51,198,341,132,414
実数／女／平成15年10～12月平均,2003,10～12,64,240,106,63,454,102,53,208,317,120,392
対前年・前年同期増減数／男女計／平成15年平均,2003,,-14,-67,72,-5,-4,-2,-1,8,45,-4,-2
対前年・前年同期増減数／男女計／平成15年１～３月平均,2003,01～03,-19,-80,46,6,-61,-28,21,21,6,6,-58
対前年・前年同期増減数／男女計／平成15年４～６月平均,2003,04～06,2,-88,160,-19,4,6,-4,-18,18,21,29
対前年・前年同期増減数／男女計／平成15年７～９月平均,2003,07～09,2,-70,79,-3,88,-10,-11,-11,78,-6,27
対前年・前年同期増減数／男女計／平成15年10～12月平均,2003,10～12,-39,-32,0,-4,-50,25,-6,43,80,-38,-8
対前年・前年同期増減数／男／平成15年平均,2003,,-12,-45,69,-11,-7,17,-3,0,8,-9,-4
対前年・前年同期増減数／男／平成15年１～３月平均,2003,01～03,-5,-52,53,5,-33,-6,-5,12,0,5,-81
対前年・前年同期増減数／男／平成15年４～６月平均,2003,04～06,0,-45,149,-21,5,32,2,-6,-4,-8,27
対前年・前年同期増減数／男／平成15年７～９月平均,2003,07～09,-8,-52,72,-19,20,7,-5,-21,16,-14,11
対前年・前年同期増減数／男／平成15年10～12月平均,2003,10～12,-37,-31,3,-10,-16,36,-4,17,23,-21,28
対前年・前年同期増減数／女／平成15年平均,2003,,-1,-23,2,6,2,-19,3,8,37,5,1
対前年・前年同期増減数／女／平成15年１～３月平均,2003,01～03,-15,-28,-7,0,-28,-23,26,9,6,0,23
対前年・前年同期増減数／女／平成15年４～６月平均,2003,04～06,0,-42,11,2,-1,-26,-6,-13,23,30,2
対前年・前年同期増減数／女／平成15年７～９月平均,2003,07～09,10,-18,7,15,68,-16,-6,10,63,8,16
対前年・前年同期増減数／女／平成15年10～12月平均,2003,10～12,-1,-1,-3,6,-33,-11,-3,26,57,-19,-36
,,,,,,,,,,,,,
東京の労働力統計データ（平成15年平均）,,,,,,,,,,,,,
第４表　主な産業別雇用者数,,,,,,,,,,,,,
注）日本標準産業分類の改訂に伴い、平成14年1～3月平均に遡り、改訂後の産業分類で表章しています。,,,,,,,,,,,,,
