年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業（千人）,卸売・小売業（千人）,金融・保険業（千人）,不動産業（千人）,飲食店，宿泊業（千人）,医療，福祉（千人）,教育，学習支援業（千人）,サービス業（他に分類されないもの）（千人）
実数／男女計／平成14年平均,2002,,489,915,390,333,1166,218,151,445,401,287,1145
実数／男女計／平成15年平均,2003,,480,849,463,337,1153,216,149,437,454,281,1151
実数／男女計／平成14年１～３月平均,2002,01～03,504,947,375,333,1134,213,143,437,417,309,1192
実数／男女計／平成14年４～６月平均,2002,04～06,488,983,375,316,1183,225,140,461,418,226,1105
実数／男女計／平成14年７～９月平均,2002,07～09,471,858,411,328,1173,227,162,439,400,291,1132
実数／男女計／平成14年10～12月平均,2002,10～12,494,872,399,357,1175,208,160,444,371,322,1150
実数／男女計／平成15年１～３月平均,2003,01～03,502,898,423,338,1034,188,172,428,430,302,1134
実数／男女計／平成15年４～６月平均,2003,04～06,503,877,539,309,1177,220,132,427,436,253,1156
実数／男女計／平成15年７～９月平均,2003,07～09,460,786,490,337,1263,215,147,411,477,291,1167
実数／男女計／平成15年10～12月平均,2003,10～12,457,837,402,366,1138,240,147,482,473,279,1145
実数／男／平成14年平均,2002,,413,643,277,283,631,102,87,214,109,142,647
実数／男／平成15年平均,2003,,402,601,346,280,620,118,85,206,121,133,650
実数／男／平成14年１～３月平均,2002,01～03,425,663,269,280,592,109,82,219,126,151,691
実数／男／平成14年４～６月平均,2002,04～06,405,693,248,269,652,111,83,219,111,110,618
実数／男／平成14年７～９月平均,2002,07～09,403,615,306,287,652,96,94,210,102,148,644
実数／男／平成14年10～12月平均,2002,10～12,421,600,285,298,627,91,91,208,96,160,634
実数／男／平成15年１～３月平均,2003,01～03,433,638,320,287,542,106,83,218,132,156,606
実数／男／平成15年４～６月平均,2003,04～06,400,634,397,257,655,136,84,209,108,103,654
実数／男／平成15年７～９月平均,2003,07～09,389,564,377,274,672,100,89,176,115,134,667
実数／男／平成15年10～12月平均,2003,10～12,387,568,292,301,611,132,84,222,129,138,672
実数／女／平成14年平均,2002,,76,272,113,50,535,117,64,231,293,145,498
実数／女／平成15年平均,2003,,78,249,117,58,533,97,64,231,333,149,501
実数／女／平成14年１～３月平均,2002,01～03,80,283,106,53,542,105,61,218,291,158,501
実数／女／平成14年４～６月平均,2002,04～06,82,291,127,47,531,115,57,242,307,116,487
実数／女／平成14年７～９月平均,2002,07～09,68,242,105,41,520,132,69,229,298,143,488
実数／女／平成14年10～12月平均,2002,10～12,73,272,113,59,548,117,70,236,274,162,516
実数／女／平成15年１～３月平均,2003,01～03,69,260,103,52,492,82,88,210,298,147,528
実数／女／平成15年４～６月平均,2003,04～06,103,242,142,52,522,85,48,218,328,150,502
実数／女／平成15年７～９月平均,2003,07～09,71,222,113,62,592,115,58,235,361,157,500
実数／女／平成15年10～12月平均,2003,10～12,70,269,110,65,527,108,63,260,344,142,473
対前年・前年同期増減数／男女計／平成15年平均,2003,,-9,-66,73,4,-13,-2,-2,-8,53,-6,6
対前年・前年同期増減数／男女計／平成15年１～３月平均,2003,01～03,-2,-49,48,5,-100,-25,29,-9,13,-7,-58
対前年・前年同期増減数／男女計／平成15年４～６月平均,2003,04～06,15,-106,164,-7,-6,-5,-8,-34,18,27,51
対前年・前年同期増減数／男女計／平成15年７～９月平均,2003,07～09,-11,-72,79,9,90,-12,-15,-28,77,0,35
対前年・前年同期増減数／男女計／平成15年10～12月平均,2003,10～12,-37,-35,3,9,-37,32,-13,38,102,-43,-5
対前年・前年同期増減数／男／平成15年平均,2003,,-11,-42,69,-3,-11,16,-2,-8,12,-9,3
対前年・前年同期増減数／男／平成15年１～３月平均,2003,01～03,8,-25,51,7,-50,-3,1,-1,6,5,-85
対前年・前年同期増減数／男／平成15年４～６月平均,2003,04～06,-5,-59,149,-12,3,25,1,-10,-3,-7,36
対前年・前年同期増減数／男／平成15年７～９月平均,2003,07～09,-14,-51,71,-13,20,4,-5,-34,13,-14,23
対前年・前年同期増減数／男／平成15年10～12月平均,2003,10～12,-34,-32,7,3,-16,41,-7,14,33,-22,38
対前年・前年同期増減数／女／平成15年平均,2003,,2,-23,4,8,-2,-20,0,0,40,4,3
対前年・前年同期増減数／女／平成15年１～３月平均,2003,01～03,-11,-23,-3,-1,-50,-23,27,-8,7,-11,27
対前年・前年同期増減数／女／平成15年４～６月平均,2003,04～06,21,-49,15,5,-9,-30,-9,-24,21,34,15
対前年・前年同期増減数／女／平成15年７～９月平均,2003,07～09,3,-20,8,21,72,-17,-11,6,63,14,12
対前年・前年同期増減数／女／平成15年10～12月平均,2003,10～12,-3,-3,-3,6,-21,-9,-7,24,70,-20,-43
,,,,,,,,,,,,,
東京の労働力統計データ（平成15年平均）,,,,,,,,,,,,,
第３表　主な産業別就業者数,,,,,,,,,,,,,
注）日本標準産業分類の改訂に伴い、平成14年1～3月平均に遡り、改訂後の産業分類で表章しています。,,,,,,,,,,,,,
