年・期,西暦(年),四半期,東京都／男女計（％、ポイント）,東京都／男（％、ポイント）,東京都／女（％、ポイント）,南関東／男女計（％、ポイント）,南関東／男（％、ポイント）,南関東／女（％、ポイント）,全国／男女計（％、ポイント）,全国／男（％、ポイント）,全国／女（％、ポイント）
完全失業率／平成17年平均,2005,,4.7,4.7,4.7,4.3,4.4,4.4,4.4,4.6,4.2
完全失業率／平成18年平均,2006,,4.2,4.3,4,4,4,3.9,4.1,4.3,3.9
完全失業率／平成19年平均,2007,,3.8,3.7,4,3.6,3.6,3.6,3.9,3.9,3.7
完全失業率／平成20年平均,2008,,3.8,3.6,4.1,3.8,3.7,3.7,4,4.1,3.8
完全失業率／平成21年平均,2009,,4.7,4.4,5,4.8,4.7,4.9,5.1,5.3,4.8
完全失業率／平成22年平均,2010,,5.5,5.7,5.1,5.1,5.2,4.9,5.1,5.4,4.6
完全失業率／平成23年平均,2011,,4.8,4.9,4.7,4.6,4.7,4.5,4.6,4.9,4.2
完全失業率／平成18年４～６月平均,2006,04～06,4.1,3.9,4.3,4,3.9,4.1,4.2,4.3,4.1
完全失業率／平成18年７～９月平均,2006,07～09,3.9,4,3.8,3.8,3.8,3.8,4.1,4.2,3.9
完全失業率／平成18年10～12月平均,2006,10～12,4.4,4.5,4.3,3.9,4,3.9,3.9,4.2,3.6
完全失業率／平成19年１～３月平均,2007,01～03,4.4,4.6,4.3,4,4.1,3.8,4.1,4.2,4
完全失業率／平成19年４～６月平均,2007,04～06,3.8,3.6,4.2,3.6,3.6,3.6,3.8,3.9,3.6
完全失業率／平成19年７～９月平均,2007,07～09,3.4,3.7,3,3.4,3.3,3.6,3.7,3.8,3.7
完全失業率／平成19年10～12月平均,2007,10～12,3.7,3.1,4.6,3.4,3.3,3.6,3.7,3.9,3.6
完全失業率／平成20年１～３月平均,2008,01～03,3.6,3.6,3.7,3.7,3.7,3.6,4,4.1,3.9
完全失業率／平成20年４～６月平均,2008,04～06,3.9,3.8,4.1,3.9,3.8,3.9,4,4.1,3.9
完全失業率／平成20年７～９月平均,2008,07～09,3.9,3.8,4.1,3.7,3.7,3.7,4,4,3.9
完全失業率／平成20年10～12月平均,2008,10～12,3.7,3.4,4.2,3.7,3.7,3.9,3.9,4.1,3.7
完全失業率／平成21年１～３月平均,2009,01～03,3.9,3.5,4.6,4.2,3.9,4.6,4.6,4.7,4.5
完全失業率／平成21年４～６月平均,2009,04～06,4.8,4.7,5,5,5.1,5,5.2,5.4,4.9
完全失業率／平成21年７～９月平均,2009,07～09,5.2,4.8,5.7,5.3,5.1,5.5,5.4,5.7,5.1
完全失業率／平成21年10～12月平均,2009,10～12,4.8,4.8,4.9,4.7,4.8,4.7,5,5.3,4.7
完全失業率／平成22年１～３月平均,2010,01～03,5,5.3,4.4,4.9,5.1,4.5,5.1,5.5,4.5
完全失業率／平成22年４～６月平均,2010,04～06,6.3,7,5.3,5.6,5.7,5.4,5.3,5.6,4.8
完全失業率／平成22年７～９月平均,2010,07～09,5.7,5.4,6.2,5.3,5.2,5.4,5.1,5.4,4.6
完全失業率／平成22年10～12月平均,2010,10～12,4.8,5,4.6,4.6,4.8,4.3,4.8,5.2,4.3
完全失業率／平成23年１～３月平均,2011,01～03,4.8,4.9,4.6,4.6,4.6,4.5,4.8,5.1,4.3
完全失業率／平成23年４～６月平均,2011,04～06,5,5,4.9,4.9,4.7,5,4.8,5.1,4.5
完全失業率／平成23年７～９月平均,2011,07～09,5.1,5,5.2,4.8,4.7,4.9,4.5,4.7,4.1
完全失業率／平成23年10～12月平均,2011,10～12,4.5,4.9,4,4.3,4.8,3.7,4.3,4.6,3.8
完全失業率／平成24年１～３月平均,2012,01～03,4.4,4.8,3.8,4.5,4.6,4.2,4.5,4.8,4.2
完全失業率／平成24年４～６月平均,2012,04～06,4.8,4.6,5.2,4.6,4.6,4.6,4.6,4.7,4.3
完全失業率／平成24年７～９月平均,2012,07～09,4.8,4.9,4.6,4.5,4.7,4.3,4.3,4.5,3.9
対前年・前年同期増減数／平成17年平均,2005,,-0.3,-0.3,-0.2,-0.3,-0.2,0,-0.3,-0.3,-0.2
対前年・前年同期増減数／平成18年平均,2006,,-0.5,-0.4,-0.7,-0.3,-0.4,-0.5,-0.3,-0.3,-0.3
対前年・前年同期増減数／平成19年平均,2007,,-0.4,-0.6,0,-0.4,-0.4,-0.3,-0.2,-0.4,-0.2
対前年・前年同期増減数／平成20年平均,2008,,0,-0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1
対前年・前年同期増減数／平成21年平均,2009,,0.9,0.8,0.9,1,1,1.2,1.1,1.2,1
対前年・前年同期増減数／平成22年平均,2010,,0.8,1.3,0.1,0.3,0.5,0,0,0.1,-0.2
対前年・前年同期増減数／平成23年平均,2011,,-0.7,-0.8,-0.4,-0.5,-0.5,-0.4,-0.5,-0.5,-0.4
対前年・前年同期増減数／平成18年４～６月平均,2006,04～06,-0.9,-1.1,-0.8,-0.6,-0.7,-0.4,-0.3,-0.3,-0.1
