男女・年,西暦(年),15歳以上人口（千人）,15歳以上人口／労働力人口（千人）,15歳以上人口／労働力人口／就業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数／主に仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／家事などのかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／通学のかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／休業者数（千人）,15歳以上人口／労働力人口／就業者数／自営業主数（千人）,15歳以上人口／労働力人口／就業者数／家族従業者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち常雇（千人）,15歳以上人口／労働力人口／完全失業者数（千人）,15歳以上人口／非労働力人口（千人）,15歳以上人口／非労働力人口／家事（千人）,15歳以上人口／非労働力人口／通学（千人）,15歳以上人口／非労働力人口／その他（千人）,労働力人口比率（％、ポイント）,就業率（％、ポイント）,完全失業率（％、ポイント）
実数／男女計／平成14年平均,2002,10725,6702,6330,6217,5342,705,170,113,576,186,5540,4788,372,4013,1787,871,1356,62.5,…,5.6
実数／男女計／平成15年平均,2003,10814,6724,6385,6267,5381,696,190,118,595,180,5581,4824,339,4082,1855,887,1340,62.2,…,5
実数／男女計／平成16年平均,2004,10875,6714,6379,6265,5405,689,172,114,590,171,5590,4777,335,4151,1839,884,1428,61.7,…,5
実数／男女計／平成17年平均,2005,10946,6772,6453,6333,5410,737,186,120,611,158,5647,4819,320,4162,1805,852,1504,61.9,…,4.7
実数／男女計／平成18年平均,2006,11026,6844,6557,6432,5482,758,192,125,577,157,5781,4961,286,4175,1758,868,1548,62.1,…,4.2
実数／男女計／平成19年平均,2007,11277,7105,6832,6697,5723,763,211,135,577,143,6067,5221,273,4163,1790,782,1592,63,…,3.8
実数／男女計／平成20年平均,2008,11337,7158,6885,6747,5791,754,202,138,567,126,6156,5329,273,4176,1784,779,1612,63.1,60.7,3.8
実数／男女計／平成21年平均,2009,11373,7115,6781,6611,5683,745,183,170,587,119,6036,5200,334,4252,1717,798,1737,62.6,59.6,4.7
実数／男女計／平成22年平均,2010,11388,7117,6728,6566,5616,762,188,163,571,119,5995,5160,389,4263,1745,794,1724,62.5,59.1,5.5
実数／男女計／平成23年平均,2011,11694,7420,7062,6899,5925,797,177,162,572,120,6330,5489,358,4270,1817,798,1655,63.5,60.4,4.8
実数／男女計／平成24年平均,2012,11730,7406,7070,6905,5946,780,180,165,563,107,6358,5499,336,4321,1777,776,1769,63.1,60.3,4.5
実数／男／平成14年平均,2002,5317,4054,3827,3769,3633,41,94,58,425,33,3354,3082,227,1257,31,470,756,76.2,…,5.6
実数／男／平成15年平均,2003,5358,4059,3860,3798,3667,32,99,62,439,32,3375,3104,199,1295,29,488,778,75.8,…,4.9
実数／男／平成16年平均,2004,5382,4022,3820,3761,3632,36,93,59,445,28,3330,3028,202,1355,39,482,833,74.7,…,5
