区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11738,11692,46,0.4,5771,5756,15,0.3,5967,5936,31,0.5
〔就業状態〕／労働力人口,7397,7318,79,1.1,4301,4285,16,0.4,3097,3033,64,2.1
〔就業状態〕／労働力人口／就業者数,7044,6946,98,1.4,4091,4071,20,0.5,2953,2875,78,2.7
〔就業状態〕／労働力人口／就業者数／自営業主数,563,561,2,0.4,394,399,-5,-1.3,169,162,7,4.3
〔就業状態〕／労働力人口／就業者数／家族従業者数,104,116,-12,-10.3,19,17,2,11.8,84,99,-15,-15.2
〔就業状態〕／労働力人口／就業者数／雇用者数,6339,6226,113,1.8,3656,3635,21,0.6,2683,2591,92,3.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5496,5379,117,2.2,3332,3320,12,0.4,2164,2058,106,5.2
〔就業状態〕／労働力人口／完全失業者数,353,372,-19,-5.1,210,215,-5,-2.3,143,158,-15,-9.5
〔就業状態〕／非労働力人口,4340,4371,-31,-0.7,1469,1468,1,0.1,2870,2903,-33,-1.1
〔就業者の活動状況別内訳〕／就業者数（再掲）,7044,6946,98,1.4,4091,4071,20,0.5,2953,2875,78,2.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6844,6755,89,1.3,3994,3985,9,0.2,2850,2770,80,2.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5892,5833,59,1,3843,3852,-9,-0.2,2050,1981,69,3.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,780,766,14,1.8,60,47,13,27.7,720,719,1,0.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,171,156,15,9.6,91,86,5,5.8,81,70,11,15.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,200,191,9,4.7,97,85,12,14.1,103,105,-2,-1.9
〔就業者の主な産業別内訳〕／建設業,439,430,9,2.1,362,352,10,2.8,76,78,-2,-2.6
〔就業者の主な産業別内訳〕／製造業,712,764,-52,-6.8,519,535,-16,-3,192,230,-38,-16.5
〔就業者の主な産業別内訳〕／情報通信業,623,624,-1,-0.2,436,440,-4,-0.9,186,184,2,1.1
〔就業者の主な産業別内訳〕／運輸業，郵便業,339,361,-22,-6.1,271,306,-35,-11.4,68,55,13,23.6
〔就業者の主な産業別内訳〕／卸売業，小売業,1204,1189,15,1.3,629,613,16,2.6,576,576,0,0
〔就業者の主な産業別内訳〕／金融業，保険業,252,301,-49,-16.3,132,158,-26,-16.5,120,142,-22,-15.5
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,235,220,15,6.8,150,138,12,8.7,85,82,3,3.7
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,442,388,54,13.9,288,264,24,9.1,155,124,31,25
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,527,494,33,6.7,242,236,6,2.5,286,258,28,10.9
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,299,287,12,4.2,132,140,-8,-5.7,167,148,19,12.8
〔就業者の主な産業別内訳〕／教育，学習支援業,293,313,-20,-6.4,132,147,-15,-10.2,161,166,-5,-3
〔就業者の主な産業別内訳〕／医療，福祉,634,598,36,6,181,152,29,19.1,452,446,6,1.3
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,648,606,42,6.9,359,342,17,5,290,264,26,9.8
〔雇用者の主な産業別内訳〕／建設業,366,360,6,1.7,297,292,5,1.7,69,68,1,1.5
〔雇用者の主な産業別内訳〕／製造業,677,725,-48,-6.6,494,514,-20,-3.9,183,211,-28,-13.3
〔雇用者の主な産業別内訳〕／情報通信業,595,601,-6,-1,418,422,-4,-0.9,177,179,-2,-1.1
〔雇用者の主な産業別内訳〕／運輸業，郵便業,317,333,-16,-4.8,253,280,-27,-9.6,64,52,12,23.1
〔雇用者の主な産業別内訳〕／卸売業，小売業,1117,1096,21,1.9,581,565,16,2.8,536,531,5,0.9
〔雇用者の主な産業別内訳〕／金融業，保険業,251,299,-48,-16.1,131,157,-26,-16.6,120,142,-22,-15.5
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,194,183,11,6,129,120,9,7.5,65,62,3,4.8
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,321,276,45,16.3,200,182,18,9.9,121,94,27,28.7
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,445,407,38,9.3,203,194,9,4.6,242,213,29,13.6
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,239,222,17,7.7,104,105,-1,-1,135,117,18,15.4
〔雇用者の主な産業別内訳〕／教育，学習支援業,263,269,-6,-2.2,127,135,-8,-5.9,136,133,3,2.3
〔雇用者の主な産業別内訳〕／医療，福祉,595,573,22,3.8,157,136,21,15.4,438,437,1,0.2
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,616,575,41,7.1,337,324,13,4,279,251,28,11.2
〔非農林業雇用者の従業者規模別内訳〕／総数,6327,6221,106,1.7,3647,3631,16,0.4,2680,2590,90,3.5
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1764,1728,36,2.1,1028,1001,27,2.7,736,727,9,1.2
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1995,2015,-20,-1,1104,1141,-37,-3.2,891,874,17,1.9
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2076,2038,38,1.9,1244,1248,-4,-0.3,833,790,43,5.4
〔完全失業率（年齢階級別）(%)〕／総数,4.8,5.1,-0.3,-,4.9,5,-0.1,-,4.6,5.2,-0.6,-
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,6.9,7.8,-0.9,-,6.4,8.8,-2.4,-,7.3,6.8,0.5,-
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,5.4,6.2,-0.8,-,6.3,6.2,0.1,-,4.2,6.2,-2,-
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,5.4,4.8,0.6,-,5.5,3.9,1.6,-,5.4,6.1,-0.7,-
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,4,4.3,-0.3,-,3,3.6,-0.6,-,5.3,5.4,-0.1,-
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,4,5.2,-1.2,-,4.7,6.3,-1.6,-,3.1,3.7,-0.6,-
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.9,2.4,0.5,-,3.4,3.4,0,-,1.6,0.9,0.7,-
〔労働力人口比率(%)〕／総数,63,62.6,0.4,-,74.5,74.4,0.1,-,51.9,51.1,0.8,-
,,,,,,,,,,,,
東京の労働力統計データ（平成24年７～９月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成24年７～９月期平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
