男女・年,西暦(年),専門的・技術的職業従事者（千人）,事務従事者（千人）,販売従事者（千人）,サービス職業従事者（千人）,生産工程従事者（千人）,運搬・清掃・包装等従事者（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成22年平均,2010,1349,1680,1108,802,523,359,908
実数／男女計／平成23年平均,2011,1407,1740,1175,839,542,395,964
実数／男女計／平成24年平均,2012,1439,1750,1140,863,555,376,946
実数／男／平成22年平均,2010,834,685,702,325,378,225,790
実数／男／平成23年平均,2011,862,703,726,343,387,242,859
実数／男／平成24年平均,2012,882,713,707,343,407,232,846
実数／女／平成22年平均,2010,514,995,406,477,145,134,115
実数／女／平成23年平均,2011,545,1037,449,496,156,153,106
実数／女／平成24年平均,2012,557,1037,433,521,148,144,101
対前年増減／男女計／平成23年平均,2011,58,60,67,37,19,36,56
対前年増減／男女計／平成24年平均,2012,32,10,-35,24,13,-19,-18
対前年増減／男／平成23年平均,2011,28,18,24,18,9,17,69
対前年増減／男／平成24年平均,2012,20,10,-19,0,20,-10,-13
対前年増減／女／平成23年平均,2011,31,42,43,19,11,19,-9
対前年増減／女／平成24年平均,2012,12,0,-16,25,-8,-9,-5
,,,,,,,,
東京の労働力統計データ（平成24年平均）,,,,,,,,
第６表　主な職業別就業者数,,,,,,,,
"注)日本標準職業分類（平成21年12月改定）に基づく職業別で、結果表章を行っている。その他(左記以外のもの）
には、[管理的職業従事者」「保安職業従事者」「農林漁業従事者」「輸送・機械運転従事者」「建設・採掘
従事者」及び「分類不能の職業」が含まれている。",,,,,,,,
