年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成21年平均,2009,,392,766,539,337,1050,263,175,273,404,212,285,507,552
実数／男女計／平成22年平均,2010,,349,715,576,353,1014,261,170,287,410,204,288,531,545
実数／男女計／平成23年平均,2011,,368,730,577,340,1093,281,200,299,403,223,301,576,589
実数／男女計／平成21年10～12月平均,2009,10～12,398,715,565,374,1021,244,148,297,383,208,304,510,561
実数／男女計／平成22年１～３月平均,2010,01～03,392,708,566,368,1072,236,173,301,381,185,287,518,521
実数／男女計／平成22年４～６月平均,2010,04～06,332,720,575,302,979,277,168,286,454,209,282,520,542
実数／男女計／平成22年７～９月平均,2010,07～09,324,719,566,374,976,290,166,264,402,213,278,566,539
実数／男女計／平成22年10～12月平均,2010,10～12,346,711,595,366,1028,239,173,297,405,210,305,519,577
実数／男女計／平成23年１～３月平均,2011,01～03,377,714,548,368,1124,256,189,293,416,227,301,592,569
実数／男女計／平成23年４～６月平均,2011,04～06,362,757,536,332,1101,302,224,311,369,203,288,561,615
実数／男女計／平成23年７～９月平均,2011,07～09,360,725,601,333,1096,299,183,276,407,222,269,573,575
実数／男女計／平成23年10～12月平均,2011,10～12,373,725,621,326,1051,266,203,314,420,241,348,576,595
実数／男女計／平成24年１～３月平均,2012,01～03,363,680,567,318,1119,271,190,295,435,211,298,633,627
実数／男／平成21年平均,2009,,328,566,399,261,558,140,110,171,191,93,136,127,284
実数／男／平成22年平均,2010,,298,513,428,272,531,129,107,179,195,90,137,137,281
実数／男／平成23年平均,2011,,301,509,410,272,554,145,133,194,184,104,140,153,317
実数／男／平成21年10～12月平均,2009,10～12,346,541,422,248,524,137,86,184,179,97,158,125,281
実数／男／平成22年１～３月平均,2010,01～03,339,530,411,265,572,111,101,179,166,75,137,147,270
実数／男／平成22年４～６月平均,2010,04～06,275,516,433,247,498,141,105,175,228,92,128,125,280
実数／男／平成22年７～９月平均,2010,07～09,279,496,425,319,522,154,104,172,196,91,130,151,277
実数／男／平成22年10～12月平均,2010,10～12,300,509,443,257,533,109,119,191,188,100,156,124,297
実数／男／平成23年１～３月平均,2011,01～03,309,513,397,277,554,129,126,180,155,99,135,174,314
実数／男／平成23年４～６月平均,2011,04～06,298,521,372,266,562,162,151,208,175,102,126,143,317
実数／男／平成23年７～９月平均,2011,07～09,292,514,422,280,565,157,120,182,194,105,135,136,324
実数／男／平成23年10～12月平均,2011,10～12,307,490,448,262,535,133,136,205,210,111,165,160,315
実数／男／平成24年１～３月平均,2012,01～03,292,494,417,251,561,145,124,166,179,112,132,173,341
実数／女／平成21年平均,2009,,63,200,141,75,493,124,65,102,214,119,150,380,268
実数／女／平成22年平均,2010,,51,202,148,81,483,132,63,108,216,115,151,394,264
実数／女／平成23年平均,2011,,67,221,167,68,539,136,66,105,220,119,161,422,271
実数／女／平成21年10～12月平均,2009,10～12,53,174,143,126,497,107,62,113,204,111,145,386,280
実数／女／平成22年１～３月平均,2010,01～03,53,178,155,103,500,126,72,122,215,110,151,371,251
実数／女／平成22年４～６月平均,2010,04～06,58,204,142,55,481,136,63,110,226,116,154,395,261
実数／女／平成22年７～９月平均,2010,07～09,45,223,140,56,454,136,63,92,205,123,149,415,262
実数／女／平成22年10～12月平均,2010,10～12,46,202,153,109,495,130,54,107,217,109,149,395,280
実数／女／平成23年１～３月平均,2011,01～03,69,201,151,91,570,127,63,113,261,128,166,418,255
実数／女／平成23年４～６月平均,2011,04～06,64,236,163,65,539,140,73,104,195,102,162,418,298
実数／女／平成23年７～９月平均,2011,07～09,68,211,179,52,531,142,62,94,213,117,133,437,251
実数／女／平成23年10～12月平均,2011,10～12,66,235,173,64,515,134,67,109,211,130,183,416,280
実数／女／平成24年１～３月平均,2012,01～03,71,186,150,67,558,126,65,129,255,99,166,460,286
対前年・前年同期増減数／男女計／平成21年平均,2009,,-27,-45,27,32,-44,-9,-15,-4,1,4,13,9,-46
対前年・前年同期増減数／男女計／平成22年平均,2010,,-43,-51,37,16,-36,-2,-5,14,6,-8,3,24,-7
対前年・前年同期増減数／男女計／平成23年平均,2011,,19,15,1,-13,79,20,30,12,-7,19,13,45,44
対前年・前年同期増減数／男女計／平成21年10～12月平均,2009,10～12,-44,-97,13,83,-27,4,-32,-38,-12,-19,44,-23,-59
対前年・前年同期増減数／男女計／平成22年１～３月平均,2010,01～03,-18,-143,-11,44,-10,-21,-13,36,-2,-20,30,57,-30
対前年・前年同期増減数／男女計／平成22年４～６月平均,2010,04～06,-48,-42,65,4,-98,-5,-9,22,18,-10,-26,15,-7
対前年・前年同期増減数／男女計／平成22年７～９月平均,2010,07～09,-54,-43,56,76,-101,8,-11,0,-34,-6,-30,61,-10
対前年・前年同期増減数／男女計／平成22年10～12月平均,2010,10～12,-52,-4,30,-8,7,-5,25,0,22,2,1,9,16
対前年・前年同期増減数／男女計／平成23年１～３月平均,2011,01～03,-15,6,-18,0,52,20,16,-8,35,42,14,74,48
対前年・前年同期増減数／男女計／平成23年４～６月平均,2011,04～06,30,37,-39,30,122,25,56,25,-85,-6,6,41,73
対前年・前年同期増減数／男女計／平成23年７～９月平均,2011,07～09,36,6,35,-41,120,9,17,12,5,9,-9,7,36
対前年・前年同期増減数／男女計／平成23年10～12月平均,2011,10～12,27,14,26,-40,23,27,30,17,15,31,43,57,18
対前年・前年同期増減数／男女計／平成24年１～３月平均,2012,01～03,-14,-34,19,-50,-5,15,1,2,19,-16,-3,41,58
対前年・前年同期増減数／男／平成21年平均,2009,,-24,-33,21,14,-30,-9,-8,-1,2,-2,12,6,-43
対前年・前年同期増減数／男／平成22年平均,2010,,-30,-53,29,11,-27,-11,-3,8,4,-3,1,10,-3
対前年・前年同期増減数／男／平成23年平均,2011,,3,-4,-18,0,23,16,26,15,-11,14,3,16,36
対前年・前年同期増減数／男／平成21年10～12月平均,2009,10～12,-28,-64,30,12,-59,7,-27,-4,-21,-7,39,-13,-41
対前年・前年同期増減数／男／平成22年１～３月平均,2010,01～03,-3,-99,-5,5,-21,-21,-17,16,-5,-5,18,24,-11
対前年・前年同期増減数／男／平成22年４～６月平均,2010,04～06,-34,-40,55,13,-72,-6,-7,5,18,-7,-21,3,-15
対前年・前年同期増減数／男／平成22年７～９月平均,2010,07～09,-38,-40,46,17,-21,12,-19,4,-6,-5,13,11,-2
対前年・前年同期増減数／男／平成22年10～12月平均,2010,10～12,-46,-32,21,9,9,-28,33,7,9,3,-2,-1,16
対前年・前年同期増減数／男／平成23年１～３月平均,2011,01～03,-30,-17,-14,12,-18,18,25,1,-11,24,-2,27,44
対前年・前年同期増減数／男／平成23年４～６月平均,2011,04～06,23,5,-61,19,64,21,46,33,-53,10,-2,18,37
対前年・前年同期増減数／男／平成23年７～９月平均,2011,07～09,13,18,-3,-39,43,3,16,10,-2,14,5,-15,47
対前年・前年同期増減数／男／平成23年10～12月平均,2011,10～12,7,-19,5,5,2,24,17,14,22,11,9,36,18
対前年・前年同期増減数／男／平成24年１～３月平均,2012,01～03,-17,-19,20,-26,7,16,-2,-14,24,13,-3,-1,27
対前年・前年同期増減数／女／平成21年平均,2009,,-4,-12,7,17,-12,2,-6,-4,0,6,2,3,-3
対前年・前年同期増減数／女／平成22年平均,2010,,-12,2,7,6,-10,8,-2,6,2,-4,1,14,-4
対前年・前年同期増減数／女／平成23年平均,2011,,16,19,19,-13,56,4,3,-3,4,4,10,28,7
対前年・前年同期増減数／女／平成21年10～12月平均,2009,10～12,-15,-33,-18,71,31,-3,-5,-34,9,-12,5,-8,-18
対前年・前年同期増減数／女／平成22年１～３月平均,2010,01～03,-14,-45,-6,39,12,2,4,19,2,-16,13,33,-19
対前年・前年同期増減数／女／平成22年４～６月平均,2010,04～06,-14,-2,11,-8,-26,1,-1,16,0,-4,-5,12,7
対前年・前年同期増減数／女／平成22年７～９月平均,2010,07～09,-16,25,13,7,-24,7,-3,-5,-7,3,-7,3,-5
対前年・前年同期増減数／女／平成22年10～12月平均,2010,10～12,-7,28,10,-17,-2,23,-8,-6,13,-2,4,9,0
対前年・前年同期増減数／女／平成23年１～３月平均,2011,01～03,16,23,-4,-12,70,1,-9,-9,46,18,15,47,4
対前年・前年同期増減数／女／平成23年４～６月平均,2011,04～06,6,32,21,10,58,4,10,-6,-31,-14,8,23,37
対前年・前年同期増減数／女／平成23年７～９月平均,2011,07～09,23,-12,39,-4,77,6,-1,2,8,-6,-16,22,-11
対前年・前年同期増減数／女／平成23年10～12月平均,2011,10～12,20,33,20,-45,20,4,13,2,-6,21,34,21,0
対前年・前年同期増減数／女／平成24年１～３月平均,2012,01～03,2,-15,-1,-24,-12,-1,2,16,-6,-29,0,42,31
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成24年１～３月平均）,,,,,,,,,,,,,,,
第５表　主な産業別雇用者数 ,,,,,,,,,,,,,,,
