区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11703,11682,21,0.2,5758,5751,7,0.1,5945,5932,13,0.2
〔就業状態〕／労働力人口,7395,7458,-63,-0.8,4291,4326,-35,-0.8,3104,3133,-29,-0.9
〔就業状態〕／労働力人口／就業者数,7071,7102,-31,-0.4,4085,4113,-28,-0.7,2987,2989,-2,-0.1
〔就業状態〕／労働力人口／就業者数／自営業主数,597,585,12,2.1,443,426,17,4,154,159,-5,-3.1
〔就業状態〕／労働力人口／就業者数／家族従業者数,115,118,-3,-2.5,20,17,3,17.6,95,101,-6,-5.9
〔就業状態〕／労働力人口／就業者数／雇用者数,6332,6356,-24,-0.4,3608,3648,-40,-1.1,2724,2708,16,0.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5431,5527,-96,-1.7,3300,3354,-54,-1.6,2131,2173,-42,-1.9
〔就業状態〕／労働力人口／完全失業者数,323,356,-33,-9.3,207,213,-6,-2.8,117,144,-27,-18.8
〔就業状態〕／非労働力人口,4306,4216,90,2.1,1466,1421,45,3.2,2840,2795,45,1.6
〔就業者の活動状況別内訳〕／就業者数（再掲）,7071,7102,-31,-0.4,4085,4113,-28,-0.7,2987,2989,-2,-0.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6902,6911,-9,-0.1,4010,4036,-26,-0.6,2891,2875,16,0.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5915,5914,1,0,3854,3905,-51,-1.3,2061,2009,52,2.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,797,822,-25,-3,63,52,11,21.2,734,770,-36,-4.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,190,175,15,8.6,93,79,14,17.7,96,96,0,0
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,170,190,-20,-10.5,74,77,-3,-3.9,95,113,-18,-15.9
〔就業者の主な産業別内訳〕／建設業,427,453,-26,-5.7,349,378,-29,-7.7,77,74,3,4.1
〔就業者の主な産業別内訳〕／製造業,732,761,-29,-3.8,532,541,-9,-1.7,200,220,-20,-9.1
〔就業者の主な産業別内訳〕／情報通信業,596,580,16,2.8,436,417,19,4.6,160,162,-2,-1.2
〔就業者の主な産業別内訳〕／運輸業，郵便業,340,401,-61,-15.2,272,309,-37,-12,68,92,-24,-26.1
〔就業者の主な産業別内訳〕／卸売業，小売業,1219,1222,-3,-0.2,616,607,9,1.5,603,616,-13,-2.1
〔就業者の主な産業別内訳〕／金融業，保険業,276,258,18,7,147,131,16,12.2,129,128,1,0.8
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,239,229,10,4.4,151,144,7,4.9,88,85,3,3.5
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,400,400,0,0,244,252,-8,-3.2,156,148,8,5.4
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,499,481,18,3.7,216,193,23,11.9,283,288,-5,-1.7
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,280,287,-7,-2.4,147,130,17,13.1,132,157,-25,-15.9
〔就業者の主な産業別内訳〕／教育，学習支援業,326,343,-17,-5,138,143,-5,-3.5,187,200,-13,-6.5
〔就業者の主な産業別内訳〕／医療，福祉,684,650,34,5.2,208,210,-2,-1,476,439,37,8.4
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,681,606,75,12.4,378,341,37,10.9,303,265,38,14.3
〔雇用者の主な産業別内訳〕／建設業,363,377,-14,-3.7,292,309,-17,-5.5,71,69,2,2.9
〔雇用者の主な産業別内訳〕／製造業,680,714,-34,-4.8,494,513,-19,-3.7,186,201,-15,-7.5
〔雇用者の主な産業別内訳〕／情報通信業,567,548,19,3.5,417,397,20,5,150,151,-1,-0.7
〔雇用者の主な産業別内訳〕／運輸業，郵便業,318,368,-50,-13.6,251,277,-26,-9.4,67,91,-24,-26.4
〔雇用者の主な産業別内訳〕／卸売業，小売業,1119,1124,-5,-0.4,561,554,7,1.3,558,570,-12,-2.1
〔雇用者の主な産業別内訳〕／金融業，保険業,271,256,15,5.9,145,129,16,12.4,126,127,-1,-0.8
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,190,189,1,0.5,124,126,-2,-1.6,65,63,2,3.2
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,295,293,2,0.7,166,180,-14,-7.8,129,113,16,14.2
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,435,416,19,4.6,179,155,24,15.5,255,261,-6,-2.3
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,211,227,-16,-7,112,99,13,13.1,99,128,-29,-22.7
〔雇用者の主な産業別内訳〕／教育，学習支援業,298,301,-3,-1,132,135,-3,-2.2,166,166,0,0
〔雇用者の主な産業別内訳〕／医療，福祉,633,592,41,6.9,173,174,-1,-0.6,460,418,42,10
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,627,569,58,10.2,341,314,27,8.6,286,255,31,12.2
〔非農林業雇用者の従業者規模別内訳〕／総数,6325,6350,-25,-0.4,3602,3644,-42,-1.2,2723,2707,16,0.6
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1771,1802,-31,-1.7,995,1006,-11,-1.1,776,796,-20,-2.5
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2014,1997,17,0.9,1127,1093,34,3.1,887,904,-17,-1.9
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2043,1999,44,2.2,1200,1193,7,0.6,843,805,38,4.7
