区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,11730,11694,36,0.3,5768,5756,12,0.2,5962,5938,24,0.4
〔就業状態〕／労働力人口,7406,7420,-14,-0.2,4328,4336,-8,-0.2,3078,3084,-6,-0.2
〔就業状態〕／労働力人口／就業者数,7070,7062,8,0.1,4130,4122,8,0.2,2940,2940,0,0
〔就業状態〕／労働力人口／就業者数／自営業主数,563,572,-9,-1.6,409,412,-3,-0.7,154,160,-6,-3.8
〔就業状態〕／労働力人口／就業者数／家族従業者数,107,120,-13,-10.8,20,19,1,5.3,87,101,-14,-13.9
〔就業状態〕／労働力人口／就業者数／雇用者数,6358,6330,28,0.4,3679,3672,7,0.2,2680,2658,22,0.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5499,5489,10,0.2,3360,3367,-7,-0.2,2140,2122,18,0.8
〔就業状態〕／労働力人口／完全失業者数,336,358,-22,-6.1,198,214,-16,-7.5,138,144,-6,-4.2
〔就業状態〕／非労働力人口,4321,4270,51,1.2,1439,1418,21,1.5,2883,2853,30,1.1
〔就業者の活動状態別内訳〕／就業者数（再掲）,7070,7062,8,0.1,4130,4122,8,0.2,2940,2940,0,0
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数,6905,6899,6,0.1,4057,4050,7,0.2,2848,2849,-1,0
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／主に仕事,5946,5925,21,0.4,3899,3906,-7,-0.2,2047,2019,28,1.4
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,780,797,-17,-2.1,65,55,10,18.2,715,741,-26,-3.5
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,180,177,3,1.7,93,89,4,4.5,86,89,-3,-3.4
〔就業者の活動状態別内訳〕／就業者数（再掲）／休業者数,165,162,3,1.9,72,72,0,0,92,91,1,1.1
〔就業者の主な産業別内訳〕／建設業,441,440,1,0.2,368,365,3,0.8,73,75,-2,-2.7
〔就業者の主な産業別内訳〕／製造業,751,771,-20,-2.6,542,533,9,1.7,208,237,-29,-12.2
〔就業者の主な産業別内訳〕／情報通信業,594,603,-9,-1.5,426,429,-3,-0.7,168,174,-6,-3.4
〔就業者の主な産業別内訳〕／運輸業，郵便業,345,374,-29,-7.8,279,304,-25,-8.2,66,70,-4,-5.7
〔就業者の主な産業別内訳〕／卸売業，小売業,1170,1192,-22,-1.8,595,606,-11,-1.8,575,587,-12,-2
〔就業者の主な産業別内訳〕／金融業，保険業,277,283,-6,-2.1,148,147,1,0.7,129,136,-7,-5.1
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,235,235,0,0,152,150,2,1.3,83,85,-2,-2.4
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,416,408,8,2,268,271,-3,-1.1,148,138,10,7.2
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,502,478,24,5,228,223,5,2.2,274,255,19,7.5
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,281,289,-8,-2.8,133,137,-4,-2.9,148,152,-4,-2.6
〔就業者の主な産業別内訳〕／教育，学習支援業,329,340,-11,-3.2,145,149,-4,-2.7,184,191,-7,-3.7
〔就業者の主な産業別内訳〕／医療，福祉,640,615,25,4.1,190,178,12,6.7,451,437,14,3.2
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,655,626,29,4.6,360,342,18,5.3,295,283,12,4.2
〔雇用者の主な産業別内訳〕／建設業,372,368,4,1.1,305,301,4,1.3,67,67,0,0
〔雇用者の主な産業別内訳〕／製造業,713,730,-17,-2.3,515,509,6,1.2,198,221,-23,-10.4
〔雇用者の主な産業別内訳〕／情報通信業,565,577,-12,-2.1,406,410,-4,-1,159,167,-8,-4.8
〔雇用者の主な産業別内訳〕／運輸業，郵便業,319,340,-21,-6.2,254,272,-18,-6.6,65,68,-3,-4.4
〔雇用者の主な産業別内訳〕／卸売業，小売業,1082,1093,-11,-1,546,554,-8,-1.4,536,539,-3,-0.6
〔雇用者の主な産業別内訳〕／金融業，保険業,274,281,-7,-2.5,145,145,0,0,128,136,-8,-5.9
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,197,200,-3,-1.5,132,133,-1,-0.8,65,66,-1,-1.5
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,304,299,5,1.7,185,194,-9,-4.6,119,105,14,13.3
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,428,403,25,6.2,191,184,7,3.8,237,220,17,7.7
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,221,223,-2,-0.9,104,104,0,0,117,119,-2,-1.7
〔雇用者の主な産業別内訳〕／教育，学習支援業,298,301,-3,-1,139,140,-1,-0.7,159,161,-2,-1.2
〔雇用者の主な産業別内訳〕／医療，福祉,604,576,28,4.9,166,153,13,8.5,438,422,16,3.8
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,611,589,22,3.7,331,317,14,4.4,280,271,9,3.3
〔非農林業雇用者の従業者規模別内訳〕／総数,6351,6324,27,0.4,3673,3668,5,0.1,2678,2657,21,0.8
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1746,1783,-37,-2.1,1010,1018,-8,-0.8,736,765,-29,-3.8
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1968,1991,-23,-1.2,1104,1112,-8,-0.7,863,879,-16,-1.8
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2105,2045,60,2.9,1250,1237,13,1.1,855,808,47,5.8
〔完全失業率（年齢階級別）(%)〕／総数,4.5,4.8,-0.3,-,4.6,4.9,-0.3,-,4.5,4.7,-0.2,-
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,7.1,7.5,-0.4,-,7.4,8.5,-1.1,-,6.9,6.6,0.3,-
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,4.7,5.7,-1,-,5,6.2,-1.2,-,4.6,5,-0.4,-
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,4.5,4.8,-0.3,-,4.5,4.5,0,-,4.5,5.4,-0.9,-
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.9,3.9,0,-,3.3,3.2,0.1,-,4.5,4.8,-0.3,-
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,4.8,5.1,-0.3,-,5.4,5.9,-0.5,-,3.9,3.9,0,-
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.9,2.3,0.6,-,3.5,3,0.5,-,1.9,1.2,0.7,-
〔就業率（%）〕／総数,60.3,60.4,-0.1,-,71.6,71.6,0,-,49.3,49.5,-0.2,-
〔労働力人口比率(%)〕／総数,63.1,63.5,-0.4,-,75,75.3,-0.3,-,51.6,51.9,-0.3,-
,,,,,,,,,,,,
東京の労働力統計データ（平成24年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成24年平均,,,,,,,,,,,,
