区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11744,11697,47,0.4,5773,5757,16,0.3,5971,5940,31,0.5
〔就業状態〕／労働力人口,7334,7379,-45,-0.6,4284,4319,-35,-0.8,3050,3060,-10,-0.3
〔就業状態〕／労働力人口／就業者数,7029,7047,-18,-0.3,4111,4109,2,0,2918,2938,-20,-0.7
〔就業状態〕／労働力人口／就業者数／自営業主数,556,552,4,0.7,402,393,9,2.3,154,159,-5,-3.1
〔就業状態〕／労働力人口／就業者数／家族従業者数,96,110,-14,-12.7,13,19,-6,-31.6,84,91,-7,-7.7
〔就業状態〕／労働力人口／就業者数／雇用者数,6319,6355,-36,-0.6,3667,3683,-16,-0.4,2652,2672,-20,-0.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5484,5502,-18,-0.3,3339,3366,-27,-0.8,2145,2135,10,0.5
〔就業状態〕／労働力人口／完全失業者数,305,332,-27,-8.1,173,210,-37,-17.6,132,122,10,8.2
〔就業状態〕／非労働力人口,4407,4317,90,2.1,1487,1437,50,3.5,2920,2881,39,1.4
〔就業者の活動状況別内訳〕／就業者数（再掲）,7029,7047,-18,-0.3,4111,4109,2,0,2918,2938,-20,-0.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6883,6898,-15,-0.2,4045,4042,3,0.1,2838,2856,-18,-0.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5939,5932,7,0.1,3872,3871,1,0,2067,2061,6,0.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,748,747,1,0.1,66,68,-2,-2.9,683,679,4,0.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,196,219,-23,-10.5,107,104,3,2.9,89,116,-27,-23.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,146,149,-3,-2,66,67,-1,-1.5,80,82,-2,-2.4
〔就業者の主な産業別内訳〕／建設業,436,436,0,0,363,363,0,0,73,73,0,0
