男女・年,西暦(年),建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成20年平均,2008,419,811,512,305,1094,272,190,277,403,208,272,498,598,289
実数／男女計／平成21年平均,2009,392,766,539,337,1050,263,175,273,404,212,285,507,552,274
実数／男女計／平成22年平均,2010,349,715,576,353,1014,261,170,287,410,204,288,531,545,285
実数／男女計／平成23年平均,2011,368,730,577,340,1093,281,200,299,403,223,301,576,589,345
実数／男女計／平成24年平均,2012,372,713,565,319,1082,274,197,304,428,221,298,604,611,361
実数／男／平成20年平均,2008,352,599,378,247,588,149,118,172,189,95,124,121,327,196
実数／男／平成21年平均,2009,328,566,399,261,558,140,110,171,191,93,136,127,284,188
実数／男／平成22年平均,2010,298,513,428,272,531,129,107,179,195,90,137,137,281,196
実数／男／平成23年平均,2011,301,509,410,272,554,145,133,194,184,104,140,153,317,250
実数／男／平成24年平均,2012,305,515,406,254,546,145,132,185,191,104,139,166,331,252
実数／女／平成20年平均,2008,67,212,134,58,505,122,71,106,214,113,148,377,271,92
実数／女／平成21年平均,2009,63,200,141,75,493,124,65,102,214,119,150,380,268,86
実数／女／平成22年平均,2010,51,202,148,81,483,132,63,108,216,115,151,394,264,89
実数／女／平成23年平均,2011,67,221,167,68,539,136,66,105,220,119,161,422,271,96
実数／女／平成24年平均,2012,67,198,159,65,536,128,65,119,237,117,159,438,280,109
対前年増減／男女計／平成21年平均,2009,-27,-45,27,32,-44,-9,-15,-4,1,4,13,9,-46,-15
対前年増減／男女計／平成22年平均,2010,-43,-51,37,16,-36,-2,-5,14,6,-8,3,24,-7,11
対前年増減／男女計／平成23年平均,2011,19,15,1,-13,79,20,30,12,-7,19,13,45,44,60
対前年増減／男女計／平成24年平均,2012,4,-17,-12,-21,-11,-7,-3,5,25,-2,-3,28,22,16
対前年増減／男／平成21年平均,2009,-24,-33,21,14,-30,-9,-8,-1,2,-2,12,6,-43,-8
対前年増減／男／平成22年平均,2010,-30,-53,29,11,-27,-11,-3,8,4,-3,1,10,-3,8
対前年増減／男／平成23年平均,2011,3,-4,-18,0,23,16,26,15,-11,14,3,16,36,54
対前年増減／男／平成24年平均,2012,4,6,-4,-18,-8,0,-1,-9,7,0,-1,13,14,2
対前年増減／女／平成21年平均,2009,-4,-12,7,17,-12,2,-6,-4,0,6,2,3,-3,-6
対前年増減／女／平成22年平均,2010,-12,2,7,6,-10,8,-2,6,2,-4,1,14,-4,3
対前年増減／女／平成23年平均,2011,16,19,19,-13,56,4,3,-3,4,4,10,28,7,7
対前年増減／女／平成24年平均,2012,0,-23,-8,-3,-3,-8,-1,14,17,-2,-2,16,9,13
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成24年平均）,,,,,,,,,,,,,,,
第５表　主な産業別雇用者数,,,,,,,,,,,,,,,
