年・期,西暦(年),四半期,男女計／１５歳以上人口（千人）,男女計／１５歳以上人口／労働力人口（千人）,男女計／１５歳以上人口／労働力人口／就業者数（千人）,男女計／１５歳以上人口／労働力人口／完全失業者数（千人）,男女計／１５歳以上人口／非労働力人口（千人）,男女計／労働力人口比率（％、ポイント）,男女計／完全失業率（％、ポイント）,男／１５歳以上人口（千人）,男／１５歳以上人口／労働力人口（千人）,男／１５歳以上人口／労働力人口／就業者数（千人）,男／１５歳以上人口／労働力人口／完全失業者数（千人）,男／１５歳以上人口／非労働力人口（千人）,男／労働力人口比率（％、ポイント）,男／完全失業率（％、ポイント）,女／１５歳以上人口（千人）,女／１５歳以上人口／労働力人口（千人）,女／１５歳以上人口／労働力人口／就業者数（千人）,女／１５歳以上人口／労働力人口／完全失業者数（千人）,女／１５歳以上人口／非労働力人口（千人）,女／労働力人口比率（％、ポイント）,女／完全失業率（％、ポイント）
実数／平成17年平均,2005,,10946,6772,6453,320,4162,61.9,4.7,5412,4031,3840,191,1375,74.5,4.7,5534,2741,2613,129,2787,49.5,4.7
実数／平成18年平均,2006,,11026,6844,6557,286,4175,62.1,4.2,5449,4054,3879,175,1392,74.4,4.3,5577,2790,2678,112,2783,50,4
実数／平成19年平均,2007,,11277,7105,6832,273,4163,63,3.8,5594,4252,4093,159,1337,76,3.7,5684,2853,2740,114,2826,50.2,4
実数／平成20年平均,2008,,11337,7158,6885,273,4176,63.1,3.8,5622,4274,4118,156,1346,76,3.6,5715,2884,2767,117,2829,50.5,4.1
実数／平成21年平均,2009,,11373,7115,6781,334,4252,62.6,4.7,5637,4197,4011,186,1436,74.5,4.4,5736,2917,2770,147,2816,50.9,5
実数／平成22年平均,2010,,11388,7117,6728,389,4263,62.5,5.5,5635,4179,3941,238,1451,74.2,5.7,5753,2938,2787,151,2811,51.1,5.1
実数／平成23年平均,2011,,11694,7420,7062,358,4270,63.5,4.8,5756,4336,4122,214,1418,75.3,4.9,5938,3084,2940,144,2853,51.9,4.7
実数／平成18年７～９月平均,2006,07～09,11039,6903,6633,270,4125,62.5,3.9,5456,4064,3902,162,1387,74.5,4,5583,2839,2730,109,2737,50.9,3.8
実数／平成18年10～12月平均,2006,10～12,11066,6763,6463,300,4296,61.1,4.4,5468,4017,3836,181,1448,73.5,4.5,5598,2747,2627,119,2848,49.1,4.3
実数／平成19年１～３月平均,2007,01～03,11234,7036,6723,313,4193,62.6,4.4,5572,4247,4054,194,1321,76.2,4.6,5662,2788,2669,119,2873,49.2,4.3
