年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成21年平均,2009,,463,808,561,363,1151,268,208,387,496,275,321,554,594
実数／男女計／平成22年平均,2010,,417,756,598,384,1118,265,203,396,487,265,329,583,582
実数／男女計／平成23年平均,2011,,440,771,603,374,1192,283,235,408,478,289,340,615,626
実数／男女計／平成21年10～12月平均,2009,10～12,474,778,591,401,1103,251,184,413,470,279,352,562,606
実数／男女計／平成22年１～３月平均,2010,01～03,463,749,595,404,1155,241,207,397,457,229,326,577,569
実数／男女計／平成22年４～６月平均,2010,04～06,402,764,597,343,1086,278,204,404,515,286,325,574,576
実数／男女計／平成22年７～９月平均,2010,07～09,394,753,582,402,1074,296,201,362,485,277,322,607,568
実数／男女計／平成22年10～12月平均,2010,10～12,408,758,619,386,1155,244,201,420,492,269,342,572,615
実数／男女計／平成23年１～３月平均,2011,01～03,453,761,580,401,1222,258,229,400,481,287,343,650,606
実数／男女計／平成23年４～６月平均,2011,04～06,443,798,557,386,1215,304,259,418,446,270,328,595,646
実数／男女計／平成23年７～９月平均,2011,07～09,430,764,624,361,1189,301,220,388,494,287,313,598,606
実数／男女計／平成23年10～12月平均,2011,10～12,436,759,651,346,1143,268,231,429,491,311,374,616,644
実数／男女計／平成24年１～３月平均,2012,01～03,427,732,596,340,1219,276,239,400,499,280,326,684,681
実数／男／平成21年平均,2009,,395,589,414,286,617,143,126,244,237,124,143,157,313
実数／男／平成22年平均,2010,,360,537,444,301,592,130,123,250,233,118,147,166,306
実数／男／平成23年平均,2011,,365,533,429,304,606,147,150,271,223,137,149,178,342
実数／男／平成21年10～12月平均,2009,10～12,416,576,437,273,572,140,106,257,225,131,173,157,308
実数／男／平成22年１～３月平均,2010,01～03,403,555,431,298,623,112,116,241,207,94,146,181,302
実数／男／平成22年４～６月平均,2010,04～06,337,542,447,286,558,141,123,254,259,124,134,153,304
実数／男／平成22年７～９月平均,2010,07～09,344,514,436,343,588,157,118,236,234,123,145,176,297
実数／男／平成22年10～12月平均,2010,10～12,358,537,462,277,602,111,135,266,233,131,165,156,321
実数／男／平成23年１～３月平均,2011,01～03,378,541,417,309,607,131,144,252,193,130,143,210,341
実数／男／平成23年４～６月平均,2011,04～06,368,547,387,318,619,164,170,281,214,136,137,161,337
実数／男／平成23年７～９月平均,2011,07～09,352,535,440,306,613,158,138,264,236,140,147,152,342
実数／男／平成23年10～12月平均,2011,10～12,363,510,472,282,584,134,149,287,247,142,168,187,348
