"科目","金額[百万円]"
"年度","2020"
"期間（自）","20210401"
"期間（至）","20210331"
"経常費用","233322"
"経常費用 業務費用","96897"
"経常費用 業務費用 人件費","22559"
"経常費用 業務費用 人件費 職員給与費","17894"
"経常費用 業務費用 人件費 賞与等引当金繰入額","1122"
"経常費用 業務費用 人件費 退職手当引当金繰入額","1216"
"経常費用 業務費用 人件費 その他","2327"
"経常費用 業務費用 物件費等","64297"
"経常費用 業務費用 物件費等 物件費","48812"
"経常費用 業務費用 物件費等 維持補修費","3688"
"経常費用 業務費用 物件費等 減価償却費","11798"
"経常費用 業務費用 物件費等 その他","0"
"経常費用 業務費用 その他の業務費用","10040"
"経常費用 業務費用 その他の業務費用 支払利息","18"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","654"
"経常費用 業務費用 その他の業務費用 その他","9368"
"経常費用 移転費用","136425"
"経常費用 移転費用 補助金等","110288"
"経常費用 移転費用 社会保障給付","25257"
"経常費用 移転費用 他会計への繰出金","-"
"経常費用 移転費用 その他","880"
"経常収益","21471"
"経常収益 使用料及び手数料","9347"
"経常収益 その他","12124"
"純経常行政コスト","-211851"
"臨時損失","1099"
"臨時損失 災害復旧事業費","-"
"臨時損失 資産除売却損","1099"
"臨時損失 損失補償等引当金繰入額","-"
"臨時損失 その他","-"
"臨時利益","0"
"臨時利益 資産売却益","0"
"臨時利益 その他","-"
"純行政コスト","-212949"

"連結会計財務書類（行政コスト計算書）(令和2年4月1日から令和3年3月31日)","Ver202103"
