項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,3中川／平井小橋／外部精度管理,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,7隅田川／両国橋／外部精度管理,8新河岸川／志茂橋,8新河岸川／志茂橋／外部精度管理,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,17小名木川／進開橋／二重測定,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,22内川／富士見橋,22内川／富士見橋／二重測定,23呑川／夫婦橋,24日原川／氷川小橋,25平井川／多西橋,26北秋川／西川橋,27大栗川／向ノ岡大橋,28野川／天神森橋,29恩田川／都橋,30境川／鶴間一号橋,30境川／鶴間一号橋／二重測定,31黒沢川／落合橋,32空堀川／梅坂橋,33黒目川／神宝大橋,33黒目川／神宝大橋／二重測定,1小河内ﾀﾞﾑ／ﾀﾞﾑ前定点
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/L,ND,ND,(0.04),0.061,ND,ND,(0.09),ND,ND,(0.06),0.068,0.12,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/L,5.6,4.8,38,38,46,4.2,16,1.7,2.1,10,9.9,12,2.7,0.35,0.24,1.8,2.2,1.3,2.0,1.6,1.3,1.2,1.7,0.19,0.14,(0.08),0.20,0.22,0.21,(0.05),1.5,(0.09),0.46,0.24,0.12,0.23,0.22,0.27,(0.09),0.27,0.25,(0.10)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/L,1.8,1.8,14,14,17,1.4,6.3,0.56,0.75,3.9,3.9,4.9,0.86,0.13,(0.08),0.82,0.98,0.48,0.81,0.60,0.47,0.42,0.64,(0.06),(0.05),(0.03),(0.07),(0.07),(0.07),ND,0.50,ND,0.19,(0.09),(0.05),(0.08),(0.07),(0.08),ND,0.10,(0.10),ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,8.1,6.9,54,54,64,5.9,24,3.3,4.8,15,15,19,4.8,2.7,0.88,3.0,3.6,2.3,3.3,2.6,2.2,2.0,2.9,2.0,4.5,0.19,0.73,0.78,1.4,(0.05),2.0,0.12,0.77,0.45,0.31,2.0,1.9,0.51,0.12,0.42,0.40,(0.10)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,ND,ND,0.13,0.14,0.12,ND,0.10,ND,ND,(0.09),0.13,(0.07),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/L,ND,ND,0.10,-,0.11,ND,0.14,ND,-,0.10,-,(0.09),ND,ND,ND,(0.03),-,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,0.93,0.81,6.8,7.7,8.2,0.65,3.6,0.34,0.56,2.3,2.4,2.6,0.56,0.08,0.06,0.58,0.91,0.25,0.68,0.29,0.29,0.21,0.52,0.11,0.12,ND,(0.07),0.15,0.06,ND,0.33,ND,0.12,0.15,(0.05),(0.09),(0.09),ND,ND,0.14,0.07,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/L,ND,ND,(0.19),0.24,0.21,ND,(0.16),ND,ND,(0.12),0.07,(0.10),ND,ND,ND,ND,0.05,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/L,ND,ND,0.42,0.53,0.48,(0.06),0.38,ND,(0.05),0.25,0.31,0.25,ND,ND,ND,0.24,0.34,ND,(0.17),ND,ND,ND,(0.15),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,ND,ND,0.37,0.39,0.42,ND,0.26,ND,0.05,0.21,0.18,0.20,ND,ND,ND,(0.12),0.17,ND,(0.11),ND,ND,ND,(0.09),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
