仕上材の種類,適用接着剤,該当JIS No.,施工時の下地条件／モルタルコンクリート下地／乾燥状態Ａ,施工時の下地条件／モルタルコンクリート下地／湿潤状態Ｂ,施工時の下地条件／木質材料Ｃ,施工時の下地条件／非多孔質材料Ｄ,施工後の使用条件／一般的な使用Ｅ,施工後の使用条件／耐水性を要する箇所Ｆ,施工後の使用条件／耐熱性を要する箇所Ｇ,施工後の使用条件／連続荷重のかかる箇所Ｈ,塗布量（g/m2）,ＶＯＣ量（g/m2）
木れんが,酢酸ビニル樹脂系溶剤形,JIS A 5537,◎,×,◎,×,◎,×,×,×,1100,440
木れんが,エポキシ樹脂系,JIS A 5537,◎,○,◎,◎,◎,◎,◎,◎,800,24
木れんが,アクリル樹脂系エマルション形,JIS A 5537,◎,△,◎,×,◎,△,△,○,1100,33
木れんが,変成シリコーン樹脂系,JIS A 5537,◎,○,◎,×,◎,◎,◎,○,800,24
造作材,酢酸ビニル樹脂系溶剤形,JIS A 5549,◎,×,◎,△,◎,×,×,△,250,100
造作材,エポキシ樹脂系,JIS A 5549,◎,◎,◎,◎,◎,◎,◎,◎,250,7.5
造作材,アクリル樹脂系エマルション形,JIS A 5549,◎,×,◎,×,◎,×,×,○,250,7.5
造作材,変成シリコーン樹脂系,JIS A 5549,◎,○,◎,○,◎,○,◎,○,250,7.5
造作材,ウレタン樹脂系,JIS A 5549,◎,○,◎,○,◎,◎,◎,◎,250,7.5
造作材,ビニル共重合樹脂系エマルション形,JIS A 5549,◎,×,◎,×,◎,×,×,△,180,5.4
造作材,合成ゴム系溶剤形,JIS A 5549,◎,×,◎,◎,◎,×,×,△,250,200
造作材,酢酸ビニル樹脂系エマルション形,JIS A 5549,-,×,◎,×,◎,×,×,△,180,5.4
造作材,シリル化ウレタン樹脂系,JIS A 5549,◎,○,◎,○,◎,◎,◎,◎,250,7.5
注）◎：優 ○：実用可 △：要注意 ×：不可 －：不使用,,,,,,,,,,,,
