項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.30,0.10,1,pg/g,0.8,0.7,1.1,1.3,1.2,0.6,0.6,0.5,0.6,1.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.30,0.10,-,pg/g,200,340,770,640,800,180,320,140,130,900
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.30,0.10,-,pg/g,79,140,300,250,320,76,120,53,52,350
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/g,310,520,1100,910,1200,300,470,230,220,1300
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.30,0.10,1,pg/g,1.5,2.1,3.0,2.7,4.2,1.5,2.0,1.9,1.7,3.9
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.30,0.10,-,pg/g,1.8,2.5,3.2,-,4.8,1.7,2.0,2.4,2.3,4.2
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/g,61,90,150,130,220,56,92,58,53,230
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.70,0.20,0.1,pg/g,2.3,2.9,4.2,3.3,5.4,1.9,2.8,2.5,2.2,5.5
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.70,0.20,0.1,pg/g,6.2,8.1,9.5,8.6,18,5.8,8.4,5.5,5.4,19
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.70,0.20,0.1,pg/g,4.7,6.2,8.1,6.4,11,4.5,6.9,4.5,4.4,13
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/g,73,95,100,89,190,69,98,72,69,210
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.70,0.20,0.01,pg/g,150,210,210,190,520,150,250,110,100,640
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/g,310,410,430,400,910,290,480,220,210,1200
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,1.70,0.50,0.0003,pg/g,2100,3100,4100,3500,6500,2000,3700,1400,1300,9400
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/g,2900,4200,5900,5000,9000,2700,4800,2000,1900,12000
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.30,0.10,0.1,pg/g,5.4,5.4,3.6,3.8,7.8,5.3,4.9,3.9,3.8,7.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.30,0.10,-,pg/g,2.5,3.9,4.5,-,5.7,2.4,2.5,2.4,2.4,4.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.30,0.10,-,pg/g,4.3,4.7,3.5,4.1,6.5,4.2,4.3,3.5,3.5,6.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/g,97,110,110,120,190,92,120,110,100,180
