項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,7隅田川／両国橋,8新河岸川／志茂橋,9白子川／落合橋,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／二重測定,14大横川／福寿橋,15北十間川／京成橋,16竪川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,22内川／富士見橋,23呑川／夫婦橋,25平井川／多西橋,27大栗川／向ノ岡大橋,28野川／天神森橋,29恩田川／都橋,30堺川／鶴間一号橋,30堺川／鶴間一号橋／二重測定,31黒沢川／落合橋,32空堀川／梅坂橋,33黒目川／神宝大橋,33黒目川／神宝大橋／二重測定,1小河内ダム／ダム前定点
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/L,4.5,12,46,41,3.4,3.6,3.6,7.0,3.5,8.1,2.3,2.1,0.48,1.3,1.2,3.2,1.9,1.9,1.1,1.4,0.34,0.16,0.13,0.43,0.2,0.75,0.39,0.30,0.25,0.52,0.62,0.25,0.26,0.51,0.53,(0.08)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/L,1.6,4.3,18,15,1.2,1.3,1.3,2.5,1.2,2.9,0.81,0.74,0.16,0.46,0.44,1.1,0.71,0.62,0.36,0.50,0.11,(0.05),(0.04),0.17,(0.06),0.27,0.13,0.10,(0.09),0.18,0.23,(0.09),(0.08),0.20,0.22,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,6.7,18,66,58,5.2,7.2,7.1,14,6.4,13,4.7,12,3.5,2.4,2.2,7.5,3.1,2.9,2.8,2.9,2.8,5.0,0.19,1.2,3.4,1.1,0.67,0.74,0.61,1.4,1.6,0.48,0.73,0.79,0.82,0.11
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,ND,ND,0.12,(0.10),ND,ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/L,ND,ND,(0.08),(0.05),ND,ND,ND,(0.06),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.04),ND,(0.04),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,0.67,1.8,7.4,6.2,0.68,0.66,0.64,1.5,0.58,1.3,0.43,0.57,0.29,0.32,0.21,0.63,0.36,0.18,0.17,0.34,0.14,(0.07),ND,0.45,(0.08),0.24,0.11,0.15,(0.06),0.33,0.34,(0.05),(0.06),0.26,0.26,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/L,ND,(0.08),0.23,0.22,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/L,ND,(0.14),0.47,0.40,ND,(0.08),(0.06),(0.12),ND,(0.09),ND,ND,ND,ND,(0.06),ND,(0.06),ND,ND,(0.06),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,ND,(0.15),0.49,0.42,ND,(0.06),ND,(0.09),ND,(0.08),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.07),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
