項目名,毒性等価係数,千代田区飯田橋4／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,世田谷区上祖師谷3／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,荒川区西尾久8／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,足立区入谷8／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,府中市美好町3／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,町田市相原町／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,東村山市久米川町4／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,東久留米市下里5／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,奥多摩町海沢／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）
"1,3,6,8-TeCDD",0,0.08,0.02,(0.08),0.08,0.02,(0.08),0.08,0.02,0.10,0.08,0.02,0.47,0.08,0.02,(0.06),0.08,0.02,(0.08),0.08,0.02,(0.07),0.08,0.02,ND,0.08,0.02,(0.06)
"1,3,7,9-TeCDD",0,0.08,0.02,(0.04),0.08,0.02,(0.04),0.08,0.02,(0.04),0.08,0.02,0.12,0.08,0.02,ND,0.08,0.02,ND,0.08,0.02,(0.03),0.08,0.02,ND,0.08,0.02,(0.03)
"2,3,7,8-TeCDD",1,0.08,0.02,ND,0.08,0.02,ND,0.08,0.02,ND,0.08,0.02,ND,0.08,0.02,ND,0.08,0.02,ND,0.08,0.02,ND,0.08,0.02,ND,0.08,0.02,ND
"1,2,3,7,8-PeCDD",1,0.06,0.01,ND,0.06,0.01,ND,0.06,0.01,ND,0.06,0.01,ND,0.06,0.01,ND,0.06,0.01,ND,0.06,0.01,ND,0.06,0.01,ND,0.06,0.01,ND
"1,2,3,4,7-PeCDD",0,0.06,0.01,ND,0.06,0.01,ND,0.06,0.01,ND,0.06,0.01,ND,0.06,0.01,ND,0.06,0.01,ND,0.06,0.01,ND,0.06,0.01,ND,0.06,0.01,ND
"1,2,3,4,7,8-HxCDD",0.1,0.07,0.02,ND,0.07,0.02,ND,0.07,0.02,ND,0.07,0.02,ND,0.07,0.02,ND,0.07,0.02,ND,0.07,0.02,ND,0.07,0.02,ND,0.07,0.02,ND
"1,2,3,6,7,8-HxCDD",0.1,0.08,0.02,ND,0.08,0.02,ND,0.08,0.02,ND,0.08,0.02,ND,0.08,0.02,ND,0.08,0.02,ND,0.08,0.02,ND,0.08,0.02,ND,0.08,0.02,ND
"1,2,3,7,8,9-HxCDD",0.1,0.05,0.01,ND,0.05,0.01,ND,0.05,0.01,ND,0.05,0.01,ND,0.05,0.01,ND,0.05,0.01,ND,0.05,0.01,ND,0.05,0.01,ND,0.05,0.01,ND
"1,2,3,4,6,7,8-HpCDD",0.01,0.15,0.04,ND,0.15,0.04,ND,0.15,0.04,ND,0.15,0.04,ND,0.15,0.04,ND,0.15,0.04,ND,0.15,0.04,ND,0.15,0.04,ND,0.15,0.04,ND
OCDD,0.0003,0.6,0.2,ND,0.6,0.2,(0.2),0.6,0.2,ND,0.6,0.2,ND,0.6,0.2,ND,0.6,0.2,ND,0.6,0.2,ND,0.6,0.2,ND,0.6,0.2,ND
