項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/L,1.6,4.4,10,9.4,0.81,0.77,2.4,1.9,2.0,1.0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/L,0.52,1.3,3.8,3.4,0.25,0.26,0.81,0.68,0.73,0.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,2.8,6.5,15,14,1.1,2.3,4.0,3.6,3.7,1.5
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,ND,ND,ND,(0.03),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/L,ND,ND,(0.05),(0.04),ND,ND,ND,(0.03),(0.03),ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,0.37,0.43,1.9,2,(0.09),0.17,0.45,0.52,0.51,0.23
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/L,ND,ND,(0.17),(0.13),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,ND,ND,(0.09),(0.12),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,0.32,(0.12),1.5,1.3,(0.14),(0.13),0.31,0.43,0.38,(0.12)
