仕上材の種類,適用接着剤,該当ＪＩＳＮｏ．,施工時の条件／下地材の種類（乾燥状態）／合板Ａ,施工時の条件／下地材の種類（乾燥状態）／せっこうボードＢ,施工時の条件／下地材の種類（乾燥状態）／セメント系ボード類Ｃ,施工時の条件／下地材の種類（乾燥状態）／パーティクルボード類Ｄ,施工時の条件／下地材の種類（乾燥状態）／胴縁木組Ｅ,施工時の条件／下地材の種類（乾燥状態）／軽量鉄骨組Ｆ,施工時の条件／下地材の種類（乾燥状態）／コンクリート・モルタルＡＬＣ・ブロック積みＧ,施工時の条件／水分の多い下地Ｈ,施工時の条件／仮止めまたは釘併用の必要性Ｉ,施工後の条件／耐水性を要する箇所（洗面所・流し回りなど）Ｊ,施工後の条件／耐熱性を要する箇所（ストーブ回りなど）Ｋ,塗布量（g/m2）,ＶＯＣ量（g/m2）
合板・繊維板・パーティクルボード,酢酸ビニル樹脂系エマルション形,JIS A 5538,－,◎,－,－,◎,－,－,×,有,×,△,170,5.1
合板・繊維板・パーティクルボード,合成ゴム系溶剤形,JIS A 5538,－,◎,－,－,◎,－,－,×,無,○,○,120,96
合板・繊維板・パーティクルボード,合成ゴム系溶剤形 マスチックタイプ,JIS A 5538,－,◎,－,－,◎,◎,－,×,無,○,○,220,132
せっこうボード,酢酸ビニル樹脂系エマルション形,JIS A 5538,－,◎,－,－,◎,－,－,×,有,×,△,170,5.1
せっこうボード,酢酸ビニル樹脂系溶剤形,JIS A 5538,－,◎,－,－,◎,△,－,×,有,×,△,250,100
せっこうボード,合成ゴム系溶剤形,JIS A 5538,－,◎,－,－,◎,－,－,－,無,○,○,120,96
せっこうボード,合成ゴム系溶剤形 マスチックタイプ,JIS A 5538,－,◎,－,－,◎,◎,◎,×,無,○,○,220,132
せっこうボード,エポキシ樹脂系,JIS A 5538,－,－,－,－,－,－,◎,△,有,◎,◎,270,8.1
せっこうボード,ウレタン樹脂系,JIS A 5538,－,－,－,－,－,◎,◎,×,有,◎,◎,270,8.1
せっこうボード,変成シリコーン樹脂系,JIS A 5538,－,－,－,－,－,◎,◎,×,有,◎,◎,270,8.1
セメント系ボード類,酢酸ビニル樹脂系エマルション形,JIS A 5538,－,○,－,－,－,－,－,×,有,×,△,170,5.1
セメント系ボード類,酢酸ビニル樹脂系溶剤形,JIS A 5538,－,◎,－,－,◎,△,－,×,有,×,△,250,100
セメント系ボード類,合成ゴム系溶剤形 マスチックタイプ,JIS A 5538,－,◎,－,－,◎,◎,◎,×,無,○,○,220,132
セメント系ボード類,エポキシ樹脂系,JIS A 5538,－,－,－,－,－,－,◎,△,有,◎,◎,270,8.1
セメント系ボード類,ウレタン樹脂系,JIS A 5538,－,－,－,－,－,◎,◎,×,有,◎,◎,270,8.1
セメント系ボード類,変成シリコーン樹脂系,JIS A 5538,－,－,－,－,－,◎,◎,×,有,◎,◎,270,8.1
グラスウールボード・ロックウールボード,酢酸ビニル樹脂系エマルション形,JIS A 5538,－,◎,－,－,－,－,◎,×,有,×,△,170,5.1
グラスウールボード・ロックウールボード,酢酸ビニル樹脂系溶剤形,JIS A 5538,－,◎,－,－,－,－,－,×,有,×,△,250,100
グラスウールボード・ロックウールボード,合成ゴム系溶剤形 マスチックタイプ,JIS A 5538,－,－,－,－,－,－,◎,×,無,○,○,220,132
塩ビシート（裏打ちなし）,ニトリルゴム系溶剤形,JIS A 5538,◎,◎,◎,◎,－,－,◎,×,無,○,○,120,96
注）◎：優 ○：実用可 △：要注意 ×：不可 －：不使用,,,,,,,,,,,,,,,
注）仮止めまたは釘併用の必要性　無：不要 有：必要,,,,,,,,,,,,,,,
