項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/L,0.53,0.56,8.4,0.75,0.57,2.5,0.64,0.68,0.70
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/L,0.20,0.18,3.3,0.26,0.21,0.90,0.22,0.22,0.23
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,1.4,1.6,12,1.3,1.3,4.1,2.7,2.7,1.4
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,ND,ND,ND,ND,(0.03),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/L,ND,ND,(0.04),ND,(0.04),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,0.16,0.14,1.8,0.13,0.34,0.52,0.23,0.30,0.11
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,(0.08),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/L,ND,ND,(0.10),ND,(0.09),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,ND,ND,(0.09),ND,(0.11),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,(0.16),(0.14),1.3,(0.12),1.3,0.36,0.32,0.32,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/L,0.39,0.23,2.9,0.25,1.9,0.96,0.39,0.42,0.28
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,0.74,0.51,6.4,0.55,3.3,2.2,0.83,0.87,0.60
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/L,3.5,3.7,51,2.9,8.7,14,4.3,5.3,3.4
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,6,6.1,73,5,15,21,8.4,9.5,5.5
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/L,ND,ND,(0.06),ND,ND,ND,ND,(0.03),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/L,ND,ND,(0.09),ND,ND,(0.04),(0.03),(0.03),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,(0.04),(0.04),(0.06),(0.04),(0.04),(0.07),0.25,0.24,(0.07)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,0.35,0.52,1.6,1.5,0.21,0.96,2.9,3.1,0.87
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,(0.03),ND,(0.08),ND,(0.04),ND,(0.04),(0.04),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,ND,ND,(0.07),ND,(0.05),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,2.0,3.1,3.7,5.2,1.8,5.9,26,27,6.6
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,(0.15),ND,(0.12),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,(0.09),ND,(0.09),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,(0.10),ND,(0.16),ND,(0.08),(0.06),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,1.6,1.8,3.7,2.3,2.3,3.7,13,13,3.6
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,(0.20),(0.18),0.73,(0.10),0.75,0.31,0.21,0.27,(0.14)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,ND,ND,(0.11),ND,(0.10),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,0.56,0.44,2.3,0.33,1.6,0.98,1.4,1.4,0.64
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,(0.4),(0.2),2.1,ND,0.8,0.7,(0.4),(0.4),(0.3)
