［資料2-1］　　大気　ダイオキシン類異性体等分析結果（第１回調査　 ２０２０(令和２)年５月：区部）,,,,,,,,,,,,,,,大気　ダイオキシン類異性体等分析結果（第１回調査 　２０２０(令和２)年５月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2020(令和2)年　5月20日～5月27日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2020(令和2)年　5月20日～5月27日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,,,,,5月20日～27日,5月20日～27日,5月20日～27日,5月20日～27日,5月20日～27日,5月20日～27日,5月20日～27日,5月20日～27日,,,,,,,,5月20日～27日,5月20日～27日,,,,5月20日～27日,5月20日～27日,5月20日～27日,5月20日～27日,5月20日～27日,5月20日～27日,,5月20日～27日,,
PCDDs,,"1,3,6,8-TeCDD",0,0.0018,0.0006,0.13,0.093,0.11,0.13,0.12,0.17,0.14,0.13,,PCDDs,,"1,3,6,8-TeCDD",0,0.004,0.001,0.12,0.093,,0.0018,0.0006,0.12,0.1,0.11,0.11,0.097,0.17,,0.022,0.0006,0.0002
,,"1,3,7,9-TeCDD",0,0.0018,0.0006,0.051,0.038,0.041,0.049,0.04,0.064,0.049,0.047,,,,"1,3,7,9-TeCDD",0,0.004,0.001,0.036,0.03,,0.0018,0.0006,0.04,0.032,0.037,0.035,0.033,0.053,,0.0071,0.0006,0.0002
,,"2,3,7,8-TeCDD",1,0.0018,0.0006,ND,-0.0008,ND,-0.0007,ND,-0.0007,ND,ND,,,,"2,3,7,8-TeCDD",1,0.004,0.001,      ND,      ND,,0.0018,0.0006,ND,ND,ND,ND,ND,ND,,ND,0.0006,0.0002
,,TeCDDs,－,―,―,0.22,0.16,0.17,0.21,0.18,0.28,0.23,0.22,,,,TeCDDs,－,--,--,0.18,0.13,,―,―,0.19,0.15,0.18,0.17,0.15,0.25,,0.033,―,―
,,"1,2,3,7,8-PeCDD",1,0.0033,0.0009,-0.0022,-0.002,-0.0014,-0.0015,-0.002,-0.0032,-0.0019,-0.002,,,,"1,2,3,7,8-PeCDD",1,0.005,0.001,-0.002,      ND,,0.0033,0.0009,-0.0012,-0.001,-0.0027,-0.0014,-0.0013,-0.0016,,ND,0.0011,0.0003
,,PeCDDs,－,―,―,0.078,0.056,0.05,0.065,0.054,0.092,0.068,0.074,,,,PeCDDs,－,--,--,0.06,0.052,,―,―,0.049,0.042,0.081,0.059,0.041,0.068,,0.01,―,―
,,"1,2,3,4,7,8-HxCDD",0.1,0.005,0.001,-0.002,ND,ND,ND,ND,-0.003,ND,-0.002,,,,"1,2,3,4,7,8-HxCDD",0.1,0.008,0.003,      ND,      ND,,0.005,0.001,ND,ND,-0.004,ND,ND,ND,,ND,0.0018,0.0005
,,"1,2,3,6,7,8-HxCDD",0.1,0.006,0.002,-0.003,-0.003,-0.002,-0.003,-0.003,-0.004,-0.003,-0.004,,,,"1,2,3,6,7,8-HxCDD",0.1,0.009,0.003,-0.006,-0.004,,0.006,0.002,-0.003,ND,-0.006,-0.003,-0.002,-0.003,,ND,0.0019,0.0006
,,"1,2,3,7,8,9-HxCDD",0.1,0.005,0.002,-0.003,-0.003,ND,-0.003,-0.002,-0.003,-0.003,-0.003,,,,"1,2,3,7,8,9-HxCDD",0.1,0.008,0.002,-0.003,-0.003,,0.005,0.002,ND,ND,-0.005,-0.003,-0.002,-0.002,,ND,0.0018,0.0006
,,HxCDDs,－,―,―,0.051,0.042,0.037,0.048,0.042,0.068,0.052,0.072,,,,HxCDDs,－,--,--,0.07,0.059,,―,―,0.037,0.034,0.13,0.05,0.039,0.056,,0.0086,―,―
,,"1,2,3,4,6,7,8-HpCDD",0.01,0.012,0.003,0.024,0.021,0.017,0.024,0.027,0.043,0.034,0.041,,,,"1,2,3,4,6,7,8-HpCDD",0.01,0.009,0.003,0.038,0.037,,0.012,0.003,0.026,0.019,0.055,0.032,0.018,0.025,,0.004,0.004,0.001
,,HpCDDs,－,―,―,0.052,0.048,0.037,0.052,0.053,0.093,0.079,0.098,,,,HpCDDs,－,--,--,0.074,0.079,,―,―,0.055,0.043,0.15,0.066,0.039,0.053,,0.009,―,―
,,OCDD,0.0003,0.012,0.003,0.11,0.096,0.066,0.1,0.092,0.18,0.2,0.2,,,,OCDD,0.0003,0.023,0.007,0.11,0.078,,0.012,0.003,0.084,0.09,0.12,0.12,0.068,0.073,,0.018,0.004,0.001
,,Total PCDDs,－,―,―,0.51,0.4,0.36,0.48,0.42,0.72,0.62,0.66,,,,Total PCDDs,－,--,--,0.49,0.4,,―,―,0.41,0.36,0.67,0.46,0.33,0.5,,0.08,―,―
PCDFs,,"1,2,7,8-TeCDF",0,0.0024,0.0006,0.014,0.016,0.0089,0.0099,0.0091,0.013,0.012,0.011,,PCDFs,,"1,2,7,8-TeCDF",0,0.005,0.001,0.014,0.013,,0.0024,0.0006,0.01,0.0085,0.0073,0.0082,0.0074,0.0093,,0.0029,0.0008,0.0002
,,"2,3,7,8-TeCDF",0.1,0.0024,0.0006,0.0076,0.008,0.0052,0.0056,0.005,0.0074,0.0071,0.0061,,,,"2,3,7,8-TeCDF",0.1,0.005,0.001,0.011,0.017,,0.0024,0.0006,0.0053,0.0037,0.0039,0.0047,0.0032,0.0048,,0.0016,0.0008,0.0002
,,"1,3,6,8-TeCDF",0,0.0024,0.0006,0.017,0.018,0.011,0.012,0.01,0.018,0.015,0.014,,,,"1,3,6,8-TeCDF",0,0.005,0.001,0.016,0.012,,0.0024,0.0006,0.011,0.0085,0.0098,0.0098,0.0095,0.011,,0.004,0.0008,0.0002
,,TeCDFs,－,―,―,0.4,0.43,0.24,0.27,0.24,0.39,0.34,0.36,,,,TeCDFs,－,--,--,0.37,0.35,,―,―,0.24,0.2,0.2,0.23,0.17,0.22,,0.076,―,―
,,"1,2,3,7,8-PeCDF",0.03,0.005,0.001,0.009,0.007,0.005,0.007,0.006,0.009,0.007,0.007,,,,"1,2,3,7,8-PeCDF",0.03,0.005,0.001,0.012,0.027,,0.005,0.001,0.006,0.005,0.005,0.007,0.005,0.006,,0.0024,0.0016,0.0005
