種類,,,,発生量（千t）,有償物量（千t）,排出量（千t）,自己中間処理量（千t）,自己中間処理量／自己中間処理後量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後再生利用量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後自己最終処分量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託処理量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託直接最終処分量（千t）,自己減量化量（千t）,自己未処理量（千t）,自己未処理量／自己未処理再生利用量（千t）,自己未処理量／自己未処理自己最終処分量（千t）,自己未処理量／自己未処理委託処理量（千t）,自己未処理量／自己未処理委託直接最終処分量（千t）,委託処理量（千t）,委託処理量／委託中間処理量（千t）,委託処理量／委託中間処理量／委託中間処理後量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後再生利用量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後最終処分量（千t）,委託処理量／委託直接最終処分量（千t）,委託減量化量（千t）,委託最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
合計,,,,10513,7,10506,155,155,138,0,17,0,0,10351,22,0,10282,47,10346,10299,8924,8576,348,47,1375,395,8736,1375,395
燃え殻,,,,4,0,4,0,0,0,0,0,0,0,4,0,0,3,1,4,3,3,1,2,1,0,3,1,0,3
汚泥,,,,3184,0,3184,1,1,1,0,0,0,0,3183,0,0,3183,0,3183,3183,1865,1776,89,0,1318,89,1777,1318,89
汚泥,上水汚泥,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,下水汚泥,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,建設汚泥,,,3029,0,3029,1,1,1,0,0,0,0,3028,0,0,3028,0,3028,3028,1756,1703,53,0,1272,53,1704,1272,53
汚泥,その他の汚泥,,,155,0,155,0,0,0,0,0,0,0,155,0,0,155,0,155,155,109,73,36,0,46,36,73,46,36
廃油,,,,3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,3,3,2,2,0,0,1,0,2,1,0
廃酸,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
廃アルカリ,,,,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0
廃プラスチック類,,,,85,0,85,1,1,1,0,0,0,0,84,0,0,84,0,84,84,80,73,7,0,4,7,74,4,7
ゴムくず,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金属くず,,,,94,6,88,1,1,1,0,0,0,0,87,0,0,87,0,87,87,86,86,0,0,1,0,87,1,0
ガラス・陶磁器くず,,,,196,0,196,3,3,1,0,2,0,0,193,0,0,193,0,195,195,194,162,32,0,1,32,163,1,32
鉱さい,,,,11,0,11,0,0,0,0,0,0,0,11,0,0,11,0,11,11,8,7,1,0,3,1,7,3,1
がれき類,,,,6256,0,6256,145,145,132,0,13,0,0,6111,22,0,6089,0,6102,6102,6094,5993,101,0,8,101,6147,8,101
がれき類,コンクリート塊,,,4213,0,4213,49,49,42,0,7,0,0,4164,19,0,4145,0,4152,4152,4152,4140,12,0,0,12,4201,0,12
がれき類,アスファルト･コンクリート塊,,,1168,0,1168,90,90,84,0,6,0,0,1078,3,0,1075,0,1081,1081,1074,1072,2,0,7,2,1159,7,2
がれき類,その他のがれき類,,,875,0,875,6,6,6,0,0,0,0,869,0,0,869,0,869,869,868,781,87,0,1,87,787,1,87
石綿含有産業廃棄物,,,,65,0,65,0,0,0,0,0,0,0,65,0,0,27,38,65,27,24,9,15,38,3,53,9,3,53
ばいじん,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
紙くず,,,,28,1,27,1,1,1,0,0,0,0,26,0,0,26,0,26,26,24,24,0,0,2,0,25,2,0
木くず,,,,282,0,282,2,2,1,0,1,0,0,280,0,0,280,0,281,281,267,265,2,0,14,2,266,14,2
繊維くず,,,,32,0,32,0,0,0,0,0,0,0,32,0,0,32,0,32,32,20,18,2,0,12,2,18,12,2
動植物性残さ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動物系固形不要物,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動物のふん尿,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動物の死体,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
政令13号物,,,,4,0,4,0,0,0,0,0,0,0,4,0,0,4,0,4,4,3,3,0,0,1,0,3,1,0
混合廃棄物,,,,259,0,259,1,1,0,0,1,0,0,258,0,0,257,1,259,258,252,155,97,1,6,98,155,6,98
その他,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,,,,9,0,9,0,0,0,0,0,0,0,9,0,0,2,7,9,2,1,1,0,7,1,7,1,1,7
特別管理産業廃棄物,廃油,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,廃酸,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,廃アルカリ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,感染性廃棄物,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,,,9,0,9,0,0,0,0,0,0,0,9,0,0,2,7,9,2,1,1,0,7,1,7,1,1,7
特別管理産業廃棄物,特定有害廃棄物,廃ＰＣＢ等,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,廃石綿等,,9,0,9,0,0,0,0,0,0,0,9,0,0,2,7,9,2,1,1,0,7,1,7,1,1,7
特別管理産業廃棄物,特定有害廃棄物,その他,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,指定下水道汚泥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,鉱さい,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,燃え殻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,ばいじん,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃油,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,汚泥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃酸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃アルカリ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃水銀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
