項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/ｌ,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/ｌ,1.1,0.76,22,17,0.51,0.86,3.0,1.9,1.8,0.33
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/ｌ,0.43,0.24,8.4,6.5,0.14,0.30,1.1,0.63,0.71,0.10
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/ｌ,2.4,1.4,31,25,0.65,4.7,4.4,2.9,2.8,0.44
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/ｌ,ND,ND,(0.08),(0.06),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/ｌ,ND,ND,(0.11),(0.09),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/ｌ,0.31,0.21,4.7,3.9,0.18,0.30,0.68,0.44,0.43,(0.07)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/ｌ,ND,ND,(0.13),(0.09),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/ｌ,ND,ND,(0.28),0.27,ND,ND,(0.07),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/ｌ,ND,ND,(0.27),(0.19),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/ｌ,0.26,0.26,3.3,2.7,(0.12),(0.17),0.61,0.45,0.38,(0.15)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/ｌ,0.52,0.38,6.6,5.9,(0.17),0.36,1.2,0.83,0.78,(0.13)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/ｌ,1.2,0.81,14,12,0.40,0.84,2.4,1.8,1.6,0.30
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/ｌ,7.0,5.5,120,99,1.6,5.2,19,12,11,0.8
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/ｌ,11,8.2,170,140,3,11,27,18,16,1.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/ｌ,(0.05),ND,(0.11),(0.09),ND,(0.04),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/ｌ,(0.06),(0.03),(0.15),0.12,ND,(0.04),(0.04),(0.03),(0.04),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/ｌ,ND,ND,(0.13),(0.08),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/ｌ,0.44,0.16,3.5,3.3,0.35,0.34,0.38,0.30,0.37,0.27
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/ｌ,ND,ND,(0.15),(0.07),ND,ND,(0.03),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/ｌ,ND,ND,(0.12),0.12,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/ｌ,0.72,0.82,4.7,4.6,1.4,0.83,1.4,1.4,1.3,1.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/ｌ,ND,ND,(0.27),0.24,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/ｌ,ND,ND,(0.20),(0.17),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/ｌ,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/ｌ,ND,ND,(0.24),0.32,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/ｌ,0.71,0.85,7.3,5.7,0.79,0.58,1.3,1.5,1.3,0.86
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/ｌ,0.30,0.21,1.6,1.6,(0.08),(0.17),0.29,0.31,0.22,(0.10)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/ｌ,ND,ND,(0.19),(0.19),ND,ND,(0.06),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/ｌ,0.82,0.68,5.0,4.2,0.23,0.40,0.89,0.95,0.78,0.26
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/ｌ,0.9,0.8,4.6,3.6,ND,(0.3),0.8,0.6,0.6,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/ｌ,3.6,3.3,25,21,2.8,2.5,4.8,4.8,4.4,2.5
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/ｌ,15,11,200,160,5.7,14,32,22,21,4.3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/ｌ,(0.17),(0.06),(0.41),0.27,ND,(0.10),(0.08),ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/ｌ,7.0,2.4,24,24,0.53,2.0,4.1,2.5,3.4,0.51
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/ｌ,(0.14),(0.09),0.54,0.39,ND,(0.11),(0.09),(0.08),(0.10),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/ｌ,ND,ND,(0.08),(0.08),ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/ｌ,7.3,2.6,25,25,0.53,2.2,4.3,2.6,3.5,0.51
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/ｌ,0.45,(0.14),0.60,0.97,(0.08),0.27,(0.18),(0.13),(0.10),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/ｌ,30,15,67,57,5.1,18,13,12,12,4.3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/ｌ,9.8,4.5,22,19,1.6,6.0,4.2,3.9,3.9,1.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/ｌ,0.61,0.25,1.3,1.1,(0.10),0.32,0.22,0.25,0.23,(0.09)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/ｌ,0.76,0.40,2.4,2,(0.17),0.68,0.44,0.34,0.35,(0.15)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/ｌ,1.8,0.77,5.2,4.4,0.27,1.4,0.78,0.74,0.77,0.25
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/ｌ,0.44,(0.19),1.4,1.2,(0.09),0.37,0.23,(0.18),(0.18),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/ｌ,(0.13),(0.08),(0.39),0.41,ND,(0.10),ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/ｌ,44,21,100,86,7.4,27,19,18,18,6.3
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/ｌ,51,24,130,110,7.9,29,23,20,21,6.8
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/ｌ,66,35,320,270,14,43,55,42,42,11
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/ｌ,0.072,0.066,0.41,0.36,0.061,0.067,0.083,0.073,0.071,0.06
