No.,区分,素地面,防水仕様名称,工程・材料名,標準仕様書／使用量 (kg/m2),VOC含有率／低VOC (%),VOC含有率／高VOC (%),"VOC排出量／低VOC
(g/m2)","VOC排出量／中VOC
(g/m2)","VOC排出量／中VOC
(g/m2)","VOC排出量／高VOC
(g/m2)"
1,新築／改修(P2A),RC,屋根保護防水密着工法（A-1）,平面合計,,,,62,,,190
1,新築／改修(P2A),RC,屋根保護防水密着工法（A-1）,アスファルトプライマー塗り,0.2,1,65,2,,,130
1,新築／改修(P2A),RC,屋根保護防水密着工法（A-1）,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,,,10
1,新築／改修(P2A),RC,屋根保護防水密着工法（A-1）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
1,新築／改修(P2A),RC,屋根保護防水密着工法（A-1）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
1,新築／改修(P2A),RC,屋根保護防水密着工法（A-1）,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,,,10
1,新築／改修(P2A),RC,屋根保護防水密着工法（A-1）,アスファルトはけ塗り,1,1,1,10,,,10
1,新築／改修(P2A),RC,屋根保護防水密着工法（A-1）,アスファルトはけ塗り,1,1,1,10,,,10
1,新築／改修(P2A),RC,屋根保護防水密着工法（A-1）,絶縁用シート,0,0,0,0,0,0,0
1,新築／改修(P2A),RC,屋根保護防水密着工法（A-1）,保護コンクリート,0,0,0,0,0,0,0
2,新築／改修(P2A),RC,屋根保護防水密着工法（A-2）【AC-PF】,平面合計,,,,52,,,180
2,新築／改修(P2A),RC,屋根保護防水密着工法（A-2）【AC-PF】,アスファルトプライマー塗り,0.2,1,65,2,,,130
2,新築／改修(P2A),RC,屋根保護防水密着工法（A-2）【AC-PF】,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,,,10
2,新築／改修(P2A),RC,屋根保護防水密着工法（A-2）【AC-PF】,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
2,新築／改修(P2A),RC,屋根保護防水密着工法（A-2）【AC-PF】,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
2,新築／改修(P2A),RC,屋根保護防水密着工法（A-2）【AC-PF】,アスファルトはけ塗り,1,1,1,10,,,10
2,新築／改修(P2A),RC,屋根保護防水密着工法（A-2）【AC-PF】,アスファルトはけ塗り,1,1,1,10,,,10
2,新築／改修(P2A),RC,屋根保護防水密着工法（A-2）【AC-PF】,絶縁用シート,0,0,0,0,0,0,0
2,新築／改修(P2A),RC,屋根保護防水密着工法（A-2）【AC-PF】,保護コンクリート,0,0,0,0,0,0,0
3,新築／改修(P2A),RC,屋根保護防水密着工法（A-3）【AM-PF】,平面合計,,,,42,,,170
3,新築／改修(P2A),RC,屋根保護防水密着工法（A-3）【AM-PF】,アスファルトプライマー塗り,0.2,1,65,2,,,130
3,新築／改修(P2A),RC,屋根保護防水密着工法（A-3）【AM-PF】,改質アスファルトルーフィングシートアスファルト流し張り,1,1,1,10,,,10
3,新築／改修(P2A),RC,屋根保護防水密着工法（A-3）【AM-PF】,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
3,新築／改修(P2A),RC,屋根保護防水密着工法（A-3）【AM-PF】,アスファルトはけ塗り,1,1,1,10,,,10
3,新築／改修(P2A),RC,屋根保護防水密着工法（A-3）【AM-PF】,アスファルトはけ塗り,1,1,1,10,,,10
3,新築／改修(P2A),RC,屋根保護防水密着工法（A-3）【AM-PF】,絶縁用シート,0,0,0,0,0,0,0
