No.,分野,区分,素地面,塗装仕様名称,工程,使用材料,標準使用量(kg/m2),目標膜厚(μm),シンナー,希釈率(重量%),塗り回数(回),塗装方法,塗装間隔(日),塗装間隔(日),VOC量（塗料）(g/m2),VOC量（シンナー）(g/m2),VOC量(g/m2),(%),遮断性,耐候性,塗料費（指数）,塗装費（指数）,塗りやすさ,塗膜形成し易さ（塗付け作業時の気温、湿度の制限）／気温[℃],塗膜形成し易さ（塗付け作業時の気温、湿度の制限）／湿度[RH%],参考資料
現行,構造物,新設,プレストコンクリート部材,CC-A塗装系,プライマー／パテ／中塗／上塗,コンクリート塗装用,,,,,,,,,182,58,240,(-),A,A,1,1,C,,,日本道路協会「道路橋の塩害対策指針（案）・同解説」／日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,プレストコンクリート部材,CC-A塗装系,プライマー,エポキシ樹脂プライマー,0.1,－,シンナー,20,1,はけ・ローラー,,,55,20,,,A,A,1,1,A,5以下,85以上,日本道路協会「道路橋の塩害対策指針（案）・同解説」／日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,プレストコンクリート部材,CC-A塗装系,パテ,エポキシ樹脂パテ,0.3,－,－,－,1,コテ・ヘラ,1,10,0,0,,,A,A,1,1,C,,,日本道路協会「道路橋の塩害対策指針（案）・同解説」／日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,プレストコンクリート部材,CC-A塗装系,中塗,エポキシ樹脂塗料中塗,0.26,60,シンナー,10,1,はけ・ローラー,1,10,83,26,,,A,A,1,1,A,5以下,85以上,日本道路協会「道路橋の塩害対策指針（案）・同解説」／日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,プレストコンクリート部材,CC-A塗装系,上塗,ふっ素樹脂塗料上塗,0.12,30,シンナー,10,1,はけ・ローラー,1,10,44,12,,,A,A,1,1,A,0以下,85以上,日本道路協会「道路橋の塩害対策指針（案）・同解説」／日本道路協会「鋼道路橋塗装・防食便覧」
5.1.1,構造物,新設,プレストコンクリート部材,低VOC塗装（プレストレストコンクリート部材）,プライマー／パテ／中塗／上塗,コンクリート塗装用,,,,,,,,,127,38,165,-31,A,A,1.5,1.2,C,,,
5.1.1,構造物,新設,プレストコンクリート部材,低VOC塗装（プレストレストコンクリート部材）,プライマー,無溶剤エポキシ樹脂プライマー,0.15,－,－,0,1,はけ・ローラー,,,0,0,,,A,A,1.5,1.2,C,,,
5.1.1,構造物,新設,プレストコンクリート部材,低VOC塗装（プレストレストコンクリート部材）,パテ,エポキシ樹脂パテ,0.3,－,－,－,1,コテ・ヘラ,1,10,0,0,,,A,A,1.5,1.2,C,,,
5.1.1,構造物,新設,プレストコンクリート部材,低VOC塗装（プレストレストコンクリート部材）,中塗,エポキシ樹脂塗料中塗,0.26,60,シンナー,10,1,はけ・ローラー,1,10,83,26,,,A,A,1.5,1.2,A,5以下,85以上,
5.1.1,構造物,新設,プレストコンクリート部材,低VOC塗装（プレストレストコンクリート部材）,上塗,ふっ素樹脂塗料上塗,0.12,30,シンナー,10,1,はけ・ローラー,1,10,44,12,,,A,A,1.5,1.2,A,0以下,85以上,
5.1.2,構造物,新設,プレストコンクリート部材,超低VOC塗装（プレストレストコンクリート部材）,プライマー／パテ／中塗／上塗,コンクリート塗装用,,,,,,,,,6,0,6,-98,A,A',2,1.2,C,,,*将来技術であるためVOC量は未定（計算上は0とした。）
5.1.2,構造物,新設,プレストコンクリート部材,超低VOC塗装（プレストレストコンクリート部材）,プライマー,無溶剤エポキシ樹脂プライマー,0.15,－,－,0,1,はけ・ローラー,,,0,0,,,A,A',2,1.2,C,,,*将来技術であるためVOC量は未定（計算上は0とした。）
5.1.2,構造物,新設,プレストコンクリート部材,超低VOC塗装（プレストレストコンクリート部材）,パテ,エポキシ樹脂パテ,0.3,－,－,－,1,コテ・ヘラ,1,10,0,0,,,A,A',2,1.2,C,,,*将来技術であるためVOC量は未定（計算上は0とした。）
5.1.2,構造物,新設,プレストコンクリート部材,超低VOC塗装（プレストレストコンクリート部材）,中塗,水性エポキシ樹脂塗料中塗,0.26,60,水道水,5,1,はけ・ローラー,1,7,*,0,,,A,A',2,1.2,B,,,*将来技術であるためVOC量は未定（計算上は0とした。）
5.1.2,構造物,新設,プレストコンクリート部材,超低VOC塗装（プレストレストコンクリート部材）,上塗,水性ふっ素樹脂塗料上塗,0.12,30,水道水,5～10,1,はけ・ローラー,1,7,6,0,,,A,A',2,1.2,B,,,*将来技術であるためVOC量は未定（計算上は0とした。）
現行,構造物,新設,鉄筋コンクリート部材,CC-B塗装系,プライマー／パテ／中塗／上塗,コンクリート塗装用,,,,,,,,,196,58,254,(-),A,A,1,1,C,,,日本道路協会「道路橋の塩害対策指針（案）・同解説」／日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,鉄筋コンクリート部材,CC-B塗装系,プライマー,エポキシ樹脂プライマー,0.1,－,シンナー,20,1,はけ・ローラー,,,55,20,,,A,A,1,1,A,5以下,85以上,日本道路協会「道路橋の塩害対策指針（案）・同解説」／日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,鉄筋コンクリート部材,CC-B塗装系,パテ,エポキシ樹脂パテ,0.3,－,－,－,1,コテ・ヘラ,1,10,0,0,,,A,A,1,1,C,,,日本道路協会「道路橋の塩害対策指針（案）・同解説」／日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,鉄筋コンクリート部材,CC-B塗装系,中塗,柔軟形エポキシ樹脂塗料中塗,0.26,60,シンナー,10,1,はけ・ローラー,1,10,94,26,,,A,A,1,1,A,5以下,85以上,日本道路協会「道路橋の塩害対策指針（案）・同解説」／日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,鉄筋コンクリート部材,CC-B塗装系,上塗,柔軟形ふっ素樹脂塗料上塗,0.12,30,シンナー,10,1,はけ・ローラー,1,10,47,12,,,A,A,1,1,A,0以下,85以上,日本道路協会「道路橋の塩害対策指針（案）・同解説」／日本道路協会「鋼道路橋塗装・防食便覧」
5.2.1,構造物,新設,鉄筋コンクリート部材,低VOC塗装（鉄筋コンクリート部材）,プライマー／パテ／中塗／上塗,コンクリート塗装用,,,,,,,,,141,38,179,-30,A,A,1.5,1.2,C,,,
5.2.1,構造物,新設,鉄筋コンクリート部材,低VOC塗装（鉄筋コンクリート部材）,プライマー,無溶剤エポキシ樹脂プライマー,0.15,－,－,0,1,はけ・ローラー,,,0,0,,,A,A,1.5,1.2,C,,,
5.2.1,構造物,新設,鉄筋コンクリート部材,低VOC塗装（鉄筋コンクリート部材）,パテ,エポキシ樹脂パテ,0.3,－,－,－,1,コテ・ヘラ,1,10,0,0,,,A,A,1.5,1.2,C,,,
5.2.1,構造物,新設,鉄筋コンクリート部材,低VOC塗装（鉄筋コンクリート部材）,中塗,柔軟形エポキシ樹脂塗料中塗,0.26,60,シンナー,10,1,はけ・ローラー,1,10,94,26,,,A,A,1.5,1.2,A,5以下,85以上,
5.2.1,構造物,新設,鉄筋コンクリート部材,低VOC塗装（鉄筋コンクリート部材）,上塗,柔軟形ふっ素樹脂塗料上塗,0.12,30,シンナー,10,1,はけ・ローラー,1,10,47,12,,,A,A,1.5,1.2,A,0以下,85以上,
現行,構造物,塗替,鉄筋コンクリート部材,塗替（CC-A塗装系準拠）,プライマー／中塗／上塗,コンクリート塗装用,,,,,,,,,182,58,240,(-),B,A,1,1,A,,,日本道路協会「道路橋の塩害対策指針（案）・同解説」日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,塗替,鉄筋コンクリート部材,塗替（CC-A塗装系準拠）,プライマー,エポキシ樹脂プライマー,0.1,－,シンナー,20,1,はけ・ローラー,,,55,20,,,B,A,1,1,A,5以下,85以上,日本道路協会「道路橋の塩害対策指針（案）・同解説」日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,塗替,鉄筋コンクリート部材,塗替（CC-A塗装系準拠）,中塗,エポキシ樹脂塗料中塗,0.26,－,シンナー,10,1,はけ・ローラー,1,10,83,26,,,B,A,1,1,A,5以下,85以上,日本道路協会「道路橋の塩害対策指針（案）・同解説」日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,塗替,鉄筋コンクリート部材,塗替（CC-A塗装系準拠）,上塗,ふっ素樹脂塗料上塗,0.12,－,シンナー,10,1,はけ・ローラー,1,10,44,12,,,B,A,1,1,A,0以下,85以上,日本道路協会「道路橋の塩害対策指針（案）・同解説」日本道路協会「鋼道路橋塗装・防食便覧」
5.3.1,構造物,塗替,鉄筋コンクリート部材,低VOC塗装（塗替）,プライマー／中塗／上塗,コンクリート塗装用,,,,,,,,,127,38,165,-31,B,A,1.5,1.2,C,,,
5.3.1,構造物,塗替,鉄筋コンクリート部材,低VOC塗装（塗替）,プライマー,無溶剤エポキシ樹脂プライマー,0.15,－,－,0,1,はけ・ローラー,,,0,0,,,B,A,1.5,1.2,C,,,
5.3.1,構造物,塗替,鉄筋コンクリート部材,低VOC塗装（塗替）,中塗,エポキシ樹脂塗料中塗,0.26,－,シンナー,10,1,はけ・ローラー,1,10,83,26,,,B,A,1.5,1.2,A,5以下,85以上,
5.3.1,構造物,塗替,鉄筋コンクリート部材,低VOC塗装（塗替）,上塗,ふっ素樹脂塗料上塗,0.12,－,シンナー,10,1,はけ・ローラー,1,10,44,12,,,B,A,1.5,1.2,A,0以下,85以上,
5.3.2,構造物,塗替,鉄筋コンクリート部材,超低VOC塗装（塗替）,プライマー／中塗／上塗,コンクリート塗装用,,,,,,,,,6,0,6,-98,B,A',2,1.2,C,,,*将来技術であるためVOC量は未定（計算上は0とした。）
