No.,区分,素地面,防水仕様名称,工程・材料名,標準仕様書／使用量 (kg/m2),VOC含有率／低VOC (%),VOC揮散率／中VOC (%),VOC含有率／高VOC (%),VOC排出量／低VOC(g/m2),VOC排出量／中VOC(g/m2),VOC排出量／中VOC(g/m2),VOC排出量／高VOC(g/m2)
71,新築／改修,RC,ウレタンゴム系塗膜防水：絶縁工法（X-1）【L-USS・L-USH】,平面合計,,,,,,,,
71,新築／改修,RC,ウレタンゴム系塗膜防水：絶縁工法（X-1）【L-USS・L-USH】,プライマー塗り,0.2,1,,60,2,2,120,120
71,新築／改修,RC,ウレタンゴム系塗膜防水：絶縁工法（X-1）【L-USS・L-USH】,通気緩衝ｼｰﾄ張付け,0,0,,0,0,0,0,0
71,新築／改修,RC,ウレタンゴム系塗膜防水：絶縁工法（X-1）【L-USS・L-USH】,ウレタンゴム系塗膜防水材塗り,3,1,,2,30,60,30,60
71,新築／改修,RC,ウレタンゴム系塗膜防水：絶縁工法（X-1）【L-USS・L-USH】,ウレタンゴム系塗膜防水材塗り,3,1,,2,30,60,30,60
71,新築／改修,RC,ウレタンゴム系塗膜防水：絶縁工法（X-1）【L-USS・L-USH】,仕上塗料,0.2,1,,60,2,120,2,120
72,新築／改修,RC,ウレタンゴム系塗膜防水：密着工法（X-2）【L-UFS・L-UFH】,平面合計,,,,,,,,
72,新築／改修,RC,ウレタンゴム系塗膜防水：密着工法（X-2）【L-UFS・L-UFH】,プライマー塗り,0.2,1,,60,2,2,120,120
72,新築／改修,RC,ウレタンゴム系塗膜防水：密着工法（X-2）【L-UFS・L-UFH】,ウレタンゴム系塗膜防水材塗り補強布張り,0.3,1,,2,3,6,3,6
72,新築／改修,RC,ウレタンゴム系塗膜防水：密着工法（X-2）【L-UFS・L-UFH】,ウレタンゴム系塗膜防水材塗り,2.7,1,,2,27,54,27,54
72,新築／改修,RC,ウレタンゴム系塗膜防水：密着工法（X-2）【L-UFS・L-UFH】,ウレタンゴム系塗膜防水材塗り,2.7,1,,2,27,54,27,54
72,新築／改修,RC,ウレタンゴム系塗膜防水：密着工法（X-2）【L-UFS・L-UFH】,仕上塗料,0.2,1,,60,2,120,2,120
73,新築／改修,RC,FRP系塗膜防水工法・密着工法（JASS 8）【L-FF軽歩行用】,平面,,,,,,,,
73,新築／改修,RC,FRP系塗膜防水工法・密着工法（JASS 8）【L-FF軽歩行用】,プライマー塗り,0.2,70,70,70,140,140,,140
73,新築／改修,RC,FRP系塗膜防水工法・密着工法（JASS 8）【L-FF軽歩行用】,防水用ポリエステル樹脂塗り,0.4,1,4,8,4,16,,32
73,新築／改修,RC,FRP系塗膜防水工法・密着工法（JASS 8）【L-FF軽歩行用】,防水用ガラスマット#380張付け防水用ポリエステル樹脂塗り,1.4,1,4,8,14,56,,112
73,新築／改修,RC,FRP系塗膜防水工法・密着工法（JASS 8）【L-FF軽歩行用】,防水用ガラスマット#380張付け防水用ポリエステル樹脂塗り,1.4,1,4,8,14,56,,112
73,新築／改修,RC,FRP系塗膜防水工法・密着工法（JASS 8）【L-FF軽歩行用】,防水用ポリエステル樹脂塗り（トナー入り）,0.4,1,4,8,4,16,,32
73,新築／改修,RC,FRP系塗膜防水工法・密着工法（JASS 8）【L-FF軽歩行用】,軽歩行用仕上塗料,0.2,70,70,70,140,140,,140
74,新築／改修,RC,FRP系塗膜防水工法・密着工法（JASS 8）【L-FF歩行用】,平面,,,,,,,,
74,新築／改修,RC,FRP系塗膜防水工法・密着工法（JASS 8）【L-FF歩行用】,プライマー塗り,0.2,70,70,70,140,140,,140
74,新築／改修,RC,FRP系塗膜防水工法・密着工法（JASS 8）【L-FF歩行用】,防水用ポリエステル樹脂塗り,0.4,1,4,8,4,16,,32
74,新築／改修,RC,FRP系塗膜防水工法・密着工法（JASS 8）【L-FF歩行用】,防水用ガラスマット#380張付け防水用ポリエステル樹脂塗り,1.4,1,4,8,14,56,,112
74,新築／改修,RC,FRP系塗膜防水工法・密着工法（JASS 8）【L-FF歩行用】,防水用ガラスマット#380張付け防水用ポリエステル樹脂塗り,1.4,1,4,8,14,56,,112
74,新築／改修,RC,FRP系塗膜防水工法・密着工法（JASS 8）【L-FF歩行用】,防水用ポリエステル樹脂塗り（トナー入り）,0.4,1,4,8,4,16,,32
74,新築／改修,RC,FRP系塗膜防水工法・密着工法（JASS 8）【L-FF歩行用】,歩行用仕上塗料,0.4,1,4,8,4,16,,32
