月別平均濃度,,,,,,,,,,,,,,,,,,,
測定年度：２０１９(令和元）年度,,,,,,,,,,,,,,,,,単位：μg/m3,,
測定物質,測定局名,測定局の区分,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月,１月,２月,３月,年間,"環境基準等
註1","定量下限値
註2","検出下限値
註2",公定法　註3
,,,,,,,,,,,,,,,,,,,（毎月24時間）
ﾍﾞﾝｾﾞﾝ,江東区大島,一般,0.59,0.7,0.54,0.72,0.79,0.64,0.55,0.6,0.77,0.71,0.9,0.56,0.68,3,0.2,0.06,―
,大田区東糀谷,一般,1.2,1.4,1.2,1.8,2,1,0.85,0.92,0.92,0.86,0.95,0.98,1.2,,,,2
,環八通り八幡山,自排,0.66,0.57,0.69,0.68,0.59,0.7,0.65,0.83,1.2,0.86,0.89,0.61,0.74,,,,0.96
ﾄﾘｸﾛﾛｴﾁﾚﾝ,江東区大島,一般,0.68,0.66,0.68,1.2,0.55,0.7,1.2,1.2,1.6,1.2,1.2,0.71,0.95,130,0.2,0.06,―
,大田区東糀谷,一般,1.6,0.84,1.3,2.4,1,3.2,2.9,2.9,1.9,1.8,2,1.7,1.9,,,,2.7
,環八通り八幡山,自排,0.26,0.26,0.29,0.48,0.33,0.44,0.46,0.55,0.73,0.46,0.46,0.29,0.41,,,,0.61
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,江東区大島,一般,0.12,0.1,0.11,0.14,0.07,0.1,0.19,0.2,0.28,0.19,0.18,0.11,0.15,200,0.2,0.06,―
,大田区東糀谷,一般,0.08,0.1,0.07,0.11,0.08,0.08,0.14,0.15,0.16,0.12,0.1,0.1,0.11,,,,0.17
,環八通り八幡山,自排,0.1,0.12,0.14,0.14,0.1,0.1,0.14,0.15,0.23,0.14,0.11,0.09,0.13,,,,0.21
ｼﾞｸﾛﾛﾒﾀﾝ,江東区大島,一般,1.4,1.3,1.6,1.6,1.2,2,2.4,2.9,5.1,2.4,2.7,1.9,2.2,150,0.05,0.02,―
,大田区東糀谷,一般,1,0.96,0.96,1.3,0.89,0.87,1.4,1.5,1.5,1.7,1.4,1.3,1.2,,,,1.6
,環八通り八幡山,自排,0.68,0.72,0.77,0.97,0.83,0.88,0.96,1.1,1.4,1,0.98,0.81,0.92,,,,1.3
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,江東区大島,一般,0.06,0.08,0.07,0.09,0.09,0.06,0.04,0.02,0.02,0.02,0.05,0.02,0.05,10,0.03,0.01,―
,大田区東糀谷,一般,0.04,0.08,0.05,0.05,0.05,0.07,0.05,0.08,0.05,0.04,0.1,0.03,0.06,,,,0.09
,環八通り八幡山,自排,0.02,0.01,0.04,0.02,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.01,0.02,,,,0.05
"1,3-ﾌﾞﾀｼﾞｴﾝ",江東区大島,一般,0.072,0.087,0.071,0.13,0.24,0.093,0.075,0.082,0.1,0.085,0.12,0.058,0.1,2.5,0.02,0.006,―
,大田区東糀谷,一般,0.38,0.3,0.19,0.34,0.32,0.18,0.19,0.21,0.17,0.16,0.17,0.22,0.23,,,,0.27
,環八通り八幡山,自排,0.1,0.075,0.1,0.12,0.11,0.2,0.12,0.16,0.22,0.14,0.14,0.1,0.13,,,,0.25
ｱｸﾘﾛﾆﾄﾘﾙ,江東区大島,一般,0.09,0.14,0.09,0.18,0.24,0.12,0.04,0.07,0.07,0.05,0.16,0.07,0.11,2,0.1,0.03,―
,大田区東糀谷,一般,0.38,0.51,0.32,0.4,0.56,0.22,0.25,0.33,0.31,0.23,0.47,0.56,0.38,,,,0.19
,環八通り八幡山,自排,0.08,0.07,0.1,0.07,0.1,0.08,0.05,0.06,0.06,0.11,0.13,0.06,0.08,,,,0.14
ｸﾛﾛﾎﾙﾑ,江東区大島,一般,0.13,0.14,0.14,0.16,0.13,0.12,0.14,0.12,0.13,0.17,0.14,0.1,0.13,18,0.04,0.01,―
,大田区東糀谷,一般,0.2,0.18,0.17,0.19,0.15,0.16,0.22,0.83,0.19,0.15,0.2,0.21,0.24,,,,0.3
,環八通り八幡山,自排,0.1,0.11,0.12,0.14,0.12,0.12,0.12,0.12,0.15,0.11,0.11,0.09,0.12,,,,0.25
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",江東区大島,一般,0.14,0.13,0.11,0.1,0.11,0.098,0.11,0.088,0.084,0.078,0.12,0.092,0.1,1.6,0.02,0.006,―
,大田区東糀谷,一般,0.13,0.14,0.12,0.12,0.13,0.099,0.12,0.099,0.091,0.085,0.11,0.1,0.11,,,,0.14
,環八通り八幡山,自排,0.099,0.11,0.1,0.092,0.1,0.089,0.098,0.099,0.11,0.083,0.09,0.085,0.096,,,,0.12
,,,,,,,,,,,,,,,,,,,
,註１：環境基本法第１６条に基づく大気環境基準　　　*付きは環境中の有害大気汚染物質による健康リスクの低減を図るための指針となる数値（指針値）,,,,,,,,,,,,,,,,,,
,註２：VOC連続計稼働当初より使用してきた定量下限値および検出下限値,,,,,,,,,,,,,,,,,,
,　　　VOC連続計においてはデータ収集率を確保するため下限値設定のための測定を行わず、稼動当初に測定した定量下限値、検出下限値を採用している。,,,,,,,,,,,,,,,,,,
,註３：江東区大島局では測定を行っていないため「－」と表記,,,,,,,,,,,,,,,,,,
測定年度：２０１９(令和元）年度,,,,,,,,,,,,,,,,,単位：μg/m3,,
測定物質,測定局名,測定局の区分,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月,１月,２月,３月,年間,"環境基準等
註1","定量下限値
註2","検出下限値
註2",公定法　註3
,,,,,,,,,,,,,,,,,,,（毎月24時間）
ﾄﾙｴﾝ,江東区大島,一般,2.5,2.7,2.7,4.6,4.4,3.3,7.1,10,7.9,5.8,6,3.5,5,,0.1,0.03,―
,大田区東糀谷,一般,4.2,3.5,3.6,5.8,3.8,4.3,6.4,7.6,8.6,6.9,5.9,5.6,5.5,,,,8.4
,環八通り八幡山,自排,2.7,3.2,3.2,4.2,3.4,4.3,4.6,6.1,7.8,5,4.8,3.2,4.3,,,,6.8
m+p-ｷｼﾚﾝ,江東区大島,一般,0.57,0.65,0.66,1,0.94,0.72,2,1.9,1.2,0.97,1.1,0.6,1,,0.1,0.03,―
,大田区東糀谷,一般,0.89,0.89,0.89,1.7,1.1,0.99,1.3,1.4,1.8,1.3,1.1,1,1.2,,,,2.2
