種類,,,,排出量（千t）,直接再生利用量（千t）,直接最終処分量（千t）,中間処理／処理量（千t）,中間処理／処理後量（千t）,中間処理／処理後再生利用量（千t）,中間処理／処理後最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
合計,,,,12247,26,47,12174,10139,9637,502,9663,2035,549
燃え殻,,,,4,0,1,3,3,1,2,1,0,3
汚泥,,,,3717,1,0,3716,1967,1859,108,1860,1749,108
汚泥,上水汚泥,,,0,0,0,0,0,0,0,0,0,0
汚泥,下水汚泥,,,4,0,0,4,3,3,0,3,1,0
汚泥,建設汚泥,,,3029,0,0,3029,1757,1704,53,1704,1272,53
汚泥,その他の汚泥,,,684,1,0,683,207,152,55,153,476,55
廃油,,,,17,0,0,17,8,8,0,8,9,0
廃酸,,,,10,0,0,10,8,5,3,5,2,3
廃アルカリ,,,,5,0,0,5,3,3,0,3,2,0
廃プラスチック類,,,,280,0,0,280,205,182,23,182,75,23
ゴムくず,,,,0,0,0,0,0,0,0,0,0,0
金属くず,,,,182,0,0,182,181,181,0,181,1,0
ガラス・陶磁器くず,,,,724,3,0,721,671,549,122,552,50,122
鉱さい,,,,11,0,0,11,8,7,1,7,3,1
がれき類,,,,6385,22,0,6363,6355,6247,108,6269,8,108
がれき類,コンクリート塊,,,4322,19,0,4303,4303,4286,17,4305,0,17
がれき類,アスファルト･コンクリート塊,,,1175,3,0,1172,1165,1163,2,1166,7,2
がれき類,その他のがれき類,,,888,0,0,888,887,798,89,798,1,89
石綿含有産業廃棄物,,,,65,0,38,27,24,9,15,9,3,53
ばいじん,,,,9,0,0,9,9,0,9,0,0,9
紙くず,,,,60,0,0,60,51,51,0,51,9,0
木くず,,,,321,0,0,321,298,295,3,295,23,3
繊維くず,,,,32,0,0,32,20,18,2,18,12,2
動植物性残さ,,,,23,0,0,23,12,12,0,12,11,0
動物系固形不要物,,,,2,0,0,2,1,1,0,1,1,0
動物のふん尿,,,,39,0,0,39,23,23,0,23,16,0
動物の死体,,,,0,0,0,0,0,0,0,0,0,0
政令13号物,,,,4,0,0,4,3,3,0,3,1,0
混合廃棄物,,,,283,0,1,282,271,168,103,168,11,104
その他,,,,4,0,0,4,3,3,0,3,1,0
特別管理産業廃棄物,,,,70,0,7,63,15,12,3,12,48,10
特別管理産業廃棄物,廃油,,,4,0,0,4,1,1,0,1,3,0
特別管理産業廃棄物,廃酸,,,10,0,0,10,8,8,0,8,2,0
特別管理産業廃棄物,廃アルカリ,,,1,0,0,1,1,1,0,1,0,0
特別管理産業廃棄物,感染性廃棄物,,,36,0,0,36,4,1,3,1,32,3
特別管理産業廃棄物,特定有害廃棄物,,,19,0,7,12,1,1,0,1,11,7
特別管理産業廃棄物,特定有害廃棄物,廃ＰＣＢ等,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,廃石綿等,,9,0,7,2,1,1,0,1,1,7
特別管理産業廃棄物,特定有害廃棄物,その他,,10,0,0,10,0,0,0,0,10,0
特別管理産業廃棄物,特定有害廃棄物,その他,指定下水道汚泥,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,鉱さい,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,燃え殻,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,ばいじん,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃油,6,0,0,6,0,0,0,0,6,0
特別管理産業廃棄物,特定有害廃棄物,その他,汚泥,1,0,0,1,0,0,0,0,1,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃酸,1,0,0,1,0,0,0,0,1,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃アルカリ,2,0,0,2,0,0,0,0,2,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃水銀等,0,0,0,0,0,0,0,0,0,0
