種類,,,,発生量（千t）,有償物量（千t）,排出量（千t）,自己中間処理量（千t）,自己中間処理量／自己中間処理後量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後再生利用量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後自己最終処分量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託処理量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託直接最終処分量（千t）,自己減量化量（千t）,自己未処理量（千t）,自己未処理量／自己未処理再生利用量（千t）,自己未処理量／自己未処理自己最終処分量（千t）,自己未処理量／自己未処理委託処理量（千t）,自己未処理量／自己未処理委託直接最終処分量（千t）,委託処理量（千t）,委託処理量／委託中間処理量（千t）,委託処理量／委託中間処理量／委託中間処理後量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後再生利用量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後最終処分量（千t）,委託処理量／委託直接最終処分量（千t）,委託減量化量（千t）,委託最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
合計,,,,10809,17,10792,170,170,165,0,5,0,0,10622,13,0,10503,106,10614,10508,8522,8207,315,106,1986,421,8385,1986,421
燃え殻,,,,3,0,3,0,0,0,0,0,0,0,3,0,0,2,1,3,2,1,1,0,1,1,1,1,1,1
汚泥,,,,3844,0,3844,0,0,0,0,0,0,0,3844,0,0,3844,0,3844,3844,2014,1923,91,0,1830,91,1923,1830,91
汚泥,上水汚泥,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,下水汚泥,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,建設汚泥,,,3686,0,3686,0,0,0,0,0,0,0,3686,0,0,3686,0,3686,3686,1912,1846,66,0,1774,66,1846,1774,66
汚泥,その他の汚泥,,,158,0,158,0,0,0,0,0,0,0,158,0,0,158,0,158,158,102,77,25,0,56,25,77,56,25
廃油,,,,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,2,1,1,0,0,1,0,1,1,0
廃酸,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
廃アルカリ,,,,4,0,4,0,0,0,0,0,0,0,4,0,0,4,0,4,4,2,2,0,0,2,0,2,2,0
廃プラスチック類,,,,102,0,102,3,3,3,0,0,0,0,99,0,0,98,1,99,98,90,82,8,1,8,9,85,8,9
ゴムくず,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金属くず,,,,96,15,81,2,2,2,0,0,0,0,79,0,0,79,0,79,79,79,78,1,0,0,1,80,0,1
ガラス・陶磁器くず,,,,255,0,255,5,5,5,0,0,0,0,250,0,0,184,66,250,184,171,144,27,66,13,93,149,13,93
鉱さい,,,,8,0,8,0,0,0,0,0,0,0,8,0,0,8,0,8,8,8,7,1,0,0,1,7,0,1
がれき類,,,,5822,0,5822,156,156,151,0,5,0,0,5666,13,0,5653,0,5658,5658,5596,5482,114,0,62,114,5646,62,114
がれき類,コンクリート塊,,,3506,0,3506,54,54,52,0,2,0,0,3452,13,0,3439,0,3441,3441,3413,3396,17,0,28,17,3461,28,17
がれき類,アスファルト･コンクリート塊,,,1074,0,1074,93,93,90,0,3,0,0,981,0,0,981,0,984,984,966,962,4,0,18,4,1052,18,4
がれき類,その他のがれき類,,,1242,0,1242,9,9,9,0,0,0,0,1233,0,0,1233,0,1233,1233,1217,1124,93,0,16,93,1133,16,93
石綿含有産業廃棄物,,,,44,0,44,0,0,0,0,0,0,0,44,0,0,14,30,44,14,11,5,6,30,3,36,5,3,36
ばいじん,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
紙くず,,,,38,1,37,2,2,2,0,0,0,0,35,0,0,35,0,35,35,28,28,0,0,7,0,30,7,0
木くず,,,,317,1,316,2,2,2,0,0,0,0,314,0,0,314,0,314,314,271,268,3,0,43,3,270,43,3
繊維くず,,,,3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,3,3,3,2,1,0,0,1,2,0,1
動植物性残さ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動物系固形不要物,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動物のふん尿,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動物の死体,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
政令13号物,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
混合廃棄物,,,,261,0,261,0,0,0,0,0,0,0,261,0,0,259,2,261,259,246,183,63,2,13,65,183,13,65
その他,,,,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
特別管理産業廃棄物,,,,9,0,9,0,0,0,0,0,0,0,9,0,0,3,6,9,3,1,1,0,6,2,6,1,2,6
特別管理産業廃棄物,廃油,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,廃酸,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,廃アルカリ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,感染性廃棄物,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,,,9,0,9,0,0,0,0,0,0,0,9,0,0,3,6,9,3,1,1,0,6,2,6,1,2,6
特別管理産業廃棄物,特定有害廃棄物,廃ＰＣＢ等,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,廃石綿等,,8,0,8,0,0,0,0,0,0,0,8,0,0,2,6,8,2,1,1,0,6,1,6,1,1,6
特別管理産業廃棄物,特定有害廃棄物,その他,,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
特別管理産業廃棄物,特定有害廃棄物,その他,指定下水道汚泥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,鉱さい,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,燃え殻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,ばいじん,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃油,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,汚泥,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃酸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃アルカリ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃水銀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
