項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,4新中川／小岩大橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/L,29,15,5.6,5.6,5.6,0.30,2.0,1.8,1.6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/L,11,4.9,2.2,2.1,2.1,0.11,0.78,0.72,0.66
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,42,22,8.7,8.7,9.2,0.52,3.7,3.3,3.0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,0.10,(0.05),(0.05),(0.05),(0.06),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/L,0.13,0.14,(0.07),(0.07),0.11,ND,(0.06),(0.05),(0.06)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,6.2,3.0,1.3,1.6,1.6,0.13,0.73,0.60,0.57
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/L,(0.19),(0.07),ND,(0.06),(0.09),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/L,0.38,(0.17),(0.14),(0.14),(0.12),ND,(0.17),(0.11),(0.12)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,0.35,(0.15),(0.12),(0.07),(0.12),ND,(0.08),(0.07),ND
