項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,7隅田川／両国橋,8新河岸川／志茂橋,9白子川／落合橋,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／二重測定,14大横川／福寿橋,15北十間川／京成橋,16竪川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,22内川／富士見橋,23呑川／夫婦橋,24多摩川／和田橋,27残堀川／立川橋,28城山川／五反田橋,28城山川／五反田橋／二重測定,29川口川／川口川橋,30程久保川／玉川橋,31三沢川／天神橋,31三沢川／天神橋／二重測定,32仙川／鎌田橋,33鶴見川／麻生橋,35霞川／金子橋,36柳瀬川／清柳橋,1小河内ダム／ダム前定点
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/L,ND,ND,ND,ND,ND,(0.09),(0.08),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/L,11,13,46,110,4.2,12,12,1.1,8.0,3.1,1.0,0.56,0.35,1.3,1.3,1.1,1.7,1.6,1.5,1.6,0.65,0.22,0.21,0.45,0.18,0.10,0.35,0.30,0.32,0.36,3.2,1.8,1.8,0.44,1.0,0.57,0.26,(0.10)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/L,4.1,5.0,17,40,1.5,4.6,4.6,0.42,3.3,1.1,0.35,0.20,0.10,0.47,0.50,0.40,0.59,0.70,0.56,0.59,0.25,(0.07),(0.07),0.20,(0.07),ND,0.15,0.13,0.11,0.13,1.1,0.62,0.63,0.16,0.35,0.19,(0.08),(0.03)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,16,20,65,160,6.7,19,19,3.3,14,5.0,1.8,3.3,1.8,2.3,2.4,2.7,3.1,3.0,2.8,2.8,3.6,3.6,0.28,1.6,5.9,0.10,0.61,1.4,1.4,0.74,6.0,7.5,7.7,4.3,3.2,0.76,0.48,0.13
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,(0.03),0.16,0.13,0.28,(0.07),0.12,(0.09),ND,0.18,0.11,(0.05),ND,ND,ND,ND,ND,ND,ND,(0.07),(0.06),(0.06),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/L,(0.06),0.45,0.19,0.32,0.32,0.15,0.11,ND,0.48,0.32,0.23,ND,ND,(0.07),(0.07),ND,ND,ND,0.30,0.22,0.15,ND,ND,(0.07),(0.03),ND,(0.04),ND,ND,ND,ND,(0.04),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,2.4,11,9.5,21,6.1,3.1,2.9,0.40,7.9,5.5,3.5,0.22,(0.09),0.56,0.60,0.30,0.42,0.38,5.0,3.0,2.6,0.18,0.14,0.59,0.24,ND,0.27,0.14,(0.08),0.15,0.61,0.57,0.62,0.26,0.45,0.11,(0.05),ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/L,ND,(0.19),0.27,0.39,(0.17),(0.10),(0.13),ND,0.23,0.21,(0.12),ND,ND,ND,ND,ND,ND,ND,(0.15),(0.10),(0.09),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/L,(0.14),0.69,0.67,0.95,0.60,0.27,0.24,ND,0.92,0.67,0.38,ND,ND,(0.15),(0.11),ND,ND,ND,0.55,0.40,0.35,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.07),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,(0.14),0.59,0.58,0.90,0.42,0.25,0.25,ND,0.65,0.52,0.23,ND,ND,(0.08),(0.08),ND,ND,ND,0.41,0.27,0.21,ND,ND,(0.10),ND,ND,ND,ND,ND,ND,ND,ND,(0.06),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,1.5,20,5.9,9.6,15,3.5,3.1,0.40,19,12,8.6,(0.17),ND,1.4,1.4,(0.16),0.52,0.43,14,8.5,6.9,0.35,(0.14),1.1,(0.17),ND,0.73,(0.16),(0.13),0.28,0.57,0.69,0.71,0.49,0.40,(0.12),(0.10),ND
