(3) 重金属類,,,,,,,,
（単位:ng/m3）,,,,,,,,
測定地点（局）,,ニッケル化合物,ヒ素及び その化合物,ﾍﾞﾘﾘｳﾑ及びその化合物,ﾏﾝｶﾞﾝ及びその化合物,クロム及びその化合物,六価クロム化合物,水銀及び その化合物
,中央区晴海,9,0.88,<0.02,25,4.4,0.07,1.9
区,国設東京新宿,3,0.72,0.03,40,4.4,0.07,1.8
部,大田区東糀谷,6,1.1,0.02,41,7.6,0.08,2.1
一,世田谷区世田谷,2,0.5,<0.02,16,2.7,0.07,1.8
般,板橋区氷川町,2,0.62,<0.02,20,3.3,0.08,1.8
,練馬区石神井町,2,0.58,<0.02,16,2,0.09,1.8
,足立区西新井,5,0.59,<0.02,19,7.3,0.09,1.8
,江戸川区春江町,3,0.76,<0.02,21,3.5,0.08,1.8
,区部一般環境 平均,4,0.72,<0.02,25,4.4,0.08,1.8
,（令和元年度平均）,-5.5,-0.71,-0.01,-27,-7.9,( - ),-2
多,八王子市片倉町,1,0.78,<0.02,19,2.4,-,2
摩,八王子市大楽寺町,1,0.7,<0.02,12,1.7,-,1.8
一,小金井市貫井北町,1,0.66,<0.02,15,2.3,0.06,1.8
般,東大和市奈良橋,2,0.54,<0.02,20,2.9,0.06,1.9
,多摩部一般環境 平均,1,0.67,<0.02,17,2.3,0.06,1.9
,（令和元年度平均）,-2.3,-0.63,-0.01,-17,-3.2,( - ),-1.8
都一般環境 平均,,3,0.71,<0.02,22,3.7,0.08,1.9
,（令和元年度平均）,-4.5,-0.68,-0.01,-24,-6.3,( - ),-1.9
沿,京葉道路亀戸,4,1.2,0.02,29,5.2,0.09,1.8
道,環八通り八幡山,2,0.64,<0.02,19,4.3,0.09,1.9
,沿道 平均,3,0.91,<0.02,24,4.8,0.09,1.8
,（令和元年度平均）,-6.4,-0.77,-0.01,-29,-8.4,( - ),-1.9
檜原（バックグラウンド）,,<1,0.5,<0.02,8,1.3,0.06,1.5
,（令和元年度平均）,-1.8,-0.35,-0.01,-8.9,-1.6,( - ),-1.8
基準値等,,指針値,指針値,*,指針値,***,***,指針値
,,25,6,4,140,0.8,0.8,40
定量下限値,,4,0.2,0.06,5,1,0.06,0.1
検出下限値,,1,0.06,0.02,2,0.3,0.02,0.03
注1）測定値が検出下限値未満のときは、検出下限値の1/2として、年平均値を計算した。,,,,,,,,
注2）結果は、有効数字2桁で表示。ただし下限値の桁までとした。,,,,,,,,
注3）表中   指針値（環境中の有害大気汚染物質による健康リスクの低減を図るための指針となる数値）,,,,,,,,
*  基準参考値（U.S.EPA 発がん性のユニットリスク10-5レベルの換算値）,,,,,,,,
*** 六価クロムのU.S.EPA 発がん性のユニットリスク10-5レベルの換算値である。,,,,,,,,
注4）マンガン及びその化合物の指針値は、平成26年4月30日付け中央環境審議会答申「今後の有害大気,,,,,,,,
汚染物質対策のあり方について」（第十次答申）により、新たに設定された。,,,,,,,,
注5）地域別等の平均値は、当該地域の全測定値の平均であるため、各地点の年平均値を平均したものとは,,,,,,,,
異なる場合がある。,,,,,,,,
