物質番号,適正管理化学物質名,報告数（件）,使用量（kg）,製造量（kg）,製品としての出荷量（kg）,環境への排出量（kg）,環境への排出量／大気（kg）,環境への排出量／公共用水域（kg）,環境への排出量／その他（kg）,事業所外への移動量（kg）,事業所外への移動量／廃棄物（kg）,事業所外への移動量／廃水(下水道）（kg）
1200,食料品製造業,5,1770.0,0.0,0.0,208.0,208.0,0.0,0.0,1560.0,1410.0,150.0
1300,飲料・たばこ・飼料製造業(下の業種を除く）,1,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1320,酒類製造業,,,,,,,,,,,
1350,たばこ製造業,1,830.0,0.0,0.0,90.0,90.0,0.0,0.0,740.0,730.0,9.8
1400,繊維工業（衣服その他の繊維製品を除く）,,,,,,,,,,,
1500,衣服・その他の繊維製品製造業,,,,,,,,,,,
1600,木材・木製品製造業（家具を除く）,1,180000.0,0.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0
1700,家具・装備品製造業,2,275.0,0.0,0.0,245.0,245.0,0.0,0.0,30.0,30.0,0.0
1800,パルプ・紙・紙加工品製造業,2,2800.0,0.0,0.0,2600.0,2600.0,0.0,0.0,200.0,200.0,0.0
1900,出版・印刷・同関連産業（下の業種を除く）,,,,,,,,,,,
1931,印刷業,6,7150.0,0.0,0.0,4200.0,4200.0,0.0,0.0,3000.0,3000.0,0.0
1941,製版業,,,,,,,,,,,
1951,製本業,,,,,,,,,,,
1952,印刷物加工業,6,23150.0,0.0,0.0,23150.0,23150.0,0.0,0.0,0.0,0.0,0.0
2000,化学工業（下の業種を除く）,39,1175010.0,51000.0,1115630.0,10947.7,10947.7,0.0,0.0,72113.5,72107.0,21.4
2060,医薬品製造業,10,89280.0,0.0,0.0,112.8,112.8,0.0,0.0,65320.0,65260.0,36.5
2100,石油製品・石炭製品製造業,1,100.0,0.0,38.0,4.0,4.0,0.0,0.0,60.0,60.0,0.0
2200,プラスチック製品製造業,5,10350.0,0.0,0.0,3851.0,3851.0,0.0,0.0,4410.0,4410.0,0.0
2300,ゴム製品製造業,3,1050.0,0.0,0.0,883.0,883.0,0.0,0.0,177.0,177.0,0.0
2400,なめし革・同製品・毛皮製造業,,,,,,,,,,,
2500,窯業・土石製品製造業,3,5240.0,0.0,0.0,1740.0,1740.0,0.0,0.0,400.0,400.0,0.0
2600,鉄鋼業,3,138000.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0
2700,非鉄金属製造業,,,,,,,,,,,
2800,金属製品製造業（下の業種を除く）,7,2670.0,0.0,0.0,1630.0,1630.0,0.0,0.0,1037.8,1037.8,0.0
2861,金属製品塗装業,16,13690.0,0.0,0.0,6090.0,6090.0,0.0,0.0,5930.0,5930.0,0.0
2862,溶触めっき業（表面処理鋼材製造業を除く）,1,160.0,0.0,0.0,130.0,130.0,0.0,0.0,30.0,30.0,0.0
2864,電気めっき業（表面処理鋼材製造業を除く）,7,7110.0,0.0,0.0,2701.0,2701.0,0.0,0.0,4140.0,2150.0,1990.0
2865,金属熱処理業,2,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2900,一般機械器具製造業,9,4060.0,0.0,0.0,3059.0,3059.0,0.0,0.0,1038.0,1038.0,5.0
3000,電気機械器具製造業（下の業種を除く）,12,11122.0,0.0,0.0,4852.0,4852.0,0.0,0.0,3220.0,2052.0,1172.0
3060,電子応用装置製造業,1,230.0,0.0,0.0,180.0,180.0,0.0,0.0,50.0,50.0,0.0
