(4) 揮発性有機化合物（優先取組物質以外）,,,,,,,,
（単位:μg/m3）,,,,,,,,
測定地点（局）,,キシレン,,,エチル ベンゼン,スチレン,"1,1-
ｼﾞｸﾛﾛｴﾀﾝ",四塩化炭素
,,,"m,p-キシレン",o-キシレン,,,,
,中央区晴海,1.2,0.89,0.35,1.1,0.13,<0.03,0.58
区,国設東京新宿,1.2,0.85,0.31,1,0.11,<0.03,0.57
部,大田区東糀谷,1.7,1.2,0.45,1.5,0.18,<0.03,0.57
一,世田谷区世田谷,1.2,0.86,0.31,0.99,0.12,<0.03,0.57
般,板橋区氷川町,1.3,0.98,0.36,1.2,0.13,<0.03,0.57
,練馬区石神井町,1.2,0.85,0.31,0.99,0.09,<0.03,0.58
,足立区西新井,1.6,1.1,0.42,1.3,0.14,<0.03,0.57
,江戸川区春江町,1.3,0.97,0.34,1.1,0.12,<0.03,0.57
,区部一般環境 平均,1.3,0.97,0.36,1.2,0.13,<0.03,0.57
,（令和元年度平均）,-2.3,-1.7,-0.57,-2.3,-0.21,( <0.04),-0.55
多,八王子市片倉町,0.96,0.69,0.26,0.88,0.1,<0.03,0.46
摩,八王子市大楽寺町,0.98,0.72,0.27,0.96,0.07,<0.03,0.47
一,小金井市貫井北町,1.4,1.1,0.37,1.3,0.15,<0.03,0.56
般,東大和市奈良橋,2,1.5,0.52,2.1,0.14,<0.03,0.57
,多摩部一般環境 平均,1.4,1,0.36,1.3,0.11,<0.03,0.51
,（令和元年度平均）,-1.5,-1,-0.43,-1.5,-0.14,( <0.04),-0.5
都一般環境 平均,,1.3,0.98,0.36,1.2,0.12,<0.03,0.55
,（令和元年度平均）,-2,-1.5,-0.53,-2,-0.18,( <0.04),-0.53
沿,京葉道路亀戸,1.6,1.2,0.44,1.3,0.15,<0.03,0.59
道,環八通り八幡山,1.4,1,0.39,1,0.12,<0.03,0.58
,沿道 平均,1.5,1.1,0.41,1.2,0.13,<0.03,0.58
,（令和元年度平均）,-2.1,-1.6,-0.55,-2,-0.18,( <0.04),-0.54
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,0.43,0.3,0.12,0.46,0.13,<0.03,0.56
,（令和元年度平均）,-0.49,-0.34,-0.14,-0.73,-0.05,( <0.04),-0.55
基準値等,,－,－,－,－,－,－,－
定量下限値,,0.08,0.04,0.04,0.04,0.06,0.08,0.15
検出下限値,,0.04,0.02,0.02,0.02,0.02,0.03,0.05
注1）測定値が検出下限値未満のときは、検出下限値の1/2として、年平均値を計算した。,,,,,,,,
注2）結果は、有効数字2桁で表示。ただし下限値の桁までとした。,,,,,,,,
注3）測定機器の変更等により、定量下限値及び検出下限値が、前年度とは異なる物質がある。,,,,,,,,
注4）地域別等の平均値は、当該地域の全測定値の平均であるため、各地点の年平均値を平均したものとは,,,,,,,,
異なる場合がある。,,,,,,,,
