項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(4)東京湾／St.22／二重測定,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.07,0.02,1,pg/L,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.07,0.02,-,pg/L,0.59,0.51,7.4,6.3,1.3,1.4,0.39,4.8,1.7,1.4
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.07,0.02,-,pg/L,0.19,N.D.,2.8,2.3,0.43,0.48,0.13,1.6,0.62,0.59
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,1.2,0.79,11,9,1.9,2.1,2,6.8,3.2,2.3
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.08,0.02,1,pg/L,N.D.,N.D.,N.D.,0.029,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",-,-,-,pg/L,-,-,-,-,-,-,-,-,-,-
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,0.06,N.D.,1.1,1.4,0.14,0.24,N.D.,0.72,0.4,0.39
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.16,0.05,0.1,pg/L,N.D.,N.D.,N.D.,(0.04),N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.17,0.05,0.1,pg/L,N.D.,N.D.,(0.09),0.11,(0.06),N.D.,N.D.,(0.11),N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.16,0.05,0.1,pg/L,N.D.,N.D.,(0.07),0.08,(0.06),N.D.,N.D.,(0.12),N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,0.05,N.D.,0.65,1.1,0.26,0.45,N.D.,0.89,0.22,0.15
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.19,0.06,0.01,pg/L,0.26,(0.15),2.2,2.4,0.45,0.55,(0.18),1.5,0.56,0.49
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,0.61,0.38,4.6,5.2,0.96,1.1,0.4,3.3,1.2,1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.26,0.08,0.0003,pg/L,2.9,1.8,39,42,6.1,7,1.7,29,7.7,6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,4.8,3,56,59,9.4,11,4.1,41,13,9.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.08,0.03,0.1,pg/L,N.D.,N.D.,(0.04),0.048,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.08,0.02,-,pg/L,N.D.,N.D.,(0.05),-,N.D.,N.D.,N.D.,(0.04),N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.08,0.03,-,pg/L,N.D.,N.D.,N.D.,0.061,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,0.11,0.15,1.1,1.4,0.66,0.67,0.39,0.51,0.71,0.76
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,N.D.,N.D.,N.D.,0.035,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.09,0.03,0.3,pg/L,N.D.,N.D.,(0.04),0.04,N.D.,N.D.,N.D.,(0.06),N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,0.65,0.8,1.7,1.9,5.8,6.2,1.6,3.3,9.1,7.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.17,0.05,0.1,pg/L,N.D.,N.D.,(0.10),0.08,(0.06),(0.06),N.D.,(0.14),(0.05),N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.18,0.05,0.1,pg/L,N.D.,N.D.,(0.07),0.06,N.D.,N.D.,N.D.,(0.12),N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.18,0.05,0.1,pg/L,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
