No,項目番号,点検項目【大分類】,点検項目【中分類】,点検項目【小分類】,点検項目,対策番号 ※1,効果の目安 ※2,トップ ※3,備考 ※4,大規模事業所の取組状況【1】(事業所数),大規模事業所の取組状況【2】(事業所数),大規模事業所の取組状況【3】(事業所数),大規模事業所の取組状況【4】(事業所数),大規模事業所の取組状況【5】(事業所数),大規模事業所の取組状況【6】(事業所数),凡例【1】 ※5,凡例【2】 ※5,凡例【3】 ※5,凡例【4】 ※5,凡例【5】 ※5,凡例【6】 ※5
1,1,エネルギーの見える化,,,ビルエネルギーマネジメントシステム(BEMS)等の導入,1 3.1,A,○,,150,214,266,137,227,,BEMSによるフィードバック+見える化,詳細計測+機器効率管理+フィードバック,用途別+系統別把握,用途別把握,課金メータ程度,-
2,2,熱源・熱搬送設備,,,高効率熱源機器の導入,2 3a.1,A,○,,,,,,,,-,-,-,-,-,-
3,3-1,熱源・熱搬送設備,高効率冷却塔の導入,,省エネ形相当品,2 3a.2,C,○,※4,313,73,85,55,161,335,全て,大半,半分,一部,導入無し,冷却塔無し or空欄
4,3-2,熱源・熱搬送設備,高効率冷却塔の導入,ファン,モータ直結形ファン,2 3a.2,C,○,※4,90,15,13,38,539,334,全て,大半,半分,一部,導入無し,冷却塔無し or空欄
5,3-3,熱源・熱搬送設備,高効率冷却塔の導入,ファン,永久磁石(IPM)モータ,2 3a.2,C,○,※4,11,0,5,5,674,334,全て,大半,半分,一部,導入無し,冷却塔無し or空欄
6,3-4,熱源・熱搬送設備,高効率冷却塔の導入,ファン,プレミアム効率（IE3）モータ,2 3a.2,C,○,※4,27,3,15,35,614,335,全て,大半,半分,一部,導入無し,冷却塔無し or空欄
7,3-5,熱源・熱搬送設備,高効率冷却塔の導入,ファン,高効率（IE2）モータ,2 3a.2,C,○,※4,45,8,8,20,614,334,全て,大半,半分,一部,導入無し,冷却塔無し or空欄
8,3-6,熱源・熱搬送設備,高効率冷却塔の導入,散水ポンプ,永久磁石(IPM)モータ,2 3a.2,C,○,※4,6,0,0,1,231,791,全て,大半,半分,一部,導入無し,散水ポンプ無し or空欄
9,3-7,熱源・熱搬送設備,高効率冷却塔の導入,散水ポンプ,プレミアム効率（IE3）モータ,2 3a.2,C,○,※4,12,2,5,8,212,790,全て,大半,半分,一部,導入無し,散水ポンプ無し or空欄
10,3-8,熱源・熱搬送設備,高効率冷却塔の導入,散水ポンプ,高効率（IE2）モータ,2 3a.2,C,○,※4,13,3,1,5,219,788,全て,大半,半分,一部,導入無し,散水ポンプ無し or空欄
11,3-9,熱源・熱搬送設備,高効率冷却塔の導入,,冷却塔ファン等の台数制御又は発停制御,2 3a.9,C,◎,※4,324,28,15,12,317,333,全て,大半,半分,一部,導入無し,冷却塔無し or空欄
12,4-1,熱源・熱搬送設備,高効率空調用ポンプ及び省エネ制御の導入,,永久磁石(IPM)モータ,2 3a.3,A,,※4,13,7,6,8,803,192,全て,大半,半分,一部,導入無し,空調用ポンプ無し or空欄
13,4-2,熱源・熱搬送設備,高効率空調用ポンプ及び省エネ制御の導入,,プレミアム効率（IE3）モータ,2 3a.3,A,,※4,25,12,17,50,736,189,全て,大半,半分,一部,導入無し,空調用ポンプ無し or空欄
14,4-3,熱源・熱搬送設備,高効率空調用ポンプ及び省エネ制御の導入,,高効率（IE2）モータ,2 3a.3,A,,※4,71,20,26,59,666,187,全て,大半,半分,一部,導入無し,空調用ポンプ無し or空欄
15,4-4,熱源・熱搬送設備,高効率空調用ポンプ及び省エネ制御の導入,,空調用2次ポンプ変流量制御,2 3a.10,A,◎,※4,314,77,57,47,169,365,全て,大半,半分,一部,導入無し,空調2次ポンプ無し or空欄
16,4-5,熱源・熱搬送設備,高効率空調用ポンプ及び省エネ制御の導入,,空調用1次ポンプ変流量制御,2 3a.13,A,,※4,171,45,82,74,310,347,全て,大半,半分,一部,導入無し,空調1次ポンプ無し or空欄
17,4-6,熱源・熱搬送設備,高効率空調用ポンプ及び省エネ制御の導入,,冷却水ポンプ変流量制御,2 3a.14,A,○,※4,168,54,69,57,304,377,全て,大半,半分,一部,導入無し,冷却水ポンプ無し or空欄
18,4-7,熱源・熱搬送設備,高効率空調用ポンプ及び省エネ制御の導入,,空調用2次ポンプ末端差圧制御,2 3a.15,A,○,※4,149,33,26,19,432,370,全て,大半,半分,一部,導入無し,空調2次ポンプ無し or空欄
19,5,熱源・熱搬送設備,,,蒸気ボイラーのエコノマイザーの導入,2 3a.4,C,-,,160,14,8,14,229,604,全て,大半,半分,一部,導入無し,対象機器無し or空欄
20,6,熱源・熱搬送設備,,,大温度差送水システムの導入,2 3a.5,B,○,,84,88,110,117,271,359,10℃以上,8℃以上10℃未満,7℃以上8℃未満,6℃以上7℃未満,6℃未満,地域冷暖房と同一or冷温水無し or空欄
21,7,熱源・熱搬送設備,,,蒸気弁・フランジ部の断熱,2 3a.7,C,◎,,360,149,12,44,464,,熱源回り及び空調機回り,熱源回りのみ,空調機回りのみ,実施無し,蒸気無し or空欄,-
22,8,熱源・熱搬送設備,,,熱交換器の断熱,2 3a.16,C,○,,289,90,15,82,206,347,全て,大半,半分,一部,導入無し,熱交換器無し or空欄
23,9,熱源・熱搬送設備,,,高効率コージェネレーションの導入,2 3a.18,A,,,,,,,,,-,-,-,-,-,-
24,10,熱源・熱搬送設備,,,燃焼機器の空気比の管理,3 1a.1,C,◎,,162,255,133,479,,,目標空気比,基準空気比,基準空気比以上or把握できていない,燃焼機器無し or空欄,-,-
25,11,熱源・熱搬送設備,,,冷凍機の冷却水温度設定値の調整,3 1a.3,C,◎,,479,120,430,,,,実施,実施無し,水冷冷凍機無し or空欄,-,-,-
26,12,熱源・熱搬送設備,,,部分負荷時の熱源運転の適正化,3 1a.5,B,◎,,312,417,300,,,,実施,実施無し,熱源機器無し or空欄,-,-,-
27,13,熱源・熱搬送設備,,,部分負荷時の空調用ポンプ運転の適正化,3 1a.6,C,◎,,360,455,214,,,,実施,実施無し,空調用ポンプ無し or空欄,-,-,-
28,14,熱源・熱搬送設備,,,熱源機器の冷温水出口温度設定値の調整,3 1a.8,C,○,,577,165,287,,,,実施,実施無し,熱源機器無し or空欄,-,-,-
29,15,熱源・熱搬送設備,,,冷温水管、蒸気管等の保温の確認,3 1a.11,C,◎,,852,108,,,,,実施,実施無し,-,-,-,-
30,16,熱源・熱搬送設備,,,インバータ制御系統のバルブの開度調整,3 1a.13,C,◎,,642,79,308,,,,実施,実施無し,インバータポンプ無し or 空調用ポンプ無し or 空欄,-,-,-
31,17,熱源・熱搬送設備,,,熱源不要期間の熱源機器等停止,3 1a.14,C,◎,,643,94,292,,,,実施,実施無し,対象機器無し or空欄,-,-,-
32,18,熱源・熱搬送設備,,,空調開始時の熱源起動時間の適正化,3 1a.15,C,○,,682,86,261,,,,実施,実施無し,対象機器無し or空欄,-,-,-
33,19,熱源・熱搬送設備,,,熱源機器の点検・清掃,3 2a.1,C,◎,,613,51,365,,,,実施,実施無し,熱源機器無し or空欄,-,-,-
34,20-1,空調・換気設備,高効率空調機の導入,,プラグファン,2 3b.1,A,,※4,39,25,34,46,705,180,全て,大半,半分,一部,導入無し,空調機無し or空欄
35,20-2,空調・換気設備,高効率空調機の導入,,モータ直結形ファン,2 3b.1,A,,※4,76,56,54,78,585,180,全て,大半,半分,一部,導入無し,空調機無し or空欄
36,20-3,空調・換気設備,高効率空調機の導入,,永久磁石(IPM)モータ,2 3b.1,A,,※4,12,7,10,13,809,178,全て,大半,半分,一部,導入無し,空調機無し or空欄
37,20-4,空調・換気設備,高効率空調機の導入,,プレミアム効率（IE3）モータ,2 3b.1,A,,※4,21,6,18,71,735,178,全て,大半,半分,一部,導入無し,空調機無し or空欄
38,20-5,空調・換気設備,高効率空調機の導入,,高効率（IE2）モータ,2 3b.1,A,,※4,60,19,29,60,684,177,全て,大半,半分,一部,導入無し,空調機無し or空欄
39,20-6,空調・換気設備,高効率空調機の導入,,楕円管熱交換器,2 3b.1,A,,※4,3,3,3,9,826,185,全て,大半,半分,一部,導入無し,空調機無し or空欄
40,21-1,空調・換気設備,高効率パッケージ形空調機の導入,,通年エネルギー消費効率APF,2 3b.2,A,○,※4,8,14,10,38,829,130,全て,大半,半分,一部,導入無し,パッケージ形空調機無し or空欄
41,21-2,空調・換気設備,高効率パッケージ形空調機の導入,,冷暖房平均COP,2 3b.2,A,○,※4,14,30,25,33,796,131,全て,大半,半分,一部,導入無し,パッケージ形空調機無し or空欄
42,21-3,空調・換気設備,高効率パッケージ形空調機の導入,,インバータ制御機器,2 3b.2,A,○,※4,261,119,94,95,335,125,全て,大半,半分,一部,導入無し,パッケージ形空調機無し or空欄
43,21-4,空調・換気設備,高効率パッケージ形空調機の導入,,高効率冷媒(R410A),2 3b.2,A,○,※4,195,136,132,112,329,125,全て,大半,半分,一部,導入無し,パッケージ形空調機無し or空欄
