項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.30,0.10,1,pg/g,0.7,0.9,0.8,1,1.0,(0.2),0.6,0.3,0.4,0.9
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.30,0.10,-,pg/g,170,330,700,660,730,38,290,71,73,460
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.30,0.10,-,pg/g,65,140,280,250,290,16,120,27,29,180
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/g,250,510,1000,960,1100,65,440,120,130,690
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.30,0.10,1,pg/g,1.4,2.6,2.9,2.7,4.0,0.6,2.0,1.4,1.6,3.8
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.30,0.10,-,pg/g,2.9,5.3,4.3,2.7,7.4,1.4,3.4,2.5,2.6,7.2
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/g,53,110,160,150,210,20,86,37,38,170
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.70,0.20,0.1,pg/g,2.0,3.5,4.1,3.5,5.7,1.0,3.0,1.6,1.7,5.4
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.70,0.20,0.1,pg/g,4.9,9.4,9.5,8.5,18,3.8,9.4,3.4,3.7,16
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.70,0.20,0.1,pg/g,3.8,7.6,7.8,6.9,13,2.5,6.9,3.0,3.1,12
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/g,68,120,110,90,200,40,100,48,49,200
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.70,0.20,0.01,pg/g,120,260,210,200,560,110,310,70,70,510
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/g,240,520,430,410,1000,200,570,140,140,940
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,1.70,0.50,0.0003,pg/g,1400,3100,3600,3700,6800,1100,3900,850,870,5500
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/g,2000,4400,5300,5300,9300,1400,5100,1200,1200,7500
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.30,0.10,0.1,pg/g,5.9,6.4,3.3,3.7,7.6,4.4,5.3,2.7,2.8,5.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.30,0.10,-,pg/g,2.4,4.8,4.2,4.6,6.2,0.6,2.5,1.8,1.8,3.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.30,0.10,-,pg/g,5.2,7.1,3.5,4,8.2,3.7,5.5,3.7,3.7,9.0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/g,67,110,95,110,210,35,120,71,72,200
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.30,0.10,0.03,pg/g,6.4,8.0,5.2,2.9,9.7,4.7,6.2,3.7,3.8,9.5
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.30,0.10,0.3,pg/g,4.0,5.5,3.8,3.8,7.9,3.1,4.1,3.2,3.0,6.6
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/g,130,260,120,110,540,66,610,300,300,720
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.70,0.20,0.1,pg/g,9.6,12,8.7,8.5,19,8.0,12,6.8,6.5,17
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,5.7,10,6.9,6.7,14,3.6,7.5,5.7,5.9,12
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.70,0.20,0.1,pg/g,(0.8),6.9,0.8,(0.6),1.6,(0.5),0.7,(0.6),(0.5),6.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,6.6,10,7.8,9.7,22,2.6,11,8.0,7.7,21
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/g,220,390,170,140,1000,140,1200,560,570,1300
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.70,0.20,0.01,pg/g,63,110,54,48,180,98,110,37,36,160
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.70,0.20,0.01,pg/g,7.4,11,8.0,6.2,20,7.7,10,4.7,5.2,18
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/g,200,350,160,120,650,300,580,210,210,730
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,1.70,0.50,0.0003,pg/g,190,330,120,130,500,380,330,58,61,500
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/g,810,1400,670,610,2900,920,2800,1200,1200,3500
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/g,2800,5800,6000,5900,12000,2300,7900,2400,2400,11000
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.70,0.20,0.0003,pg/g,16,19,13,10,15,7.9,10,7.7,8.1,11
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.70,0.20,0.0001,pg/g,820,1100,700,680,710,320,430,200,190,380
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.70,0.20,0.1,pg/g,22,23,17,15,25,8.2,15,11,11,18
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.70,0.20,0.03,pg/g,2.2,2.4,1.6,1.7,3.5,1.0,2.2,1.5,1.4,3.3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/g,860,1100,730,710,750,340,460,220,210,410
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.70,0.20,0.00003,pg/g,49,50,29,40,31,19,24,28,20,19
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.70,0.20,0.00003,pg/g,3400,3700,2000,2200,3000,1700,2100,1900,1900,2300
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.70,0.20,0.00003,pg/g,1300,1300,680,720,1000,550,770,630,610,820
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.70,0.20,0.00003,pg/g,67,62,45,43,37,29,34,38,38,29
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.70,0.20,0.00003,pg/g,130,150,78,74,120,63,91,96,95,110
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.70,0.20,0.00003,pg/g,310,300,190,160,220,160,190,200,230,210
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.70,0.20,0.00003,pg/g,76,75,46,41,67,37,51,55,56,59
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.70,0.20,0.00003,pg/g,21,22,12,12,18,11,13,12,12,20
