項目名,毒性等価係数,品川区南大井2／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,世田谷区松原1／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,荒川区南千住5／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,葛飾区堀切2／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,八王子市裏高尾／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,武蔵野市吉祥寺南町3／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,調布市仙川町2／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,福生市熊川／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,檜原村南郷／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）
"1,3,6,8-TeCDD",0,0.05,0.01,0.09,0.05,0.01,N.D.,0.05,0.01,0.08,0.05,0.01,0.06,0.05,0.01,(0.04),0.05,0.01,0.08,0.05,0.01,0.21,0.05,0.01,0.05,0.05,0.01,0.10
"1,3,7,9-TeCDD",0,0.05,0.01,(0.04),0.05,0.01,N.D.,0.05,0.01,(0.03),0.05,0.01,(0.02),0.05,0.01,(0.02),0.05,0.01,(0.04),0.05,0.01,0.09,0.05,0.01,(0.02),0.05,0.01,(0.04)
"2,3,7,8-TeCDD",1,0.05,0.01,N.D.,0.05,0.01,N.D.,0.05,0.01,N.D.,0.05,0.01,ND,0.05,0.01,ND,0.05,0.01,N.D.,0.05,0.01,N.D.,0.05,0.01,N.D.,0.05,0.01,N.D.
"1,2,3,7,8-PeCDD",1,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.
"1,2,3,4,7-PeCDD",0,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.
"1,2,3,4,7,8-HxCDD",0.1,0.05,0.01,N.D.,0.05,0.01,N.D.,0.05,0.01,N.D.,0.05,0.01,N.D.,0.05,0.01,N.D.,0.05,0.01,N.D.,0.05,0.01,N.D.,0.05,0.01,N.D.,0.05,0.01,N.D.
"1,2,3,6,7,8-HxCDD",0.1,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.
"1,2,3,7,8,9-HxCDD",0.1,0.09,0.03,N.D.,0.09,0.03,N.D.,0.09,0.03,N.D.,0.09,0.03,N.D.,0.09,0.03,N.D.,0.09,0.03,N.D.,0.09,0.03,N.D.,0.09,0.03,N.D.,0.09,0.03,N.D.
"1,2,3,4,6,7,8-HpCDD",0.01,0.04,0.01,0.17,0.04,0.01,N.D.,0.04,0.01,(0.03),0.04,0.01,0.06,0.04,0.01,N.D.,0.04,0.01,(0.02),0.04,0.01,0.10,0.04,0.01,(0.02),0.04,0.01,N.D.
OCDD,0.0003,0.23,0.07,2.8,0.23,0.07,(0.08),0.23,0.07,0.24,0.23,0.07,1.7,0.23,0.07,N.D.,0.23,0.07,(0.15),0.23,0.07,1.3,0.23,0.07,(0.07),0.23,0.07,(0.17)
"1,3,6,8-TeCDF",0,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.
"1,2,7,8-TeCDF",0,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.
"2,3,7,8-TeCDF",0.1,0.04,0.01,(0.02),0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.
"1,2,3,7,8-PeCDF",0.03,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.
