項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,4新中川／小岩大橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/L,ND,ND,ND,ND,(0.05),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/L,28,30,2.6,3.3,7.2,0.70,0.61,2.8,1.4
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/L,11,11,0.97,1.3,2.8,0.26,0.28,1.1,0.61
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,41,43,4.3,5.4,11,1.4,0.95,4.9,2.4
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,0.13,0.12,ND,ND,(0.07),ND,ND,(0.04),(0.03)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/L,0.27,0.30,(0.05),0.18,0.14,(0.05),ND,(0.10),0.17
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,7.7,8.2,0.76,2.0,2.5,0.62,0.28,1.2,1.9
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/L,(0.14),0.22,ND,ND,(0.11),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/L,0.44,0.40,ND,ND,0.24,(0.07),(0.12),(0.13),0.23
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,0.32,0.37,ND,ND,(0.18),ND,ND,(0.08),(0.14)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,6.5,6.7,0.83,2.3,3.5,0.98,0.97,1.7,4.6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/L,9.5,10,1.2,1.7,3.5,0.84,2.8,3.7,3.6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,20,20,2.5,3.2,6.6,1.6,4.8,6.7,6.9
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/L,170,180,17,17,38,6.3,26,37,23
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,250,260,25,30,62,11,33,52,39
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/L,0.10,(0.07),(0.07),(0.07),0.13,(0.05),0.20,0.15,(0.09)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/L,0.23,0.11,(0.08),(0.08),0.15,(0.05),(0.04),0.14,(0.08)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,0.13,0.10,(0.06),(0.07),0.14,(0.06),0.20,0.17,0.11
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,3.9,3.5,1.3,1.3,3.6,1.5,1.1,2.0,1.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,0.21,0.18,(0.09),(0.09),0.23,(0.08),0.18,0.15,0.13
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,0.13,0.20,(0.06),(0.05),0.20,0.10,0.11,0.10,(0.08)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,3.5,3.4,1.2,1.2,3.5,1.1,0.66,2.1,1.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.31,0.35,(0.10),(0.15),0.37,(0.15),0.28,0.27,(0.16)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.30,0.24,(0.07),(0.08),0.26,(0.10),(0.11),(0.11),(0.14)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.37,0.43,(0.12),(0.11),0.35,(0.13),ND,(0.14),(0.20)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,5.1,4.4,0.94,0.89,3.3,1.0,1.9,2.8,2.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,2.3,2.1,0.59,0.68,1.6,0.52,2.2,2.6,1.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,0.35,0.32,ND,(0.13),0.24,(0.10),(0.15),0.21,(0.19)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,6.0,5.3,1.3,1.6,3.5,0.94,6.2,6.8,4.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,6.0,4.2,1.8,1.7,3.1,0.6,8.5,11,4.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,25,21,6.5,6.7,17,5.1,18,25,15
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,270,280,32,37,79,16,51,76,53
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,0.38,0.27,0.29,(0.19),0.51,0.21,0.95,0.82,0.63
