年度,汚泥（千t）,がれき類（千t）,ガラス・陶磁器くず（千t）,混合廃棄物（千t）,その他（千t）,合計（千t）
昭和57,795,1217,0,0,128,2140
昭和62,1620,1505,341,0,214,3680
平成4　,2182,1815,385,0,887,5269
平成10,1481,1066,124,216,149,3036
平成15,646,20,28,104,225,1023
平成16,868,25,78,189,72,1232
平成17,473,125,71,36,97,802
平成18,438,220,106,172,62,998
平成19,196,271,161,127,90,845
平成20,237,136,80,94,57,604
平成21,184,184,65,78,43,554
平成22,168,146,77,72,44,507
平成23,64,97,80,92,257,590
平成24,74,104,83,117,58,436
平成25,55,211,58,136,40,499
平成26,63,185,54,133,51,486
平成27,53,141,34,122,51,401
平成28,89,101,32,98,75,395
